[20:21:51]	lalajenny.568 has connected.
[20:33:53]	lalajenny.568 (STEAM_0:1:577784202) has disconnected (timed out).
[22:04:34]	FB|| light ROOM has connected.
[22:05:19]	FB|| light ROOM loaded the character 'Theban 'Simmons' Revolt'
[22:05:23]	Theban 'Simmons' Revolt ran 'Equip' on item '.9mm Pistol' (#35487)
[22:05:23]	Theban 'Simmons' Revolt ran 'Equip' on item 'Combat Knife' (#31497)
[22:07:20]	Theban 'Simmons' Revolt ran 'take' on item 'Suitcase' (#36342)
[22:07:27]	Theban 'Simmons' Revolt ran 'EquipUn' on item '.9mm Pistol' (#35487)
[22:07:32]	Theban 'Simmons' Revolt ran 'take' on item 'Suitcase' (#36349)
[22:07:32]	Theban 'Simmons' Revolt has gained a 'Suitcase' #36349.
[22:07:32]	Theban 'Simmons' Revolt has gained a '4.6x30 Rounds' #36853.
[22:07:32]	Theban 'Simmons' Revolt has gained a 'MP7' #35509.
[22:07:32]	Theban 'Simmons' Revolt has gained a 'Combat Knife' #36850.
[22:07:33]	Theban 'Simmons' Revolt ran 'drop' on item 'Suitcase' (#36349)
[22:07:33]	Theban 'Simmons' Revolt has lost a 'Suitcase' #36349.
[22:07:33]	Theban 'Simmons' Revolt has lost a '4.6x30 Rounds' #36853.
[22:07:33]	Theban 'Simmons' Revolt has lost a 'MP7' #35509.
[22:07:33]	Theban 'Simmons' Revolt has lost a 'Combat Knife' #36850.
[22:07:35]	Theban 'Simmons' Revolt ran 'take' on item 'Suitcase' (#36342)
[22:07:35]	Theban 'Simmons' Revolt has gained a 'Suitcase' #36342.
[22:07:35]	Theban 'Simmons' Revolt has gained a '4.6x30 Rounds' #36852.
[22:07:35]	Theban 'Simmons' Revolt has gained a '9mm Pistol Magazine' #36845.
[22:07:35]	Theban 'Simmons' Revolt has gained a '4.6x30 Rounds' #36849.
[22:07:35]	Theban 'Simmons' Revolt has gained a '4.6x30 Rounds' #36846.
[22:07:35]	Theban 'Simmons' Revolt has gained a '9mm Pistol Magazine' #36844.
[22:07:35]	Theban 'Simmons' Revolt has gained a '4.6x30 Rounds' #36847.
[22:07:35]	Theban 'Simmons' Revolt has gained a '9mm Pistol Magazine' #36843.
[22:07:35]	Theban 'Simmons' Revolt has gained a '4.6x30 Rounds' #36848.
[22:07:39]	Theban 'Simmons' Revolt ran 'drop' on item 'Suitcase' (#36342)
[22:07:39]	Theban 'Simmons' Revolt has lost a 'Suitcase' #36342.
[22:07:39]	Theban 'Simmons' Revolt has lost a '4.6x30 Rounds' #36852.
[22:07:39]	Theban 'Simmons' Revolt has lost a '9mm Pistol Magazine' #36845.
[22:07:39]	Theban 'Simmons' Revolt has lost a '4.6x30 Rounds' #36849.
[22:07:39]	Theban 'Simmons' Revolt has lost a '4.6x30 Rounds' #36846.
[22:07:39]	Theban 'Simmons' Revolt has lost a '9mm Pistol Magazine' #36844.
[22:07:39]	Theban 'Simmons' Revolt has lost a '4.6x30 Rounds' #36847.
[22:07:39]	Theban 'Simmons' Revolt has lost a '9mm Pistol Magazine' #36843.
[22:07:39]	Theban 'Simmons' Revolt has lost a '4.6x30 Rounds' #36848.
[22:07:40]	Theban 'Simmons' Revolt ran 'take' on item 'Suitcase' (#35441)
[22:07:40]	Theban 'Simmons' Revolt has gained a 'Suitcase' #35441.
[22:07:40]	Theban 'Simmons' Revolt has gained a 'Comfortable Blue Shirt' #33944.
[22:07:40]	Theban 'Simmons' Revolt has gained a 'Combat Knife' #36851.
[22:07:40]	Theban 'Simmons' Revolt has gained a 'MP7' #31480.
[22:07:42]	Theban 'Simmons' Revolt ran 'drop' on item 'Suitcase' (#35441)
[22:07:42]	Theban 'Simmons' Revolt has lost a 'Suitcase' #35441.
[22:07:42]	Theban 'Simmons' Revolt has lost a 'Comfortable Blue Shirt' #33944.
[22:07:42]	Theban 'Simmons' Revolt has lost a 'Combat Knife' #36851.
[22:07:42]	Theban 'Simmons' Revolt has lost a 'MP7' #31480.
[22:07:45]	Theban 'Simmons' Revolt ran 'take' on item 'Suitcase' (#35441)
[22:07:45]	Theban 'Simmons' Revolt has gained a 'Suitcase' #35441.
[22:07:45]	Theban 'Simmons' Revolt has gained a 'Comfortable Blue Shirt' #33944.
[22:07:45]	Theban 'Simmons' Revolt has gained a 'Combat Knife' #36851.
[22:07:45]	Theban 'Simmons' Revolt has gained a 'MP7' #31480.
[22:07:48]	Theban 'Simmons' Revolt ran 'drop' on item 'Suitcase' (#35441)
[22:07:48]	Theban 'Simmons' Revolt has lost a 'Suitcase' #35441.
[22:07:48]	Theban 'Simmons' Revolt has lost a 'Comfortable Blue Shirt' #33944.
[22:07:48]	Theban 'Simmons' Revolt has lost a 'Combat Knife' #36851.
[22:07:48]	Theban 'Simmons' Revolt has lost a 'MP7' #31480.
[22:08:34]	Theban 'Simmons' Revolt ran 'take' on item 'Suitcase' (#21813)
[22:08:34]	Theban 'Simmons' Revolt has gained a 'Suitcase' #21813.
[22:08:35]	Theban 'Simmons' Revolt ran 'drop' on item 'Suitcase' (#21813)
[22:08:35]	Theban 'Simmons' Revolt has lost a 'Suitcase' #21813.
[22:09:42]	Theban 'Simmons' Revolt ran 'take' on item 'Suitcase' (#33937)
[22:09:42]	Theban 'Simmons' Revolt has gained a 'Suitcase' #33937.
[22:09:42]	Theban 'Simmons' Revolt has gained a 'Brown Beanie' #35476.
[22:09:42]	Theban 'Simmons' Revolt has gained a 'Duct Tape' #35443.
[22:09:42]	Theban 'Simmons' Revolt has gained a 'Paper' #35486.
[22:09:44]	Theban 'Simmons' Revolt ran 'drop' on item 'Suitcase' (#33937)
[22:09:44]	Theban 'Simmons' Revolt has lost a 'Suitcase' #33937.
[22:09:44]	Theban 'Simmons' Revolt has lost a 'Brown Beanie' #35476.
[22:09:44]	Theban 'Simmons' Revolt has lost a 'Duct Tape' #35443.
[22:09:44]	Theban 'Simmons' Revolt has lost a 'Paper' #35486.
[22:10:29]	Theban 'Simmons' Revolt ran 'take' on item 'Suitcase' (#36350)
[22:10:29]	Theban 'Simmons' Revolt has gained a 'Suitcase' #36350.
[22:10:29]	Theban 'Simmons' Revolt has gained a 'Teal and Black Coat' #33179.
[22:10:29]	Theban 'Simmons' Revolt has gained a 'Blue Pre-War Shirt' #35834.
[22:10:29]	Theban 'Simmons' Revolt has gained a 'Blue and White Coat' #31100.
[22:10:29]	Theban 'Simmons' Revolt has gained a 'Blue Pre-War Shirt' #35863.
[22:10:29]	Theban 'Simmons' Revolt has gained a 'Brown Coat and Sweater' #32985.
[22:10:30]	Theban 'Simmons' Revolt ran 'drop' on item 'Suitcase' (#36350)
[22:10:30]	Theban 'Simmons' Revolt has lost a 'Suitcase' #36350.
[22:10:30]	Theban 'Simmons' Revolt has lost a 'Teal and Black Coat' #33179.
[22:10:30]	Theban 'Simmons' Revolt has lost a 'Blue Pre-War Shirt' #35834.
[22:10:30]	Theban 'Simmons' Revolt has lost a 'Blue and White Coat' #31100.
[22:10:30]	Theban 'Simmons' Revolt has lost a 'Blue Pre-War Shirt' #35863.
[22:10:30]	Theban 'Simmons' Revolt has lost a 'Brown Coat and Sweater' #32985.
[22:10:31]	Theban 'Simmons' Revolt ran 'take' on item 'Suitcase' (#35421)
[22:10:31]	Theban 'Simmons' Revolt has gained a 'Suitcase' #35421.
[22:10:31]	Theban 'Simmons' Revolt has gained a 'Cloth Scrap' #35434.
[22:10:31]	Theban 'Simmons' Revolt has gained a 'Blacksmith Tongs' #35447.
[22:10:31]	Theban 'Simmons' Revolt has gained a 'Red and Black Coat' #35423.
[22:10:31]	Theban 'Simmons' Revolt has gained a 'Blacksmith Tongs' #35438.
[22:10:31]	Theban 'Simmons' Revolt has gained a 'Cloth Scrap' #35436.
[22:10:31]	Theban 'Simmons' Revolt has gained a 'Blue Pre-War Shirt' #36492.
[22:10:31]	Theban 'Simmons' Revolt has gained a 'Cloth Scrap' #35437.
[22:10:31]	Theban 'Simmons' Revolt has gained a 'Paper' #35485.
[22:10:33]	Theban 'Simmons' Revolt ran 'drop' on item 'Suitcase' (#35421)
[22:10:33]	Theban 'Simmons' Revolt has lost a 'Suitcase' #35421.
[22:10:33]	Theban 'Simmons' Revolt has lost a 'Cloth Scrap' #35434.
[22:10:33]	Theban 'Simmons' Revolt has lost a 'Blacksmith Tongs' #35447.
[22:10:33]	Theban 'Simmons' Revolt has lost a 'Red and Black Coat' #35423.
[22:10:33]	Theban 'Simmons' Revolt has lost a 'Blacksmith Tongs' #35438.
[22:10:33]	Theban 'Simmons' Revolt has lost a 'Cloth Scrap' #35436.
[22:10:33]	Theban 'Simmons' Revolt has lost a 'Blue Pre-War Shirt' #36492.
[22:10:33]	Theban 'Simmons' Revolt has lost a 'Cloth Scrap' #35437.
[22:10:33]	Theban 'Simmons' Revolt has lost a 'Paper' #35485.
[22:12:41]	Theban 'Simmons' Revolt ran 'take' on item '.9mm Pistol' (#36330)
[22:12:41]	Theban 'Simmons' Revolt has gained a '.9mm Pistol' #36330.
[22:12:43]	Theban 'Simmons' Revolt ran 'take' on item 'Grenade' (#36209)
[22:12:43]	Theban 'Simmons' Revolt has gained a 'Grenade' #36209.
[22:12:44]	Theban 'Simmons' Revolt ran 'take' on item 'Grenade' (#36069)
[22:12:44]	Theban 'Simmons' Revolt has gained a 'Grenade' #36069.
[22:12:46]	Theban 'Simmons' Revolt ran 'take' on item 'Grenade' (#35331)
[22:12:46]	Theban 'Simmons' Revolt has gained a 'Grenade' #35331.
[22:12:48]	Theban 'Simmons' Revolt ran 'take' on item 'Combat Knife' (#28411)
[22:12:48]	Theban 'Simmons' Revolt has gained a 'Combat Knife' #28411.
[22:13:04]	Theban 'Simmons' Revolt ran 'drop' on item 'Small Items Case' (#36864)
[22:13:04]	Theban 'Simmons' Revolt has lost a 'Small Items Case' #36864.
[22:13:04]	Theban 'Simmons' Revolt has lost a 'Grenade' #35331.
[22:13:04]	Theban 'Simmons' Revolt has lost a '.9mm Pistol' #35487.
[22:13:04]	Theban 'Simmons' Revolt has lost a 'Grenade' #36209.
[22:13:04]	Theban 'Simmons' Revolt has lost a 'Combat Knife' #28411.
[22:13:04]	Theban 'Simmons' Revolt has lost a 'Grenade' #36069.
[22:17:31]	DRD has connected.
[22:17:36]	Theban 'Simmons' Revolt ran 'take' on item 'Plank' (#35410)
[22:17:41]	Theban 'Simmons' Revolt ran 'take' on item 'Plank' (#35410)
[22:17:43]	Theban 'Simmons' Revolt ran 'take' on item 'Plank' (#35410)
[22:17:43]	Theban 'Simmons' Revolt has gained a 'Plank' #35410.
[22:17:46]	Theban 'Simmons' Revolt ran 'drop' on item 'Plank' (#35410)
[22:17:46]	Theban 'Simmons' Revolt has lost a 'Plank' #35410.
[22:18:31]	Theban 'Simmons' Revolt ran 'take' on item 'Gunpowder' (#33967)
[22:18:31]	Theban 'Simmons' Revolt has gained a 'Gunpowder' #33967.
[22:18:32]	Theban 'Simmons' Revolt ran 'take' on item 'Gunpowder' (#33954)
[22:18:32]	Theban 'Simmons' Revolt has gained a 'Gunpowder' #33954.
[22:18:33]	Theban 'Simmons' Revolt ran 'take' on item 'Gunpowder' (#33947)
[22:18:33]	Theban 'Simmons' Revolt has gained a 'Gunpowder' #33947.
[22:18:40]	Theban 'Simmons' Revolt ran 'drop' on item 'Gunpowder' (#33954)
[22:18:40]	Theban 'Simmons' Revolt has lost a 'Gunpowder' #33954.
[22:18:41]	Theban 'Simmons' Revolt ran 'drop' on item 'Gunpowder' (#33967)
[22:18:41]	Theban 'Simmons' Revolt has lost a 'Gunpowder' #33967.
[22:18:42]	Theban 'Simmons' Revolt ran 'drop' on item 'Gunpowder' (#33947)
[22:18:42]	Theban 'Simmons' Revolt has lost a 'Gunpowder' #33947.
[22:19:32]	Theban 'Simmons' Revolt ran 'Edit' on item 'Notepad' (#36344)
[22:19:42]	DRD (STEAM_0:0:193599766) has disconnected.
[22:37:36]	FB|| light ROOM (STEAM_0:1:17219621) has disconnected.
