[05:00:37]	Pang has connected.
[05:01:50]	Pang (STEAM_0:1:534723608) has disconnected.
[19:05:56]	chickenfry0709 has connected.
[19:08:55]	chickenfry0709 created the character 'Franklin'
[19:08:55]	Franklin has gained a 'Suitcase' #21258.
[19:08:55]	Franklin has gained a 'Relocation Coupon' #21259.
[19:08:55]	Franklin has gained a 'Green Citizen Suit' #21260.
[19:08:55]	Franklin has gained a 'Citizen Filter' #21261.
[19:08:55]	chickenfry0709 loaded the character 'Franklin'
[19:09:02]	Franklin has taken 250 damage from trigger_hurt.
[19:09:02]	trigger_hurt has killed Franklin.
[19:09:32]	chickenfry0709 (STEAM_0:0:610529313) has disconnected.
