[01:02:21]	Chicken has connected.
[01:05:14]	Chicken created the character 'OTA.C17-KING.EOA.74375'
[01:05:14]	OTA.C17-KING.EOA.74375 has gained a '.9mm Pistol' #39691.
[01:05:14]	OTA.C17-KING.EOA.74375 has gained a '9mm Pistol Magazine' #39692.
[01:05:14]	OTA.C17-KING.EOA.74375 has gained a '9mm Pistol Magazine' #39693.
[01:05:14]	OTA.C17-KING.EOA.74375 has gained a 'Pulse-Rifle' #39694.
[01:05:14]	OTA.C17-KING.EOA.74375 has gained a 'Pulse Ammunition' #39695.
[01:05:14]	OTA.C17-KING.EOA.74375 has gained a 'Pulse Ammunition' #39696.
[01:05:14]	OTA.C17-KING.EOA.74375 has gained a 'Hybrid Radio' #39697.
[01:05:14]	Chicken loaded the character 'OTA.C17-KING.EOA.74375'
[01:06:01]	OTA.C17-KING.EOA.74375 ran 'Equip' on item 'Pulse-Rifle' (#39694)
[01:06:03]	OTA.C17-KING.EOA.74375 ran 'use' on item 'Pulse Ammunition' (#39695)
[01:06:03]	OTA.C17-KING.EOA.74375 ran 'use' on item 'Pulse Ammunition' (#39696)
[01:07:06]	Chicken (STEAM_0:0:143523274) has disconnected.
[09:06:14]	Methfred has connected.
[09:07:36]	Methfred loaded the character 'Alfred Langenberg'
[09:07:44]	Alfred Langenberg ran 'EquipUn' on item 'Yellow Loyalist Armband' (#37637)
[09:07:45]	Alfred Langenberg ran 'Equip' on item 'Yellow Loyalist Armband' (#37637)
[09:07:46]	Alfred Langenberg ran 'EquipUn' on item 'Blue and White Coat' (#37000)
[09:07:49]	Alfred Langenberg ran 'Equip' on item 'Blue and White Coat' (#37000)
[09:07:49]	Alfred Langenberg ran 'EquipUn' on item 'Blue and White Coat' (#37000)
[11:06:36]	Methfred (STEAM_0:1:48276840) has disconnected.
[11:44:03]	Dilly_ has connected.
[11:45:19]	Dilly_ loaded the character 'CCA.C17-UNION.i5.37117'
[11:45:51]	CCA.C17-UNION.i5.37117 used command '/CharDesc'.
[11:46:05]	CCA.C17-UNION.i5.37117 used command '/CharDesc A Civil Protection ground unit who seems indistinguishable from his peers.'.
[11:46:16]	CCA.C17-UNION.i5.37117 used command '/Radio is 10-8, standing by'.
[11:46:24]	CCA.C17-UNION.i5.37117 used command '/Radio 10-22'.
[11:46:29]	CCA.C17-UNION.i5.37117 used command '/Radio 10-8 standing by'.
[11:49:45]	CCA.C17-UNION.i5.37117 opened the '' #1614 container.
[11:49:48]	CCA.C17-UNION.i5.37117 closed the '' #1614 container.
[11:49:49]	CCA.C17-UNION.i5.37117 opened the '' #1612 container.
[11:49:51]	CCA.C17-UNION.i5.37117 closed the '' #1612 container.
[11:50:18]	CCA.C17-UNION.i5.37117 has gained 10 tokens.
[11:55:18]	CCA.C17-UNION.i5.37117 has gained 10 tokens.
[12:00:18]	CCA.C17-UNION.i5.37117 has gained 10 tokens.
[12:05:18]	CCA.C17-UNION.i5.37117 has gained 10 tokens.
[12:15:18]	CCA.C17-UNION.i5.37117 has gained 10 tokens.
[12:16:46]	CCA.C17-UNION.i5.37117 used the 'General Store Vendor' vendor.
[12:16:58]	CCA.C17-UNION.i5.37117 ran 'drop' on item 'Green Shirt' (#35653)
[12:16:58]	CCA.C17-UNION.i5.37117 has lost a 'Green Shirt' #35653.
[12:17:01]	CCA.C17-UNION.i5.37117 ran 'drop' on item 'Gloves' (#35652)
[12:17:01]	CCA.C17-UNION.i5.37117 has lost a 'Gloves' #35652.
[12:17:03]	CCA.C17-UNION.i5.37117 ran 'drop' on item 'Gray and Brown Coat and Sweater' (#35651)
[12:17:03]	CCA.C17-UNION.i5.37117 has lost a 'Gray and Brown Coat and Sweater' #35651.
[12:17:06]	CCA.C17-UNION.i5.37117 ran 'drop' on item 'Green Beanie' (#35705)
[12:17:06]	CCA.C17-UNION.i5.37117 has lost a 'Green Beanie' #35705.
[12:20:18]	CCA.C17-UNION.i5.37117 has gained 10 tokens.
[12:25:18]	CCA.C17-UNION.i5.37117 has gained 10 tokens.
[12:25:50]	CCA.C17-UNION.i5.37117 used command '/ViewCamera'.
