[15:07:21]	poggers has connected.
[15:09:29]	poggers loaded the character 'Johnny Benson'
[15:15:13]	Johnny Benson has taken 15 damage from worldspawn.
[15:16:38]	Johnny Benson used the 'General Store Manager' vendor.
[15:17:55]	Johnny Benson ran 'take' on item 'Wires' (#6595)
[15:17:55]	Johnny Benson has gained a 'Wires' #6595.
[15:18:40]	Johnny Benson ran 'drop' on item 'Wooden Piece' (#6646)
[15:18:40]	Johnny Benson has lost a 'Wooden Piece' #6646.
[15:18:43]	Johnny Benson ran 'take' on item 'Wooden Piece' (#6646)
[15:18:43]	Johnny Benson has gained a 'Wooden Piece' #6646.
[15:18:58]	Johnny Benson ran 'equip' on item 'Citizen Filter' (#6703)
[15:19:01]	Johnny Benson ran 'Equip' on item 'Handcannon' (#6655)
[15:19:12]	Johnny Benson ran 'EquipUn' on item 'Handcannon' (#6655)
[15:21:10]	DRD has connected.
[15:25:49]	Johnny Benson opened the '' #477 container.
[15:25:51]	Johnny Benson closed the '' #477 container.
[15:26:17]	DRD loaded the character 'CCA.C17-GRID.i1.59212'
[15:26:27]	[OOC] Johnny Benson: hi
[15:26:37]	[OOC] CCA.C17-GRID.i1.59212: hi
[15:26:40]	CCA.C17-GRID.i1.59212 used command '/ViewData john'.
[15:27:03]	CCA.C17-GRID.i1.59212 has spawned 'models/props_c17/FurnitureDresser001a.mdl'.
[15:27:36]	CCA.C17-GRID.i1.59212 used command '/AddTenant grid'.
[15:27:50]	CCA.C17-GRID.i1.59212 used command '/RemoveTenant 2'.
[15:28:17]	CCA.C17-GRID.i1.59212 used the 'General Store Manager' vendor.
[15:29:50]	CCA.C17-GRID.i1.59212 used command '/ToggleRaise'.
[15:29:55]	CCA.C17-GRID.i1.59212 used command '/ToggleRaise'.
[15:30:04]	CCA.C17-GRID.i1.59212 opened the '' #396 container.
[15:30:06]	CCA.C17-GRID.i1.59212 closed the '' #396 container.
[15:30:08]	CCA.C17-GRID.i1.59212 opened the '' #395 container.
[15:30:09]	CCA.C17-GRID.i1.59212 closed the '' #395 container.
[15:30:11]	CCA.C17-GRID.i1.59212 opened the '' #397 container.
[15:30:13]	CCA.C17-GRID.i1.59212 closed the '' #397 container.
[15:31:17]	CCA.C17-GRID.i1.59212 has gained 10 tokens.
[15:37:16]	[OOC] CCA.C17-GRID.i1.59212: brb
[15:46:17]	CCA.C17-GRID.i1.59212 has gained 10 tokens.
[15:56:17]	CCA.C17-GRID.i1.59212 has gained 10 tokens.
[16:06:17]	CCA.C17-GRID.i1.59212 has gained 10 tokens.
[16:07:29]	CCA.C17-GRID.i1.59212 opened the '' #400 container.
[16:07:31]	CCA.C17-GRID.i1.59212 closed the '' #400 container.
[16:07:32]	CCA.C17-GRID.i1.59212 opened the '' #374 container.
[16:07:35]	CCA.C17-GRID.i1.59212 closed the '' #374 container.
[16:08:20]	CCA.C17-GRID.i1.59212 has spawned 'models/mechanics/solid_steel/type_a_2_2.mdl'.
[16:08:32]	CCA.C17-GRID.i1.59212 has spawned 'models/mechanics/solid_steel/type_f_6_4.mdl'.
[16:08:37]	CCA.C17-GRID.i1.59212 has spawned 'models/mechanics/solid_steel/type_b_2_2.mdl'.
[16:08:43]	CCA.C17-GRID.i1.59212 has spawned 'models/mechanics/solid_steel/type_b_2_24.mdl'.
[16:08:57]	CCA.C17-GRID.i1.59212 has spawned 'models/quarterlife/fsd-overrun-toy.mdl'.
[16:09:07]	CCA.C17-GRID.i1.59212 has spawned 'models/props_phx/trains/monorail1.mdl'.
[16:09:12]	CCA.C17-GRID.i1.59212 has spawned 'models/props_phx/trains/trackslides_both.mdl'.
[16:09:14]	CCA.C17-GRID.i1.59212 has spawned 'models/xqm/CoasterTrack/track_guide.mdl'.
[16:09:19]	CCA.C17-GRID.i1.59212 has spawned 'models/props_phx/trains/double_wheels.mdl'.
[16:09:31]	CCA.C17-GRID.i1.59212 has spawned 'models/xqm/CoasterTrack/special_station.mdl'.
[16:09:34]	CCA.C17-GRID.i1.59212 has spawned 'models/xqm/CoasterTrack/straight_1.mdl'.
[16:09:38]	CCA.C17-GRID.i1.59212 has spawned 'models/XQM/coastertrain1seat.mdl'.
[16:09:47]	CCA.C17-GRID.i1.59212 has spawned 'models/props_phx/trains/double_wheels.mdl'.
[16:09:49]	CCA.C17-GRID.i1.59212 has spawned 'models/props_phx/trains/medium_wheel_2.mdl'.
[16:09:54]	CCA.C17-GRID.i1.59212 has spawned 'models/props_phx/trains/monorail1.mdl'.
[16:10:04]	CCA.C17-GRID.i1.59212 has spawned 'models/props_phx/trains/tracks/track_1x.mdl'.
[16:10:30]	CCA.C17-GRID.i1.59212 has spawned 'models/props_phx/trains/tracks/track_1x.mdl'.
[16:10:30]	CCA.C17-GRID.i1.59212 has spawned 'models/props_phx/trains/tracks/track_1x.mdl'.
[16:10:48]	CCA.C17-GRID.i1.59212 has spawned 'models/props_phx/trains/tracks/track_225_down.mdl'.
[16:10:52]	CCA.C17-GRID.i1.59212 has spawned 'models/props_phx/trains/tracks/track_1x.mdl'.
[16:10:54]	CCA.C17-GRID.i1.59212 has spawned 'models/props_phx/trains/tracks/track_single.mdl'.
[16:11:02]	CCA.C17-GRID.i1.59212 has spawned 'models/props_phx/trains/tracks/track_single.mdl'.
[16:11:02]	CCA.C17-GRID.i1.59212 has spawned 'models/props_phx/trains/tracks/track_single.mdl'.
[16:11:05]	CCA.C17-GRID.i1.59212 has spawned 'models/props_phx/trains/tracks/track_single.mdl'.
[16:11:05]	CCA.C17-GRID.i1.59212 has spawned 'models/props_phx/trains/tracks/track_single.mdl'.
[16:11:05]	CCA.C17-GRID.i1.59212 has spawned 'models/props_phx/trains/tracks/track_single.mdl'.
[16:11:05]	CCA.C17-GRID.i1.59212 has spawned 'models/props_phx/trains/tracks/track_single.mdl'.
