[11:17:30]	MilkyWay has connected.
[11:20:27]	MilkyWay loaded the character 'CCA.C17-UNION.i5.09143'
[11:21:22]	CCA.C17-UNION.i5.09143 has taken 10 damage from npc_zombie.
[11:21:26]	CCA.C17-UNION.i5.09143 has taken 10 damage from npc_zombie.
[11:21:27]	CCA.C17-UNION.i5.09143 has taken 10 damage from npc_zombie.
[11:21:29]	CCA.C17-UNION.i5.09143 has taken 10 damage from npc_zombie.
[11:21:31]	CCA.C17-UNION.i5.09143 has taken 10 damage from npc_zombie.
[11:21:52]	CCA.C17-UNION.i5.09143 has taken 10 damage from npc_zombine.
[11:21:53]	CCA.C17-UNION.i5.09143 has taken 10 damage from npc_zombine.
[11:21:54]	CCA.C17-UNION.i5.09143 has taken 10 damage from npc_zombine.
[11:21:55]	CCA.C17-UNION.i5.09143 has taken 10 damage from npc_zombine.
[11:21:56]	CCA.C17-UNION.i5.09143 has taken 10 damage from npc_zombine.
[11:21:57]	CCA.C17-UNION.i5.09143 has taken 10 damage from npc_zombine.
[11:21:58]	CCA.C17-UNION.i5.09143 has taken 10 damage from npc_zombine.
[11:21:59]	CCA.C17-UNION.i5.09143 has taken 10 damage from npc_zombine.
[11:22:25]	CCA.C17-UNION.i5.09143 ran 'ApplySelf' on item 'Health Vial' (#5282)
[11:22:27]	CCA.C17-UNION.i5.09143 ran 'Apply' on item 'Health Vial' (#5282)
[11:23:21]	MilkyWay loaded the character 'Andrew Philip'
[11:23:34]	Andrew Philip has taken 5 damage from npc_headcrab.
[11:23:37]	Andrew Philip has taken 10 damage from npc_zombie.
[11:23:39]	Andrew Philip has taken 5 damage from npc_headcrab.
[11:23:39]	Andrew Philip has taken 10 damage from npc_zombie.
[11:23:47]	Andrew Philip has taken 5 damage from npc_headcrab.
[11:24:02]	Andrew Philip has taken 10 damage from npc_poisonzombie.
[11:24:13]	Andrew Philip has gained 20 tokens.
[11:24:27]	Andrew Philip ran 'take' on item 'Scrap Metal' (#6903)
[11:24:27]	Andrew Philip has gained a 'Scrap Metal' #6903.
[11:24:33]	Andrew Philip ran 'ApplySelf' on item 'Bandage' (#6549)
[11:24:34]	Andrew Philip ran 'ApplySelf' on item 'Bandage' (#6549)
[11:24:35]	Andrew Philip ran 'ApplySelf' on item 'Bandage' (#6549)
[11:24:38]	Andrew Philip has taken 10 damage from npc_zombine.
[11:24:45]	Andrew Philip has taken 10 damage from npc_zombie.
[11:24:46]	Andrew Philip has taken 10 damage from npc_zombie.
[11:24:48]	Andrew Philip has taken 10 damage from npc_zombie.
[11:24:48]	Andrew Philip has taken 10 damage from npc_zombie.
[11:24:50]	Andrew Philip has taken 10 damage from npc_zombie.
[11:24:55]	Andrew Philip has taken 10 damage from npc_zombie.
[11:24:58]	Andrew Philip ran 'take' on item 'Fingerless Gloves' (#6906)
[11:24:58]	Andrew Philip has gained a 'Fingerless Gloves' #6906.
[11:25:12]	Andrew Philip has taken 15 damage from npc_barnacle.
[11:25:27]	Andrew Philip ran 'ApplySelf' on item 'Bandage' (#6549)
[11:25:27]	Andrew Philip ran 'ApplySelf' on item 'Bandage' (#6549)
[11:25:30]	Andrew Philip ran 'ApplySelf' on item 'Bandage' (#6549)
[11:25:41]	Andrew Philip has taken 10 damage from npc_zombie.
[11:25:48]	Andrew Philip ran 'take' on item 'Padlock' (#6907)
[11:25:48]	Andrew Philip has gained a 'Padlock' #6907.
[11:25:54]	Andrew Philip has taken 5 damage from npc_fastzombie.
[11:25:57]	Andrew Philip has taken 3 damage from npc_fastzombie.
[11:25:57]	Andrew Philip has taken 3 damage from npc_fastzombie.
[11:25:59]	Andrew Philip has taken 3 damage from npc_fastzombie.
[11:26:00]	Andrew Philip has taken 3 damage from npc_fastzombie.
[11:26:00]	Andrew Philip has taken 3 damage from npc_fastzombie.
[11:26:03]	Andrew Philip has gained 10 tokens.
[11:26:04]	Andrew Philip has taken 10 damage from npc_zombie.
[11:26:06]	Andrew Philip has taken 10 damage from npc_zombie.
[11:26:07]	Andrew Philip has taken 3 damage from npc_fastzombie.
[11:26:07]	Andrew Philip has taken 3 damage from npc_fastzombie.
[11:26:10]	Andrew Philip has taken 3 damage from npc_fastzombie.
[11:26:10]	Andrew Philip has taken 3 damage from npc_fastzombie.
[11:26:10]	Andrew Philip has taken 3 damage from npc_fastzombie.
[11:26:13]	Andrew Philip has taken 3 damage from npc_fastzombie.
[11:26:14]	Andrew Philip has taken 3 damage from npc_fastzombie.
[11:26:14]	Andrew Philip has taken 3 damage from npc_fastzombie.
[11:26:18]	Andrew Philip has gained 20 tokens.
[11:26:19]	Andrew Philip ran 'take' on item 'Wires' (#6908)
[11:26:19]	Andrew Philip has gained a 'Wires' #6908.
