[00:45:45]	Emperor Stiffy has connected.
[00:47:30]	Emperor Stiffy created the character 'bruh'
[00:47:30]	bruh has gained a 'Suitcase' #8045.
[00:47:30]	bruh has gained a 'Relocation Coupon' #8046.
[00:47:30]	bruh has gained a 'Green Citizen Suit' #8047.
[00:47:30]	bruh has gained a 'Citizen Filter' #8048.
[00:47:31]	Emperor Stiffy loaded the character 'bruh'
[00:47:31]	bruh has taken 1 damage from worldspawn.
[00:47:31]	bruh has taken 1 damage from worldspawn.
[00:47:32]	bruh has taken 1 damage from worldspawn.
[00:47:33]	bruh has taken 1 damage from worldspawn.
[00:47:34]	bruh has taken 1 damage from worldspawn.
[00:47:34]	bruh has taken 1 damage from worldspawn.
[00:47:35]	bruh has taken 1 damage from worldspawn.
[00:47:36]	bruh has taken 1 damage from worldspawn.
[00:47:37]	bruh has taken 1 damage from worldspawn.
[00:47:37]	bruh has taken 1 damage from worldspawn.
[00:47:38]	bruh has taken 1 damage from worldspawn.
[00:47:39]	bruh has taken 1 damage from worldspawn.
[00:47:40]	bruh has taken 1 damage from worldspawn.
[00:47:40]	Emperor Stiffy (STEAM_0:1:454817087) has disconnected.
