[02:23:18]	Hev Scientist has connected.
[02:26:12]	Hev Scientist created the character 'A man here for the beta'
[02:26:12]	A man here for the beta has gained a 'Suitcase' #21414.
[02:26:13]	A man here for the beta has gained a 'Relocation Coupon' #21415.
[02:26:13]	A man here for the beta has gained a 'Cyclopic Citizen Suit' #21416.
[02:26:13]	A man here for the beta has gained a 'Citizen Filter' #21417.
[02:26:13]	Hev Scientist loaded the character 'A man here for the beta'
[02:26:24]	A man here for the beta ran 'Equip' on item 'Cyclopic Citizen Suit' (#21416)
[02:26:27]	A man here for the beta ran 'EquipUn' on item 'Cyclopic Citizen Suit' (#21416)
[02:26:32]	A man here for the beta ran 'Equip' on item 'Cyclopic Citizen Suit' (#21416)
[02:26:35]	A man here for the beta ran 'equip' on item 'Citizen Filter' (#21417)
[02:26:53]	A man here for the beta used command '/Content'.
[02:27:46]	A man here for the beta has taken 5 damage from A man here for the beta.
[02:27:46]	A man here for the beta has killed A man here for the beta.
[02:27:46]	A man here for the beta has gained 10 tokens.
[02:28:50]	A man here for the beta used command '/Discord'.
[02:31:21]	Hev Scientist (STEAM_0:0:77525893) has disconnected.
[19:57:10]	Bean has connected.
[19:58:08]	Bean loaded the character 'Alex Palovichov'
[19:58:14]	Alex Palovichov ran 'Equip' on item 'Combine Worker Suit' (#21413)
[19:59:06]	Alex Palovichov ran 'equip' on item 'CCA Filter' (#21412)
[19:59:56]	Alex Palovichov used the 'Shady Salesman' vendor.
[20:02:00]	Alex Palovichov ran 'take' on item 'Pack of Nails' (#21417)
[20:02:00]	Alex Palovichov has gained a 'Pack of Nails' #21417.
[20:02:34]	Alex Palovichov has taken 5 damage from npc_headcrab_fast.
[20:02:42]	Alex Palovichov has taken 5 damage from npc_headcrab_fast.
[20:02:45]	Alex Palovichov has taken 5 damage from npc_headcrab_fast.
[20:02:48]	Alex Palovichov has taken 5 damage from npc_headcrab_fast.
[20:04:49]	Alex Palovichov has taken 1 damage from env_fire.
[20:05:07]	Alex Palovichov has gained 10 tokens.
[20:07:01]	Alex Palovichov has taken 4 damage from monster_bullsquid.
[20:07:01]	Alex Palovichov has taken 4 damage from monster_bullsquid.
[20:07:01]	Alex Palovichov has taken 4 damage from monster_bullsquid.
[20:07:01]	Alex Palovichov has taken 4 damage from monster_bullsquid.
[20:07:01]	Alex Palovichov has taken 4 damage from monster_bullsquid.
[20:11:29]	[Y] Alex Palovichov: Hey.
[20:11:35]	[Y] Alex Palovichov: HEY ASSHOLE.
[20:11:43]	[Y] Alex Palovichov: HEY.
[20:11:55]	[Y] Alex Palovichov: Hello.
[20:11:58]	[Y] Alex Palovichov: Why.
[20:14:02]	Alex Palovichov has taken 5 damage from npc_fastzombie.
[20:14:40]	[Y] Alex Palovichov: HEY.
[20:14:54]	Alex Palovichov used the 'Shady Salesman' vendor.
[20:15:09]	Alex Palovichov has lost 5 tokens.
[20:15:09]	Alex Palovichov has gained a 'Small Items Case' #21418.
[20:16:55]	Alex Palovichov used the 'Yield Turn-In' vendor.
[20:17:02]	Alex Palovichov used the 'Cycle Supply' vendor.
[20:19:50]	Alex Palovichov ran 'EquipUn' on item 'Combine Worker Suit' (#21413)
[20:20:08]	Alex Palovichov has taken 1 damage from worldspawn.
[20:20:09]	Alex Palovichov has taken 1 damage from worldspawn.
[20:20:10]	Alex Palovichov has taken 1 damage from worldspawn.
[20:20:11]	Alex Palovichov has taken 1 damage from worldspawn.
[20:20:11]	Alex Palovichov has taken 1 damage from worldspawn.
[20:20:12]	Alex Palovichov ran 'Equip' on item 'Combine Worker Suit' (#21413)
[20:20:15]	Alex Palovichov ran 'EquipUn' on item 'Combine Worker Suit' (#21413)
[20:20:16]	Alex Palovichov ran 'Equip' on item 'Green Citizen Suit' (#21318)
[20:20:50]	Alex Palovichov used command '/DoorBuy'.
[20:24:46]	Alex Palovichov ran 'EquipUn' on item 'Green Citizen Suit' (#21318)
[20:25:12]	Alex Palovichov has taken 1 damage from worldspawn.
[20:25:13]	Alex Palovichov has taken 1 damage from worldspawn.
[20:25:14]	Alex Palovichov has taken 1 damage from worldspawn.
[20:25:14]	Alex Palovichov has taken 1 damage from worldspawn.
[20:25:15]	Alex Palovichov has taken 1 damage from worldspawn.
[20:25:16]	Alex Palovichov ran 'Equip' on item 'Green Citizen Suit' (#21318)
[20:30:47]	[Y] Alex Palovichov: Broken.
[20:38:19]	Alex Palovichov has taken 1 damage from worldspawn.
[20:38:20]	Alex Palovichov has taken 1 damage from worldspawn.
[20:38:21]	Alex Palovichov has taken 1 damage from worldspawn.
