[19:35:06]	..........123 has connected.
[20:07:08]	..........123 created the character '4bigguys'
[20:07:08]	4bigguys has gained a 'Suitcase' #21462.
[20:07:08]	4bigguys has gained a 'Relocation Coupon' #21463.
[20:07:08]	4bigguys has gained a 'Green Citizen Suit' #21464.
[20:07:08]	4bigguys has gained a 'Citizen Filter' #21465.
[20:07:08]	..........123 loaded the character '4bigguys'
[20:09:18]	..........123 (STEAM_0:0:566979592) has disconnected.
[21:31:08]	SpikiestSnipeR has connected.
[21:34:06]	SpikiestSnipeR created the character 'terry'
[21:34:06]	terry has gained a 'Suitcase' #21466.
[21:34:06]	terry has gained a 'Relocation Coupon' #21467.
[21:34:06]	terry has gained a 'Cyclopic Citizen Suit' #21468.
[21:34:06]	terry has gained a 'Citizen Filter' #21469.
[21:34:06]	SpikiestSnipeR loaded the character 'terry'
[21:35:06]	terry has taken 1 damage from worldspawn.
[21:35:29]	SpikiestSnipeR (STEAM_0:0:192027032) has disconnected.
