[14:22:31]	Johnston has connected.
[14:24:03]	Johnston (STEAM_0:1:5631575) has disconnected.
[15:36:55]	matt saton has connected.
[15:39:45]	matt saton loaded the character 'Lee Maylor'
[15:40:45]	Lee Maylor has taken 1 damage from worldspawn.
[15:40:46]	Lee Maylor has taken 1 damage from worldspawn.
[15:40:47]	Lee Maylor has taken 1 damage from worldspawn.
[15:40:48]	Lee Maylor has taken 1 damage from worldspawn.
[15:40:48]	Lee Maylor has taken 1 damage from worldspawn.
[15:40:49]	Lee Maylor has taken 1 damage from worldspawn.
[15:40:50]	Lee Maylor has taken 1 damage from worldspawn.
[15:40:51]	Lee Maylor has taken 1 damage from worldspawn.
[15:40:51]	Lee Maylor has taken 1 damage from worldspawn.
[15:40:52]	Lee Maylor has taken 1 damage from worldspawn.
[15:40:53]	Lee Maylor has taken 1 damage from worldspawn.
[15:40:54]	Lee Maylor has taken 1 damage from worldspawn.
[15:40:54]	Lee Maylor has taken 1 damage from worldspawn.
[15:40:55]	Lee Maylor has taken 1 damage from worldspawn.
[15:40:56]	Lee Maylor has taken 1 damage from worldspawn.
[15:40:57]	Lee Maylor has taken 1 damage from worldspawn.
[15:40:58]	Lee Maylor has taken 1 damage from worldspawn.
[15:40:58]	Lee Maylor has taken 1 damage from worldspawn.
[15:40:59]	Lee Maylor has taken 1 damage from worldspawn.
[15:41:00]	Lee Maylor has taken 1 damage from worldspawn.
[15:41:01]	Lee Maylor has taken 1 damage from worldspawn.
[15:41:01]	Lee Maylor has taken 1 damage from worldspawn.
[15:41:02]	Lee Maylor has taken 1 damage from worldspawn.
[15:41:03]	Lee Maylor has taken 1 damage from worldspawn.
[15:41:04]	Lee Maylor has taken 1 damage from worldspawn.
[15:41:04]	Lee Maylor has taken 1 damage from worldspawn.
[15:41:05]	Lee Maylor has taken 1 damage from worldspawn.
[15:41:06]	Lee Maylor has taken 1 damage from worldspawn.
[15:41:07]	Lee Maylor has taken 1 damage from worldspawn.
[15:41:07]	Lee Maylor has taken 1 damage from worldspawn.
[15:41:08]	Lee Maylor has taken 1 damage from worldspawn.
[15:41:09]	Lee Maylor has taken 1 damage from worldspawn.
[15:41:10]	Lee Maylor has taken 1 damage from worldspawn.
[15:41:10]	Lee Maylor has taken 1 damage from worldspawn.
[15:41:11]	Lee Maylor has taken 1 damage from worldspawn.
[15:41:12]	Lee Maylor has taken 1 damage from worldspawn.
[15:41:12]	Lee Maylor entered observer.
[15:41:19]	Lee Maylor exited observer at their location.
[15:41:19]	Lee Maylor has taken 1 damage from worldspawn.
[15:41:20]	Lee Maylor has taken 1 damage from worldspawn.
[15:41:20]	Lee Maylor entered observer.
[15:41:35]	Lee Maylor used command '/ToggleRaise'.
[15:41:40]	Lee Maylor destroyed a 'Dark Beanie' #7500.
[15:41:40]	Lee Maylor destroyed a 'Zip Tie' #9091.
[15:41:40]	Lee Maylor destroyed a 'Zip Tie' #9092.
[15:41:40]	Lee Maylor destroyed a 'Resin' #8972.
[15:41:40]	Lee Maylor destroyed a 'Relocation Coupon' #9755.
[15:41:40]	Lee Maylor destroyed a 'Blood Sample' #8973.
[15:46:40]	Lee Maylor exited observer at their location.
[15:46:40]	Lee Maylor has taken 1 damage from worldspawn.
[15:46:41]	Lee Maylor entered observer.
[15:46:41]	Lee Maylor exited observer at their location.
[15:46:41]	Lee Maylor has taken 1 damage from worldspawn.
[15:46:42]	Lee Maylor entered observer.
[15:46:42]	Lee Maylor exited observer at their location.
[15:46:42]	Lee Maylor has taken 1 damage from worldspawn.
[15:46:42]	Lee Maylor entered observer.
[15:46:45]	Lee Maylor ran 'equip' on item 'Citizen Filter' (#9885)
[15:46:45]	Lee Maylor exited observer at their location.
[15:46:46]	Lee Maylor entered observer.
[15:46:46]	Lee Maylor exited observer at their location.
[15:46:46]	Lee Maylor entered observer.
[15:47:05]	Lee Maylor exited observer at their location.
[15:47:05]	Lee Maylor entered observer.
[15:47:06]	Lee Maylor exited observer at their location.
[15:47:08]	Lee Maylor entered observer.
[15:47:09]	Lee Maylor exited observer at their location.
[15:47:43]	Lee Maylor entered observer.
[15:47:46]	Lee Maylor exited observer at their location.
[15:47:47]	Lee Maylor entered observer.
[15:47:48]	Lee Maylor exited observer at their location.
[15:47:48]	Lee Maylor opened the '' #689 container.
[15:47:50]	Lee Maylor closed the '' #689 container.
[15:47:52]	Lee Maylor entered observer.
[15:47:53]	Lee Maylor exited observer at their location.
[15:47:54]	Lee Maylor has taken 18 damage from monster_gonome.
[15:47:54]	monster_gonome has killed Lee Maylor.
[15:47:54]	Lee Maylor entered observer.
[15:48:10]	Lee Maylor entered observer.
[15:48:29]	Lee Maylor exited observer at their location.
[15:48:29]	Lee Maylor entered observer.
[15:49:29]	Lee Maylor exited observer at their location.
[15:49:40]	Lee Maylor entered observer.
[15:50:31]	Lee Maylor exited observer at their location.
[15:50:34]	Lee Maylor entered observer.
[15:51:07]	Lee Maylor exited observer at their location.
[15:51:18]	Lee Maylor entered observer.
[15:51:21]	Lee Maylor exited observer at their location.
[15:51:22]	Lee Maylor entered observer.
[15:51:59]	Lee Maylor exited observer at their location.
[15:52:01]	Lee Maylor entered observer.
[15:52:03]	Lee Maylor has spawned a 'Entity [840][combine_mine]'.
[15:52:04]	Lee Maylor has spawned a 'Entity [2948][combine_mine]'.
[15:52:05]	Lee Maylor has spawned a 'Entity [2980][combine_mine]'.
[15:52:09]	Lee Maylor has spawned a 'Entity [1137][combine_mine]'.
[15:52:10]	Lee Maylor has spawned a 'Entity [3702][combine_mine]'.
[15:52:11]	Lee Maylor has spawned a 'Entity [3704][combine_mine]'.
[15:52:12]	Lee Maylor has spawned a 'Entity [2956][combine_mine]'.
[15:52:14]	Lee Maylor has spawned a 'Entity [3703][combine_mine]'.
[15:52:30]	Lee Maylor has spawned a 'Entity [3705][combine_mine]'.
[15:53:12]	Lee Maylor exited observer at their location.
[15:53:26]	Lee Maylor entered observer.
[15:53:27]	Lee Maylor exited observer at their location.
[15:53:28]	Lee Maylor entered observer.
[15:53:28]	Lee Maylor exited observer at their location.
[15:53:32]	Lee Maylor has taken 115 damage from combine_mine.
[15:53:32]	combine_mine has killed Lee Maylor.
[15:53:42]	Lee Maylor entered observer.
[15:54:35]	Lee Maylor exited observer at their location.
[15:54:35]	Lee Maylor entered observer.
[15:54:37]	Lee Maylor exited observer at their location.
[15:54:37]	Lee Maylor entered observer.
[15:54:38]	Lee Maylor exited observer at their location.
[15:54:38]	Lee Maylor entered observer.
[15:54:39]	Lee Maylor exited observer at their location.
[15:54:40]	Lee Maylor entered observer.
[15:54:41]	Lee Maylor exited observer at their location.
[15:54:41]	Lee Maylor entered observer.
[15:54:42]	Lee Maylor exited observer at their location.
[15:54:42]	Lee Maylor entered observer.
[15:54:43]	Lee Maylor exited observer at their location.
[15:54:44]	Lee Maylor entered observer.
[15:54:45]	Lee Maylor exited observer at their location.
[15:54:45]	Lee Maylor entered observer.
[15:54:46]	Lee Maylor exited observer at their location.
