[00:03:03]	ChickenChaser has connected.
[00:04:34]	Retarded Bird ran 'drop' on item 'Paper' (#2849)
[00:04:34]	Retarded Bird has lost a 'Paper' #2849.
[00:04:39]	Retarded Bird ran 'View' on item 'Paper' (#2849)
[00:04:46]	ChickenChaser created the character 'John Sturges'
[00:04:46]	John Sturges has gained a 'Suitcase' #2850.
[00:04:46]	John Sturges has gained a 'Relocation Coupon' #2851.
[00:04:47]	ChickenChaser loaded the character 'John Sturges'
[00:05:09]	ChickenChaser (STEAM_0:1:25250785) has disconnected.
[00:07:31]	matt saton (STEAM_0:1:53097688) has disconnected.
[16:01:46]	matt saton has connected.
[16:03:45]	matt saton loaded the character 'Gabe Hill'
[16:04:16]	Gabe Hill entered observer.
[16:04:20]	Gabe Hill exited observer at their location.
[16:04:29]	Gabe Hill used command '/TextAdd lorem ipsum dolor sit amet, 2'.
[16:04:44]	Gabe Hill used command '/TextRemove'.
[16:04:44]	Gabe Hill entered observer.
[16:05:39]	Gabe Hill exited observer at their location.
[16:06:17]	Gabe Hill used command '/ToggleRaise'.
[16:06:21]	Gabe Hill used command '/ToggleRaise'.
[16:06:35]	Gabe Hill entered observer.
[16:06:36]	Gabe Hill entered observer.
[16:06:45]	Gabe Hill entered observer.
[16:06:46]	Gabe Hill entered observer.
[16:06:47]	Gabe Hill exited observer at their location.
[16:06:51]	Gabe Hill has taken 49 damage from Gabe Hill.
[16:07:13]	Gabe Hill entered observer.
[16:07:25]	Gabe Hill used command '/ToggleRaise'.
[16:08:36]	Gabe Hill entered observer.
[16:10:46]	Gabe Hill entered observer.
[16:10:47]	Gabe Hill exited observer at their location.
[16:10:47]	Gabe Hill entered observer.
[16:10:49]	Gabe Hill exited observer at their location.
[16:11:23]	Gabe Hill entered observer.
[16:11:31]	Gabe Hill entered observer.
[16:11:42]	Gabe Hill entered observer.
[16:11:43]	Gabe Hill has spawned a 'NPC [1995][npc_headcrab]'.
[16:11:45]	Gabe Hill exited observer at their location.
[16:11:46]	Gabe Hill has taken 5 damage from npc_headcrab.
[16:11:51]	Gabe Hill has taken 5 damage from npc_headcrab.
[16:11:53]	Gabe Hill has spawned a 'NPC [163][npc_houndeye]'.
[16:11:57]	Gabe Hill has spawned a 'NPC [1967][npc_houndeye]'.
[16:11:58]	Gabe Hill entered observer.
[16:11:59]	Gabe Hill has spawned a 'NPC [1969][npc_houndeye]'.
[16:12:00]	Gabe Hill exited observer at their location.
[16:12:02]	Gabe Hill entered observer.
[16:12:04]	Gabe Hill exited observer at their location.
[16:12:06]	Gabe Hill has spawned a 'NPC [1969][npc_fauna_ground]'.
[16:12:07]	Gabe Hill entered observer.
[16:12:12]	Gabe Hill has spawned a 'NPC [1969][npc_particlestorm]'.
[16:12:43]	matt saton loaded the character 'UU-SeC.17'
[16:12:45]	UU-SeC.17 entered observer.
[16:12:52]	UU-SeC.17 has spawned a 'NPC [1966][npc_bullsquid_aquatic]'.
[16:12:55]	UU-SeC.17 has spawned a 'NPC [1968][npc_bullsquid_aquatic]'.
[16:13:04]	UU-SeC.17 exited observer at their location.
[16:13:06]	UU-SeC.17 has taken 12 damage from npc_bullsquid_aquatic.
[16:13:08]	UU-SeC.17 has spawned a 'NPC [1966][npc_bullsquid_aquatic]'.
[16:13:08]	UU-SeC.17 entered observer.
[16:13:10]	UU-SeC.17 exited observer at their location.
