[13:18:43]	Doctor Freeman has connected.
[13:20:46]	Doctor Freeman loaded the character 'Jason Sheer'
[13:23:35]	Jason Sheer ran 'View' on item 'Notepad' (#9911)
[13:23:40]	Jason Sheer opened the '' #769 container.
[13:23:42]	Jason Sheer closed the '' #769 container.
[13:24:02]	Doctor Freeman created the character 'aaac'
[13:24:02]	aaac has gained a 'Suitcase' #10252.
[13:24:02]	aaac has gained a 'Relocation Coupon' #10253.
[13:24:02]	aaac has gained a 'Green Citizen Suit' #10254.
[13:24:02]	aaac has gained a 'Citizen Filter' #10255.
[13:24:09]	Doctor Freeman created the character 'aaaaa'
[13:24:09]	aaaaa has gained a 'Suitcase' #10256.
[13:24:09]	aaaaa has gained a 'Relocation Coupon' #10257.
[13:24:09]	aaaaa has gained a 'Cyclopic Citizen Suit' #10258.
[13:24:09]	aaaaa has gained a 'Citizen Filter' #10259.
[13:24:15]	Doctor Freeman created the character 'd sad sad sadsad'
[13:24:15]	d sad sad sadsad has gained a 'Suitcase' #10260.
[13:24:15]	d sad sad sadsad has gained a 'Relocation Coupon' #10261.
[13:24:15]	d sad sad sadsad has gained a 'Cyclopic Citizen Suit' #10262.
[13:24:15]	d sad sad sadsad has gained a 'Citizen Filter' #10263.
[13:24:21]	Doctor Freeman created the character 'd sad sad sa dasdsad sad as ddsa'
[13:24:21]	d sad sad sa dasdsad sad as ddsa has gained a 'Suitcase' #10264.
[13:24:21]	d sad sad sa dasdsad sad as ddsa has gained a 'Relocation Coupon' #10265.
[13:24:21]	d sad sad sa dasdsad sad as ddsa has gained a 'Green Citizen Suit' #10266.
[13:24:21]	d sad sad sa dasdsad sad as ddsa has gained a 'Citizen Filter' #10267.
[13:24:29]	Doctor Freeman created the character 'ds ad sadsad sadsad ad sad'
[13:24:29]	ds ad sadsad sadsad ad sad has gained a 'Suitcase' #10268.
[13:24:29]	ds ad sadsad sadsad ad sad has gained a 'Relocation Coupon' #10269.
[13:24:29]	ds ad sadsad sadsad ad sad has gained a 'Cyclopic Citizen Suit' #10270.
[13:24:29]	ds ad sadsad sadsad ad sad has gained a 'Citizen Filter' #10271.
[13:24:33]	Doctor Freeman loaded the character 'aaac'
[13:25:04]	Doctor Freeman loaded the character 'aaaaa'
[13:25:22]	Doctor Freeman loaded the character 'd sad sad sadsad'
[13:25:40]	Doctor Freeman loaded the character 'd sad sad sa dasdsad sad as ddsa'
[13:26:03]	Doctor Freeman loaded the character 'ds ad sadsad sadsad ad sad'
[13:26:19]	ds ad sadsad sadsad ad sad opened the '' #769 container.
[13:26:20]	ds ad sadsad sadsad ad sad closed the '' #769 container.
[13:26:21]	ds ad sadsad sadsad ad sad opened the '' #769 container.
[13:26:25]	ds ad sadsad sadsad ad sad has given 35 tokens to '' #769 (35 tokens left).
