[00:00:02]	Morgan Beck has lost 7 tokens.
[00:00:10]	Morgan Beck ran 'take' on item 'Flavored Breen's Water' (#9224)
[00:00:10]	Morgan Beck has gained a 'Flavored Breen's Water' #9224.
[00:00:10]	[LOOC] Gordo Kin: Bruh
[00:00:11]	Gordo Kin has lost 10 tokens.
[00:00:13]	Morgan Beck ran 'Drink' on item 'Flavored Breen's Water' (#9224)
[00:00:15]	Morgan Beck has lost 5 tokens.
[00:00:19]	Morgan Beck ran 'take' on item 'Breen's Water' (#9226)
[00:00:19]	Morgan Beck has gained a 'Breen's Water' #9226.
[00:00:23]	[ME] Gordo Kin: Begins sipping on his drink through the mask.
[00:00:25]	Gordo Kin ran 'take' on item 'Sparkling Breen's Water' (#9225)
[00:00:25]	Gordo Kin has gained a 'Sparkling Breen's Water' #9225.
[00:00:27]	Gordo Kin ran 'Drink' on item 'Sparkling Breen's Water' (#9225)
[00:00:47]	CCA.C08-GRID.i4.69192 has spawned 'models/props_combine/combine_barricade_short02a.mdl'.
[00:00:50]	[Y] CCA.C08-GRID.i4.69192: <:: HEY, JACOB! ::>
[00:00:59]	CCA.C08-GRID.i4.69192 has spawned 'models/props_combine/combine_barricade_short02a.mdl'.
[00:01:02]	CCA.C08-GRID.i4.69192 has spawned 'models/props_combine/breenglobe.mdl'.
[00:01:03]	CCA.C08-GRID.i4.69192 has spawned 'models/props_combine/combine_barricade_short02a.mdl'.
[00:01:15]	[LOOC] CCA.C08-GRID.i4.69192: just a little bit
[00:01:26]	CCA.C08-GRID.i4.69192 used command '/ToggleRaise'.
[00:01:32]	CCA.C08-GRID.i4.69192 used command '/ToggleRaise'.
[00:02:05]	[LOOC] CCA.C08-GRID.i4.69192: yeah
[00:02:13]	Blood Ravens Sergeant (STEAM_0:1:129270116) has disconnected (timed out).
[00:02:14]	Morgan Beck used the 'Crate' vendor.
[00:02:17]	Morgan Beck has gained 0 tokens.
[00:02:17]	Morgan Beck has gained a 'Charred Metal' #9227.
[00:02:17]	Morgan Beck has gained 0 tokens.
[00:02:17]	Morgan Beck has gained a 'Charred Metal' #9228.
[00:02:18]	Morgan Beck has gained 0 tokens.
[00:02:18]	Morgan Beck has gained a 'Charred Metal' #9229.
[00:02:18]	Morgan Beck has gained 0 tokens.
[00:02:18]	Morgan Beck has gained a 'Charred Metal' #9230.
[00:02:18]	Morgan Beck has gained 0 tokens.
[00:02:18]	Morgan Beck has gained a 'Charred Metal' #9231.
[00:02:19]	Morgan Beck has gained 0 tokens.
[00:02:19]	Morgan Beck has gained a 'Charred Metal' #9232.
[00:02:19]	Morgan Beck has gained 0 tokens.
[00:02:19]	Morgan Beck has gained a 'Charred Metal' #9233.
[00:02:20]	Morgan Beck has gained 0 tokens.
[00:02:20]	Morgan Beck has gained a 'Charred Metal' #9234.
[00:02:20]	Morgan Beck has gained 0 tokens.
[00:02:20]	Morgan Beck has gained a 'Charred Metal' #9235.
[00:02:20]	Morgan Beck has gained 0 tokens.
[00:02:20]	Morgan Beck has gained a 'Charred Metal' #9236.
[00:02:21]	Morgan Beck has gained 0 tokens.
[00:02:21]	Morgan Beck has gained a 'Charred Metal' #9237.
[00:02:21]	Morgan Beck has gained 0 tokens.
[00:02:21]	Morgan Beck has gained a 'Charred Metal' #9238.
[00:02:26]	Morgan Beck has lost a 'Charred Metal' #9235.
[00:02:26]	Morgan Beck has lost a 'Charred Metal' #9236.
[00:02:26]	Morgan Beck has gained a 'Scrap Metal' #9239.
[00:02:26]	Morgan Beck has lost a 'Charred Metal' #9232.
[00:02:26]	Morgan Beck has lost a 'Charred Metal' #9228.
[00:02:26]	Morgan Beck has gained a 'Scrap Metal' #9240.
[00:02:27]	Morgan Beck has lost a 'Charred Metal' #9234.
[00:02:27]	Morgan Beck has lost a 'Charred Metal' #9230.
[00:02:27]	Morgan Beck has gained a 'Scrap Metal' #9241.
[00:02:27]	Morgan Beck has lost a 'Charred Metal' #9233.
[00:02:27]	Morgan Beck has lost a 'Charred Metal' #9229.
[00:02:27]	Morgan Beck has gained a 'Scrap Metal' #9242.
[00:02:27]	Morgan Beck has lost a 'Charred Metal' #9227.
[00:02:27]	Morgan Beck has lost a 'Charred Metal' #9238.
[00:02:27]	Morgan Beck has gained a 'Scrap Metal' #9243.
[00:02:27]	Morgan Beck has lost a 'Charred Metal' #9231.
[00:02:27]	Morgan Beck has lost a 'Charred Metal' #9237.
[00:02:27]	Morgan Beck has gained a 'Scrap Metal' #9244.
[00:02:28]	[ME] Gordo Kin: Begins picking up large amounts of charred metal
[00:02:28]	Morgan Beck has lost a 'Scrap Metal' #9241.
[00:02:28]	Morgan Beck has lost a 'Scrap Metal' #9243.
[00:02:28]	Morgan Beck has lost a 'Scrap Metal' #9242.
[00:02:28]	Morgan Beck has gained a 'Reclaimed Metal' #9245.
[00:02:28]	Morgan Beck has lost a 'Scrap Metal' #9239.
[00:02:28]	Morgan Beck has lost a 'Scrap Metal' #9240.
[00:02:28]	Morgan Beck has lost a 'Scrap Metal' #9244.
[00:02:28]	Morgan Beck has gained a 'Reclaimed Metal' #9246.
[00:02:29]	Gordo Kin used the 'Crate' vendor.
[00:02:31]	Morgan Beck used the 'Crate' vendor.
[00:02:32]	Gordo Kin has gained 0 tokens.
[00:02:32]	Gordo Kin has gained a 'Charred Metal' #9247.
[00:02:32]	Morgan Beck has gained 0 tokens.
[00:02:32]	Morgan Beck has gained a 'Charred Metal' #9248.
[00:02:33]	Morgan Beck has gained 0 tokens.
[00:02:33]	Morgan Beck has gained a 'Charred Metal' #9249.
[00:02:33]	Gordo Kin has gained 0 tokens.
[00:02:33]	Gordo Kin has gained a 'Charred Metal' #9250.
[00:02:33]	Morgan Beck has gained 0 tokens.
[00:02:33]	Morgan Beck has gained a 'Charred Metal' #9251.
[00:02:34]	Gordo Kin has gained 0 tokens.
[00:02:34]	Gordo Kin has gained a 'Charred Metal' #9252.
[00:02:34]	Morgan Beck has gained 0 tokens.
[00:02:34]	Morgan Beck has gained a 'Charred Metal' #9253.
[00:02:34]	Gordo Kin has gained 0 tokens.
[00:02:34]	Gordo Kin has gained a 'Charred Metal' #9254.
[00:02:34]	Morgan Beck has gained 0 tokens.
[00:02:34]	Morgan Beck has gained a 'Charred Metal' #9255.
[00:02:34]	Gordo Kin has gained 0 tokens.
[00:02:34]	Gordo Kin has gained a 'Charred Metal' #9256.
[00:02:35]	CCA.C08-GRID.i4.69192 has gained 10 tokens.
[00:02:35]	Morgan Beck has gained 0 tokens.
[00:02:35]	Morgan Beck has gained a 'Charred Metal' #9257.
[00:02:35]	Gordo Kin has gained 0 tokens.
[00:02:35]	Gordo Kin has gained a 'Charred Metal' #9258.
[00:02:35]	Gordo Kin has gained 0 tokens.
[00:02:35]	Gordo Kin has gained a 'Charred Metal' #9259.
[00:02:36]	Morgan Beck has gained 0 tokens.
[00:02:36]	Morgan Beck has gained a 'Charred Metal' #9260.
[00:02:36]	Gordo Kin has gained 0 tokens.
[00:02:36]	Gordo Kin has gained a 'Charred Metal' #9261.
[00:02:36]	Morgan Beck has gained 0 tokens.
[00:02:36]	Morgan Beck has gained a 'Charred Metal' #9262.
[00:02:36]	Morgan Beck has gained 0 tokens.
[00:02:36]	Morgan Beck has gained a 'Charred Metal' #9263.
[00:02:37]	Morgan Beck has gained 0 tokens.
[00:02:37]	Morgan Beck has gained a 'Charred Metal' #9264.
[00:02:37]	Morgan Beck has gained 0 tokens.
[00:02:37]	Morgan Beck has gained a 'Charred Metal' #9265.
[00:02:40]	Morgan Beck has lost a 'Charred Metal' #9263.
[00:02:40]	Morgan Beck has lost a 'Charred Metal' #9264.
[00:02:40]	Morgan Beck has gained a 'Scrap Metal' #9266.
[00:02:40]	Morgan Beck has lost a 'Charred Metal' #9251.
[00:02:40]	Morgan Beck has lost a 'Charred Metal' #9248.
[00:02:40]	Morgan Beck has gained a 'Scrap Metal' #9267.
[00:02:40]	Morgan Beck has lost a 'Charred Metal' #9255.
[00:02:40]	Morgan Beck has lost a 'Charred Metal' #9260.
[00:02:40]	Morgan Beck has gained a 'Scrap Metal' #9268.
[00:02:41]	Morgan Beck has lost a 'Charred Metal' #9265.
[00:02:41]	Morgan Beck has lost a 'Charred Metal' #9249.
[00:02:41]	Morgan Beck has gained a 'Scrap Metal' #9269.
[00:02:41]	Morgan Beck has lost a 'Charred Metal' #9262.
[00:02:41]	Morgan Beck has lost a 'Charred Metal' #9257.
[00:02:41]	Morgan Beck has gained a 'Scrap Metal' #9270.
[00:02:42]	Morgan Beck has lost a 'Scrap Metal' #9270.
[00:02:42]	Morgan Beck has lost a 'Scrap Metal' #9269.
[00:02:42]	Morgan Beck has lost a 'Scrap Metal' #9267.
[00:02:42]	Morgan Beck has gained a 'Reclaimed Metal' #9269.
[00:02:43]	Morgan Beck has lost a 'Reclaimed Metal' #9245.
