[00:00:03]	[LOOC] Amahle Osthuizen: SAME
[00:00:04]	[ME] Jericho Snow: chuckles
[00:00:15]	[IT] Joseph Kimsler: He then violently throws up in one large amount of chunjs.
[00:00:27]	CCA.C08-JUDGE.i4.33637 has spawned 'models/props_junk/watermelon01.mdl'.
[00:00:27]	[ME] CCA.C08-HELIX.EpU.58841: gets a white powder from a container.
[00:00:33]	James Jacob opened the '' #1496 container.
[00:00:33]	Joseph Kimsler has spawned 'models/weapons/opfor/v_bgrap.mdl'.
[00:00:35]	James Jacob closed the '' #1496 container.
[00:00:44]	Joseph Kimsler has spawned 'models/gibs/antlion_gib_large_1.mdl'.
[00:00:46]	Joseph Kimsler has spawned 'models/gibs/antlion_gib_small_2.mdl'.
[00:00:47]	CCA.C08-JUDGE.i4.33637 has spawned 'models/props_c17/doll01.mdl'.
[00:00:48]	James Jacob entered observer.
[00:00:48]	Joseph Kimsler has spawned 'models/gibs/antlion_gib_small_1.mdl'.
[00:00:51]	FB|| light ROOM loaded the character 'CCA.C08-UNION.i3.98240 [X]'
[00:00:52]	Joseph Kimsler has spawned 'models/gibs/antlion_gib_small_3.mdl'.
[00:00:54]	[ME] CCA.C08-HELIX.EpU.58841: begins to pour a bit of it into his mouth.
[00:01:06]	[LOOC] Jericho Snow: *im gonna passive agressively stomp my way to the nexus and demand fair pay for my walk rp*
[00:01:10]	Joseph Kimsler has spawned 'models/half-life/hornet.mdl'.
[00:01:12]	Joseph Kimsler has spawned 'models/half-life/hornet.mdl'.
[00:01:15]	Joseph Kimsler has spawned 'models/half-life/hornet.mdl'.
[00:01:16]	Joseph Kimsler has spawned 'models/half-life/hornet.mdl'.
[00:01:17]	CCA.C08-JUDGE.i1.91412 has spawned 'models/maxofs2d/balloon_mossman.mdl'.
[00:01:18]	Joseph Kimsler has spawned 'models/half-life/hornet.mdl'.
[00:01:22]	Joseph Kimsler exited observer at their location.
[00:01:26]	Joseph Kimsler entered observer.
[00:01:28]	[ME] CCA.C08-HELIX.EpU.58841: soon forces the UNION onto the table, having his head to the side. 
[00:01:30]	Paweł Kalinowski opened the '' #1496 container.
[00:01:32]	Paweł Kalinowski closed the '' #1496 container.
[00:01:47]	CCA.C08-UNION.i3.98240 [X] used command '/Radio 588 Status and 10-20?'.
[00:01:49]	[ME] CCA.C08-JUDGE.i4.33637: Boots start to squish when he walks
[00:02:00]	CCA.C08-JUDGE.i4.33637 has gained 10 tokens.
[00:02:00]	CCA.C08-JUDGE.i1.91412 has gained 10 tokens.
[00:02:03]	[OOC] Joseph Kimsler: the yellow is IC
[00:02:10]	Joseph Kimsler exited observer at their location.
[00:02:14]	James Jacob exited observer at their location.
[00:02:14]	Joseph Kimsler entered observer.
[00:02:15]	James Jacob entered observer.
[00:02:16]	[ME] CCA.C08-HELIX.EpU.58841: pours a little bit of the baking soda into his mouth.
[00:02:26]	[ME] CCA.C08-HELIX.EpU.58841: puts my hand on his mouth.
[00:02:37]	[ME] CCA.C08-HELIX.EpU.58841: removes said hand.
[00:02:40]	[ME] CCA.C08-UNION.i3.98240 [X]: Just seems defeated mentally at this point
[00:02:46]	[ME] CCA.C08-UNION.i5.19267: swallos
[00:02:52]	[IT] Joseph Kimsler: He begins to choke.
[00:02:59]	[IT] Joseph Kimsler: The unit begins to choke.
[00:03:07]	[IT] Joseph Kimsler: Like, literally not able to breathe.
[00:03:10]	CCA.C08-JUDGE.i4.33637 has spawned 'models/props_c17/TrapPropeller_Lever.mdl'.
[00:03:15]	Paweł Kalinowski ran 'Eat' on item 'Standard Grade Citizen Supplements' (#17583)
[00:03:16]	Paweł Kalinowski ran 'Eat' on item 'Standard Grade Citizen Food Product' (#17582)
[00:03:17]	Joseph Kimsler has spawned 'models/half-life/kingpin_sphereshield.mdl'.
[00:03:24]	CCA.C08-JUDGE.i4.33637 has spawned 'models/player/items/humans/top_hat.mdl'.
[00:03:25]	[OOC] CCA.C08-UNION.i3.98240 [X]: Q, can I get my Ammo pack bodygroup set?
[00:03:26]	[LOOC] Amahle Osthuizen: no vc
[00:03:28]	CCA.C08-JUDGE.i4.33637 has spawned 'models/player/items/humans/top_hat.mdl'.
[00:03:28]	[OOC] Joseph Kimsler: ep
[00:03:31]	[LOOC] Jericho Snow: also no vc
[00:03:37]	[ME] CCA.C08-HELIX.EpU.58841: quickly forces his mouth open, using his finger to check if anything was stuck in the back of his mouth
[00:03:38]	[OOC] Joseph Kimsler: yep*
[00:03:41]	[LOOC] Amahle Osthuizen: vc is big homosex.
[00:03:42]	James Jacob exited observer at their location.
[00:03:45]	[IT] Joseph Kimsler: There's a chunk of... something.
[00:03:47]	[LOOC] Jericho Snow: very big home sex
[00:03:49]	[IT] Joseph Kimsler: Icky.
[00:03:51]	CCA.C08-JUDGE.i4.33637 has spawned 'models/food/burger.mdl'.
[00:03:53]	CCA.C08-JUDGE.i4.33637 has spawned 'models/food/burger.mdl'.
