[17:03:49]	wheat has connected.
[17:04:26]	wheat loaded the character 'CAC.C08-CRM.34712'
[17:07:40]	wheat (STEAM_0:0:460056698) has disconnected.
[17:57:49]	FB|| light ROOM has connected.
[17:57:59]	matt saton has connected.
[17:58:25]	FB|| light ROOM loaded the character 'CCA.C08-QrM.98240'
[17:58:27]	CCA.C08-QrM.98240 entered observer.
[17:58:31]	CCA.C08-QrM.98240 exited observer at their location.
[17:58:31]	CCA.C08-QrM.98240 entered observer.
[17:58:31]	CCA.C08-QrM.98240 exited observer at their location.
[17:58:32]	CCA.C08-QrM.98240 entered observer.
[17:58:32]	CCA.C08-QrM.98240 exited observer at their location.
[17:58:33]	CCA.C08-QrM.98240 entered observer.
[17:58:33]	CCA.C08-QrM.98240 exited observer at their location.
[17:58:34]	CCA.C08-QrM.98240 entered observer.
[17:58:34]	CCA.C08-QrM.98240 exited observer at their location.
[17:58:34]	CCA.C08-QrM.98240 entered observer.
[17:58:34]	CCA.C08-QrM.98240 exited observer at their location.
[17:58:35]	CCA.C08-QrM.98240 entered observer.
[17:58:35]	CCA.C08-QrM.98240 exited observer at their location.
[17:58:35]	CCA.C08-QrM.98240 entered observer.
[17:58:36]	CCA.C08-QrM.98240 exited observer at their location.
[17:58:36]	CCA.C08-QrM.98240 entered observer.
[17:58:41]	CCA.C08-QrM.98240 exited observer at their location.
[17:58:41]	CCA.C08-QrM.98240 entered observer.
[17:58:41]	CCA.C08-QrM.98240 exited observer at their location.
[17:58:42]	CCA.C08-QrM.98240 entered observer.
[17:58:42]	CCA.C08-QrM.98240 exited observer at their location.
[17:58:42]	CCA.C08-QrM.98240 entered observer.
[17:58:42]	CCA.C08-QrM.98240 exited observer at their location.
[17:58:43]	matt saton loaded the character 'Kermip the Space Frog'
[17:58:43]	CCA.C08-QrM.98240 entered observer.
[17:58:43]	CCA.C08-QrM.98240 exited observer at their location.
[17:58:43]	CCA.C08-QrM.98240 entered observer.
[17:58:44]	CCA.C08-QrM.98240 exited observer at their location.
[17:58:44]	CCA.C08-QrM.98240 entered observer.
[17:58:44]	CCA.C08-QrM.98240 exited observer at their location.
[17:58:45]	CCA.C08-QrM.98240 entered observer.
[17:58:46]	Kermip the Space Frog entered observer.
[17:58:47]	CCA.C08-QrM.98240 exited observer at their location.
[17:58:47]	CCA.C08-QrM.98240 entered observer.
[17:58:47]	CCA.C08-QrM.98240 exited observer at their location.
[17:58:48]	CCA.C08-QrM.98240 entered observer.
[17:58:48]	Kermip the Space Frog exited observer at their location.
[17:58:48]	Kermip the Space Frog entered observer.
[17:58:48]	CCA.C08-QrM.98240 exited observer at their location.
[17:58:49]	CCA.C08-QrM.98240 entered observer.
[17:58:55]	Kermip the Space Frog exited observer at their location.
[17:58:56]	Kermip the Space Frog entered observer.
[17:58:56]	Kermip the Space Frog exited observer at their location.
[17:58:57]	CCA.C08-QrM.98240 exited observer at their location.
