[15:09:21]	hnbug01 has connected.
[15:10:07]	hnbug01 (STEAM_0:1:575208276) has disconnected.
[15:10:29]	Odin has connected.
[15:15:44]	Odin has connected.
[15:16:25]	Odin loaded the character 'Cameron Nixon'
[15:18:08]	[OOC] Cameron Nixon: Oh hi
[15:19:38]	Ｓｏｌａｒ has connected.
[15:20:00]	Cameron Nixon ran 'drop' on item 'Armor Scraps' (#12042)
[15:20:00]	Cameron Nixon has lost a 'Armor Scraps' #12042.
[15:20:02]	Cameron Nixon ran 'take' on item 'Armor Scraps' (#12042)
[15:20:02]	Cameron Nixon has gained a 'Armor Scraps' #12042.
[15:20:28]	Cameron Nixon opened the '' #1362 container.
[15:20:28]	Cameron Nixon closed the '' #1362 container.
[15:20:29]	Cameron Nixon opened the '' #1362 container.
[15:20:31]	Cameron Nixon closed the '' #1362 container.
[15:20:35]	Cameron Nixon ran 'Equip' on item 'Empty Glass Bottle' (#12044)
[15:20:41]	Cameron Nixon opened the '' #1357 container.
[15:20:42]	Cameron Nixon closed the '' #1357 container.
[15:20:44]	Cameron Nixon opened the '' #1356 container.
[15:20:45]	Cameron Nixon closed the '' #1356 container.
[15:20:58]	Ｓｏｌａｒ loaded the character 'Gabriel Schechter'
[15:21:01]	Cameron Nixon opened the '' #1360 container.
[15:21:02]	Cameron Nixon closed the '' #1360 container.
[15:21:03]	Cameron Nixon opened the '' #1359 container.
[15:21:04]	Cameron Nixon closed the '' #1359 container.
[15:23:53]	Michλel's World has connected.
[15:24:20]	Michλel's World loaded the character '1LT Samuel Brody'
[15:24:28]	[OOC] 1LT Samuel Brody: ello
[15:26:29]	[OOC] 1LT Samuel Brody: hello there
[15:26:35]	[OOC] Gabriel Schechter: :?
[15:27:20]	[OOC] 1LT Samuel Brody: i have a question for you two
[15:27:27]	[OOC] Gabriel Schechter: ?
[15:27:32]	[OOC] 1LT Samuel Brody: were you two here for yesterdays event?
[15:27:36]	[OOC] Gabriel Schechter: kinda
[15:27:40]	[OOC] Gabriel Schechter: I'm not really around at all
[15:27:45]	[OOC] Gabriel Schechter: I think He was 
[15:27:48]	[OOC] Cameron Nixon: I was
[15:28:04]	[OOC] 1LT Samuel Brody: ok so you two know whats goin down
[15:28:13]	[OOC] Gabriel Schechter: i dont know jack shit
[15:28:25]	Odin loaded the character 'Erwin Ramstein'
[15:28:27]	[OOC] 1LT Samuel Brody: i dont because i left before yesterdays event started, so fill me in
