[06:46:16]	Botulism City has connected.
[06:46:51]	Botulism City loaded the character 'Akio Mishima'
[06:47:00]	Akio Mishima used command '/Discord'.
[06:47:10]	Botulism City (STEAM_0:0:47312124) has disconnected.
[10:29:30]	cooldude995 has connected.
[10:31:49]	cooldude995 (STEAM_0:0:583061057) has disconnected.
[10:34:25]	Jorgen_Skog has connected.
[10:35:18]	Jorgen_Skog loaded the character 'PVT Jorgen Marventsky'
[10:36:54]	Jorgen_Skog (STEAM_0:1:115897813) has disconnected.
[13:30:51]	wheat has connected.
[13:31:20]	wheat loaded the character 'CAC.C08-CRM.34712'
[13:31:27]	wheat (STEAM_0:0:460056698) has disconnected.
