[00:46:29]	Bean has connected.
[00:46:55]	Bean loaded the character 'Alex Palovichov'
[00:47:00]	Alex Palovichov ran 'EquipUn' on item 'CWU Leadership Suit' (#24484)
[00:47:02]	Alex Palovichov ran 'Equip' on item 'CWU Leadership Suit' (#24484)
[00:48:21]	Alex Palovichov ran 'View' on item 'Paper' (#25193)
[00:49:23]	Alex Palovichov ran 'Equip' on item 'Crowbar' (#24740)
[00:51:26]	Alex Palovichov has gained 10 tokens.
[00:52:17]	Alex Palovichov has taken 15 damage from Antlion Spitter.
[00:53:50]	Alex Palovichov opened the '' #235 container.
[00:53:53]	Alex Palovichov closed the '' #235 container.
[00:54:53]	Alex Palovichov ran 'EquipUn' on item 'Crowbar' (#24740)
[00:54:54]	Alex Palovichov ran 'combine' on item 'Thermobag' (#25180)
[00:55:15]	Alex Palovichov used the 'Infestation Control Storage' vendor.
[00:55:26]	Bean (STEAM_0:1:591779303) has disconnected.
[06:47:56]	Global Defence Initiative has connected.
[06:50:12]	Global Defence Initiative loaded the character 'Robbert Garth'
[06:50:51]	Robbert Garth opened the '' #239 container.
[06:50:52]	Robbert Garth closed the '' #239 container.
[06:51:10]	Dilly_ has connected.
[06:51:43]	Robbert Garth opened the '' #2526 container.
[06:51:43]	Robbert Garth closed the '' #2526 container.
[06:51:44]	Robbert Garth opened the '' #2526 container.
[06:51:47]	Dilly_ loaded the character 'Jackson Steere'
[06:51:47]	Robbert Garth closed the '' #2526 container.
[06:51:52]	Robbert Garth used the 'Store Supply' vendor.
[06:51:55]	[OOC] Jackson Steere: lootables
[06:52:10]	[OOC] Robbert Garth: a
[06:52:27]	[OOC] Robbert Garth: Cant find'em
[06:52:31]	[OOC] Robbert Garth: Unless its a script
[06:52:39]	[OOC] Jackson Steere: prob hasnt implemented em
[06:52:40]	[OOC] Robbert Garth: that has not been pushed to the server
[06:52:42]	Robbert Garth opened the '' #252 container.
[06:52:43]	Robbert Garth closed the '' #252 container.
[06:52:58]	[OOC] Jackson Steere: you cant like
[06:53:05]	[OOC] Jackson Steere: put something in #update
[06:53:09]	[OOC] Jackson Steere: and not have it in game :c
[06:53:26]	[OOC] Robbert Garth: Wdym put it in update?
[06:53:45]	[OOC] Jackson Steere: looks like it's in entities tho
[06:54:07]	Robbert Garth used command '/CharFallOver 0.1'.
[06:54:08]	Robbert Garth has taken 50 damage from worldspawn.
[06:54:10]	Robbert Garth used command '/CharGetUp'.
[06:54:19]	Jackson Steere ran 'View' on item 'Paper' (#25050)
[06:54:21]	[LOOC] Robbert Garth: error
[06:54:28]	[LOOC] Robbert Garth: Looks different from the last we have seen it
[06:54:31]	[LOOC] Jackson Steere: cringe
[06:54:50]	Jackson Steere opened the '' #2423 container.
[06:54:55]	Jackson Steere closed the '' #2423 container.
[06:54:56]	Jackson Steere opened the '' #2422 container.
[06:54:58]	Jackson Steere closed the '' #2422 container.
[06:55:05]	[LOOC] Jackson Steere: cwu leadership
[06:55:07]	[LOOC] Jackson Steere: suit
[06:55:09]	Jackson Steere opened the '' #2420 container.
[06:55:12]	Jackson Steere closed the '' #2420 container.
[06:55:14]	Jackson Steere opened the '' #2421 container.
[06:55:19]	Jackson Steere closed the '' #2421 container.
[06:55:27]	[LOOC] Robbert Garth: IM wondering if they snuck some things out of the contraband lockers
[06:55:29]	Robbert Garth opened the '' #2423 container.
[06:55:34]	Robbert Garth closed the '' #2423 container.
[06:55:37]	[LOOC] Jackson Steere: could have
[06:55:39]	[LOOC] Robbert Garth: CWU suita
[06:55:43]	[LOOC] Robbert Garth: O no
[06:55:46]	[LOOC] Robbert Garth: Bean?
[06:55:47]	Jackson Steere opened the '' #2424 container.
[06:55:49]	Jackson Steere closed the '' #2424 container.
[06:55:49]	Robbert Garth opened the '' #2424 container.
[06:55:51]	Robbert Garth closed the '' #2424 container.
[06:55:56]	Robbert Garth opened the '' #2420 container.
[06:55:58]	Robbert Garth closed the '' #2420 container.
[06:56:00]	[LOOC] Jackson Steere: someone is goin out from the sewers
[06:56:05]	[LOOC] Jackson Steere: so
[06:56:07]	[LOOC] Jackson Steere: rando search
[06:56:11]	[LOOC] Jackson Steere: ez win
[06:56:23]	Robbert Garth rolled 62 out of 100.
[06:56:23]	Robbert Garth used command '/Roll'.
[06:56:28]	Jackson Steere rolled 43 out of 100.
[06:56:28]	Jackson Steere used command '/Roll'.
[06:57:02]	Robbert Garth used command '/CharFallOver 0.1'.
[06:57:11]	Jackson Steere used command '/CharFallOver 1'.
