[00:01:18]	[OOC] CCA.C17-GRID.i3.08313: I 
[00:01:20]	[OOC] CCA.C17-GRID.i3.08313: AM A CP
[00:01:22]	[OOC] CCA.C17-GRID.i3.08313: you FUCKING 
[00:02:30]	[OOC] Anastasia Ivanovich: where r u
[00:02:32]	CCA.C17-GRID.i3.08313 has gained 10 tokens.
[00:02:36]	[OOC] CCA.C17-GRID.i3.08313: noclipping :trol:
[00:02:38]	CCA.C17-GRID.i3.08313 exited observer at their location.
[00:02:39]	CCA.C17-GRID.i3.08313 entered observer.
[00:02:40]	CCA.C17-GRID.i3.08313 exited observer at their location.
[00:02:40]	CCA.C17-GRID.i3.08313 entered observer.
[00:02:41]	CCA.C17-GRID.i3.08313 exited observer at their location.
[00:02:43]	[OOC] Anastasia Ivanovich: nO MeTaGaMe
[00:05:13]	CCA.C17-GRID.i3.08313 entered observer.
[00:05:19]	CCA.C17-GRID.i3.08313 exited observer at their location.
[00:06:21]	[OOC] CCA.C17-GRID.i3.08313: sorry, tlaking to alex about leading infestation control
[00:06:32]	[OOC] Anastasia Ivanovich: all good
[00:06:40]	[OOC] CCA.C17-GRID.i3.08313: once i'm done, i'll bring anna over
[00:06:42]	[OOC] Anastasia Ivanovich: it'll be ic that she's taking her sweet time
[00:06:52]	[OOC] Anastasia Ivanovich: doctor's office rp
[00:07:05]	[OOC] CCA.C17-GRID.i3.08313: yeah she's not gonna leave her meeting
[00:07:06]	CCA.C17-GRID.i3.08313 entered observer.
[00:07:07]	CCA.C17-GRID.i3.08313 exited observer at their location.
[00:07:13]	[OOC] Anastasia Ivanovich: :rage:
[00:07:16]	[OOC] CCA.C17-GRID.i3.08313: lmao
[00:07:21]	[OOC] CCA.C17-GRID.i3.08313: "somebody wnats to see me?"
[00:07:24]	[OOC] CCA.C17-GRID.i3.08313: "a citizen?"
[00:07:32]	CCA.C17-GRID.i3.08313 has gained 10 tokens.
[00:07:33]	[OOC] CCA.C17-GRID.i3.08313: "tell them to kiss my ass for the next 5 minutes, they can stop when I'm done."
[00:10:06]	[OOC] Anastasia Ivanovich: after this imma head off I gotta gangstalk some nerds on cyberpunk
[00:10:13]	[OOC] CCA.C17-GRID.i3.08313: lmao
[00:10:31]	CCA.C17-GRID.i3.08313 entered observer.
[00:10:39]	CCA.C17-GRID.i3.08313 exited observer at their location.
