[00:00:00]	[OOC] Drake Salvador: Aiight
[00:00:04]	[OOC] Andrew 'Razor' Gonzalez: Good luck everyone!
[00:00:04]	[OOC] Drake Salvador: 2v4, lessgo
[00:00:10]	[OOC] 1LT Samuel Brody: as in dead for good out?
[00:00:10]	[OOC] Andrew 'Razor' Gonzalez: Alamo style
[00:00:11]	Dispatch used command '/Event Everyone will be given ammunition, 500 health, 200 armor.'.
[00:00:18]	Dispatch used command '/Event No permakilled, just out of this fight specifically.'.
[00:00:21]	Jim Bostello ran 'Equip' on item 'MP7' (#14022)
[00:00:22]	Jim Bostello ran 'Equip' on item '357' (#14025)
[00:00:23]	Dispatch entered observer.
[00:00:23]	[OOC] Drake Salvador: Wounded
[00:00:24]	1LT Samuel Brody ran 'Equip' on item 'MP7' (#10563)
[00:00:28]	Dispatch exited observer at their location.
[00:00:29]	Areth  Martin ran 'Equip' on item 'Flashbang' (#14148)
[00:00:32]	[OOC] Andrew 'Razor' Gonzalez: Almost dead
[00:00:42]	[OOC] 1LT Samuel Brody: so i would like ammo, health and armor soon please
[00:00:50]	Areth  Martin ran 'drop' on item 'Wires' (#14157)
[00:00:50]	Areth  Martin has lost a 'Wires' #14157.
[00:00:51]	Areth  Martin ran 'drop' on item 'Wires' (#14158)
[00:00:51]	Areth  Martin has lost a 'Wires' #14158.
[00:00:55]	[OOC] Andrew 'Razor' Gonzalez: Someone moving around?
[00:00:55]	[OOC] Dispatch: got it
[00:00:58]	Dispatch entered observer.
[00:00:59]	Dispatch exited observer at their location.
[00:00:59]	[OOC] Drake Salvador: Ye
[00:01:00]	[OOC] 1LT Samuel Brody: because i died before you said that
[00:01:03]	Areth  Martin ran 'drop' on item 'Hybrid Radio' (#14154)
[00:01:03]	Areth  Martin has lost a 'Hybrid Radio' #14154.
[00:01:11]	Dispatch used command '/PM samuel are you working with the rebels?'.
[00:01:22]	[OOC] Andrew 'Razor' Gonzalez: I dropped Brody right before we froze lol
[00:01:25]	Drake Salvador ran 'Equip' on item 'Flashbang' (#14146)
[00:01:26]	1LT Samuel Brody used command '/PM Dispatch yes'.
[00:01:30]	Dispatch used command '/PM brody alright'.
[00:01:30]	Dispatch entered observer.
[00:01:36]	[OOC] Andrew 'Razor' Gonzalez: Someone died onthat ladder
[00:01:42]	[OOC] Drake Salvador: Nah, they got legged.
[00:01:43]	[OOC] Ethan King: I was knocked out
[00:01:44]	[OOC] Ethan King: Yep
[00:01:44]	[OOC] Areth  Martin: unfreeze me
[00:01:49]	[OOC] Andrew 'Razor' Gonzalez: Oh shit really? Damn
[00:01:52]	[OOC] 1LT Samuel Brody: ammo please?
[00:02:00]	[OOC] Jim Bostello: chill
[00:02:02]	Dispatch exited observer at their location.
[00:02:06]	[OOC] Jim Bostello: you will get it 
[00:02:06]	Ethan King ran 'Frequency' on item 'Hybrid Radio' (#10648)
[00:02:10]	Ethan King used command '/SetFreq 127.8'.
[00:02:11]	[OOC] Andrew 'Razor' Gonzalez: Alright men, good luck
[00:02:20]	Ethan King used command '/Radio You connies on this frequency?'.
[00:02:20]	Dispatch entered observer.
[00:02:21]	Dispatch exited observer at their location.
[00:02:22]	Areth  Martin ran 'take' on item 'Hybrid Radio' (#14154)
[00:02:22]	Areth  Martin has gained a 'Hybrid Radio' #14154.
[00:02:22]	Dispatch entered observer.
[00:02:25]	Dispatch exited observer at their location.
[00:02:34]	[OOC] Andrew 'Razor' Gonzalez: Still got no hp or armor so I assume no one else has
[00:02:38]	[OOC] Dispatch: correct
[00:02:44]	[OOC] Drake Salvador: Are we starting?
[00:02:45]	[OOC] Andrew 'Razor' Gonzalez: Gotcha
[00:02:47]	[OOC] Dispatch: holy shit no
[00:02:49]	Ethan King ran 'Broadcast' on item 'Hybrid Radio' (#10648)
[00:02:58]	Dispatch entered observer.
[00:03:00]	Dispatch exited observer at their location.
[00:03:03]	Ethan King used command '/Radio Connies, can you hear me?'.
[00:03:06]	[OOC] Dispatch: anti-citizens put on citizen armor 
[00:03:07]	Dispatch entered observer.
[00:03:09]	[LOOC] Andrew 'Razor' Gonzalez: Where's our boy martin
[00:03:09]	Dispatch exited observer at their location.
[00:03:14]	Ethan King ran 'EquipUn' on item 'Conscript Hazmat Armor' (#10510)
[00:03:16]	[LOOC] Andrew 'Razor' Gonzalez: Martin's with us
[00:03:18]	[OOC] Ethan King: What
[00:03:19]	1LT Samuel Brody ran 'EquipUn' on item 'Conscript Hazmat Armor' (#10549)
[00:03:19]	[LOOC] Dispatch: i'm aware
[00:03:20]	Dispatch entered observer.
[00:03:20]	1LT Samuel Brody ran 'Equip' on item 'Green Citizen Suit' (#280)
[00:03:23]	Ethan King ran 'Equip' on item 'Conscript Hazmat Armor' (#10510)
[00:03:24]	[LOOC] Andrew 'Razor' Gonzalez: Alright sweet
[00:03:27]	[OOC] Dispatch: anti-citizens, put on a citizen suit for distinction
[00:03:30]	[OOC] 1LT Samuel Brody: i think they mean this
[00:03:31]	[LOOC] Andrew 'Razor' Gonzalez: Somewhat even
[00:03:31]	[OOC] Dispatch: you know what fuck it
[00:03:36]	[LOOC] Andrew 'Razor' Gonzalez: 3v4
[00:03:41]	Ethan King ran 'EquipUn' on item 'Conscript Hazmat Armor' (#10510)
[00:03:42]	1LT Samuel Brody ran 'EquipUn' on item 'Green Citizen Suit' (#280)
[00:03:44]	1LT Samuel Brody ran 'Equip' on item 'Green Citizen Suit' (#280)
[00:03:46]	[LOOC] Drake Salvador: They're gonna' be green
[00:03:51]	Dispatch exited observer at their location.
[00:03:52]	[LOOC] Drake Salvador: Just like the Simulations
[00:03:52]	Dispatch entered observer.
[00:03:54]	Dispatch exited observer at their location.
[00:03:57]	[LOOC] Dispatch: green and red treams
[00:04:00]	[LOOC] Andrew 'Razor' Gonzalez: Yes sir
[00:04:01]	[LOOC] Dispatch: you have three, they have three
[00:04:04]	Ethan King ran 'Equip' on item 'Conscript Hazmat Armor' (#10510)
[00:04:07]	[LOOC] Drake Salvador: Wait, no we're green
[00:04:08]	[LOOC] Andrew 'Razor' Gonzalez: We'll be glow in the dark
[00:04:09]	[LOOC] Drake Salvador: Wait...
[00:04:12]	[OOC] Dispatch: everyone take out your guns
[00:04:14]	[LOOC] Andrew 'Razor' Gonzalez: We're the simulation
[00:04:21]	[LOOC] Areth  Martin: gas mask r give aways reflections.
[00:04:23]	Dispatch entered observer.
[00:04:34]	[LOOC] Drake Salvador: Ah yes, we're the training rn. No consequences.
[00:04:38]	[OOC] Dispatch: shoot the color that isn't you
[00:04:40]	Dispatch exited observer at their location.
[00:04:41]	[LOOC] Andrew 'Razor' Gonzalez: So easy W
[00:04:43]	[LOOC] Dispatch: yo alls hoot yellow
[00:04:44]	1LT Samuel Brody ran 'EquipUn' on item 'Green Citizen Suit' (#280)
[00:04:44]	Dispatch entered observer.
[00:04:47]	[LOOC] Dispatch: you all shoot yellow
[00:04:47]	1LT Samuel Brody ran 'Equip' on item 'Conscript Hazmat Armor' (#10549)
[00:04:47]	[LOOC] Drake Salvador: Goti t
[00:04:48]	Ethan King ran 'drop' on item 'Suitcase' (#10368)
[00:04:48]	Ethan King has lost a 'Suitcase' #10368.
[00:04:48]	Ethan King has lost a 'OTA Filter' #14127.
[00:04:48]	Ethan King has lost a 'Citizen ID' #10372.
[00:04:48]	Ethan King has lost a 'Flashlight' #10403.
[00:04:48]	Ethan King has lost a 'Armor Scraps' #14040.
[00:04:48]	Ethan King has lost a 'Zip Tie' #10779.
[00:04:48]	Ethan King has lost a 'Allen Wrench' #10771.
[00:04:48]	Ethan King has lost a 'Insulating Tape' #10794.
[00:04:48]	Ethan King has lost a '4.6x30 Rounds' #14155.
[00:04:48]	[LOOC] Andrew 'Razor' Gonzalez: Shoot the piss
[00:04:50]	Ethan King ran 'take' on item 'Suitcase' (#10368)
[00:04:50]	Ethan King has gained a 'Suitcase' #10368.
[00:04:50]	Ethan King has gained a 'OTA Filter' #14127.
[00:04:50]	Ethan King has gained a 'Citizen ID' #10372.
[00:04:50]	Ethan King has gained a 'Flashlight' #10403.
[00:04:50]	Ethan King has gained a 'Armor Scraps' #14040.
[00:04:50]	Ethan King has gained a 'Zip Tie' #10779.
[00:04:50]	Ethan King has gained a 'Allen Wrench' #10771.
[00:04:50]	Ethan King has gained a 'Insulating Tape' #10794.
[00:04:50]	Ethan King has gained a '4.6x30 Rounds' #14155.
[00:04:51]	Dispatch exited observer at their location.
[00:04:54]	[LOOC] Andrew 'Razor' Gonzalez: Like pissing on the toilet
[00:04:54]	[LOOC] Dispatch: you all shoot green
[00:04:55]	[LOOC] Drake Salvador: I shoot piss a lot
[00:04:55]	Ethan King ran 'Consume' on item 'Sparkling Consulate Water' (#14044)
[00:05:00]	[LOOC] Ethan King: Got it
