[08:37:21]	Jorgen_Skog has connected.
[08:41:00]	Jorgen_Skog loaded the character 'Vladimir Volkovich'
[08:42:25]	Vladimir Volkovich opened the '' #1340 container.
[08:42:27]	Vladimir Volkovich closed the '' #1340 container.
[08:42:33]	Vladimir Volkovich ran 'equip' on item 'Citizen Filter' (#11545)
[08:42:34]	Vladimir Volkovich opened the '' #1341 container.
[08:42:37]	Vladimir Volkovich closed the '' #1341 container.
[08:43:28]	Jorgen_Skog (STEAM_0:1:115897813) has disconnected.
[14:55:07]	Sgt. Salvador has connected.
[14:55:55]	Sgt. Salvador loaded the character 'Drake Salvador'
[15:01:37]	Sgt. Salvador (STEAM_0:0:27835911) has disconnected.
[19:17:16]	LynxQueen has connected.
[19:18:10]	LynxQueen loaded the character 'CCA.C08-RCT.67098'
[19:19:48]	LynxQueen loaded the character 'Crabbers'
[19:20:12]	Crabbers has taken 10 damage from npc_poisonzombie.
[19:20:24]	Crabbers has taken 4 damage from monster_bullsquid.
[19:20:24]	Crabbers has taken 4 damage from monster_bullsquid.
[19:20:24]	Crabbers has taken 4 damage from monster_bullsquid.
[19:20:24]	Crabbers has taken 4 damage from monster_bullsquid.
[19:20:24]	Crabbers has taken 4 damage from monster_bullsquid.
[19:20:24]	Crabbers has taken 4 damage from monster_bullsquid.
[19:20:25]	Crabbers has taken 4 damage from monster_bullsquid.
[19:20:25]	Crabbers has taken 4 damage from monster_bullsquid.
[19:20:25]	Crabbers has taken 4 damage from monster_bullsquid.
[19:20:25]	Crabbers has taken 4 damage from monster_bullsquid.
[19:21:40]	LynxQueen created the character 'Antpanther'
[19:21:45]	LynxQueen loaded the character 'Antpanther'
[19:23:09]	LynxQueen loaded the character 'Merissa Myers'
[19:24:00]	Merissa Myers opened the '' #1341 container.
[19:24:02]	Merissa Myers closed the '' #1341 container.
[19:24:10]	LynxQueen (STEAM_0:1:70540942) has disconnected.
