[04:53:57]	Coilrek has connected.
[04:55:07]	Coilrek created the character 'COilrek doreien'
[04:55:07]	COilrek doreien has gained a 'Suitcase' #22632.
[04:55:07]	COilrek doreien has gained a 'Relocation Coupon' #22633.
[04:55:08]	Coilrek loaded the character 'COilrek doreien'
[04:56:01]	Coilrek (STEAM_0:0:80185497) has disconnected.
[12:50:40]	matt saton has connected.
[12:52:46]	matt saton loaded the character 'James Albright'
[12:52:47]	James Albright has taken 13 damage from worldspawn.
[12:52:48]	James Albright entered observer.
[13:40:05]	James Albright exited observer at their location.
[13:40:08]	James Albright entered observer.
[13:40:10]	James Albright exited observer at their location.
[13:40:11]	James Albright has taken 10 damage from worldspawn.
[13:40:57]	James Albright entered observer.
[13:41:00]	James Albright exited observer at their location.
[13:41:10]	James Albright entered observer.
[13:41:11]	James Albright exited observer at their location.
[13:41:52]	James Albright entered observer.
[13:43:26]	James Albright exited observer at their location.
[13:43:27]	James Albright entered observer.
[13:43:27]	James Albright exited observer at their location.
[13:43:31]	James Albright has spawned 'models/props_c17/oildrum001.mdl'.
[13:43:35]	James Albright has spawned 'models/props_c17/oildrum001.mdl'.
[13:43:40]	James Albright entered observer.
[13:43:42]	James Albright exited observer at their location.
[13:43:58]	James Albright entered observer.
[13:44:10]	James Albright exited observer at their location.
[13:44:11]	James Albright entered observer.
[13:44:29]	James Albright exited observer at their location.
[13:44:30]	James Albright entered observer.
[13:44:32]	James Albright exited observer at their location.
[13:44:34]	James Albright entered observer.
[13:44:36]	James Albright exited observer at their location.
[13:44:38]	James Albright entered observer.
[13:44:40]	James Albright exited observer at their location.
[13:44:42]	James Albright entered observer.
[13:44:43]	James Albright exited observer at their location.
[13:44:44]	James Albright entered observer.
[13:44:45]	James Albright exited observer at their location.
[13:44:48]	James Albright entered observer.
[13:44:52]	James Albright exited observer at their location.
[13:44:53]	James Albright entered observer.
[13:44:55]	James Albright exited observer at their location.
[13:44:55]	James Albright entered observer.
[13:44:55]	James Albright exited observer at their location.
[13:44:56]	James Albright entered observer.
[13:44:57]	James Albright exited observer at their location.
[13:45:13]	James Albright entered observer.
[13:45:16]	James Albright exited observer at their location.
[13:45:18]	James Albright entered observer.
[13:45:22]	James Albright exited observer at their location.
[13:45:26]	James Albright entered observer.
[13:45:28]	James Albright exited observer at their location.
[13:45:29]	James Albright entered observer.
[13:45:30]	James Albright exited observer at their location.
[13:45:33]	James Albright entered observer.
[13:45:33]	James Albright exited observer at their location.
[13:45:34]	James Albright entered observer.
[13:45:34]	James Albright exited observer at their location.
[13:45:36]	James Albright entered observer.
[13:45:37]	James Albright exited observer at their location.
[13:46:16]	James Albright has taken 38 damage from worldspawn.
[13:46:17]	James Albright entered observer.
[13:49:39]	James Albright exited observer at their location.
[13:49:43]	James Albright has taken 18 damage from monster_gonome.
[13:49:46]	James Albright has taken 4 damage from monster_gonome.
[13:49:46]	James Albright has taken 4 damage from monster_gonome.
[13:49:46]	James Albright has taken 4 damage from monster_gonome.
[13:49:46]	James Albright has taken 4 damage from monster_gonome.
[13:50:05]	James Albright has taken 18 damage from monster_gonome.
[13:50:05]	monster_gonome has killed James Albright.
[13:50:09]	James Albright entered observer.
[13:50:50]	James Albright exited observer at their location.
[13:50:51]	James Albright entered observer.
[13:50:52]	James Albright exited observer at their location.
[13:50:56]	James Albright entered observer.
[13:51:02]	James Albright exited observer at their location.
[13:51:06]	James Albright entered observer.
[13:51:08]	James Albright exited observer at their location.
[13:51:12]	James Albright entered observer.
[13:51:14]	James Albright exited observer at their location.
[13:51:24]	James Albright entered observer.
[13:51:24]	James Albright exited observer at their location.
[13:51:25]	James Albright entered observer.
[13:51:29]	James Albright exited observer at their location.
[13:51:29]	James Albright entered observer.
[15:01:32]	James Albright exited observer at their location.
[15:01:34]	James Albright entered observer.
[15:04:09]	James Albright exited observer at their location.
[15:04:09]	James Albright entered observer.
[15:04:10]	James Albright exited observer at their location.
[15:04:12]	James Albright entered observer.
[15:04:19]	James Albright exited observer at their location.
[15:04:22]	James Albright entered observer.
[15:04:26]	James Albright exited observer at their location.
[15:04:26]	James Albright entered observer.
[15:04:31]	James Albright exited observer at their location.
[15:04:32]	James Albright entered observer.
[15:07:58]	James Albright exited observer at their location.
[15:08:00]	James Albright entered observer.
[15:08:05]	James Albright exited observer at their location.
[15:27:41]	Doughnut has connected.
[15:28:50]	Doughnut loaded the character 'Hans Weiß'
[15:28:55]	[OOC] Hans Weiß: yo
[15:30:54]	[LOOC] Hans Weiß: e
[15:37:08]	Hans Weiß opened the '' #1896 container.
[15:37:10]	Hans Weiß closed the '' #1896 container.
[15:37:13]	Hans Weiß opened the '' #1897 container.
[15:37:13]	Hans Weiß closed the '' #1897 container.
[15:37:14]	Hans Weiß opened the '' #1897 container.
[15:37:16]	Hans Weiß closed the '' #1897 container.
[15:38:27]	Hans Weiß ran 'View' on item 'Notepad' (#18952)
[15:38:34]	Hans Weiß ran 'View' on item 'Notepad' (#18954)
[15:38:57]	Hans Weiß opened the '' #1810 container.
[15:38:58]	Hans Weiß closed the '' #1810 container.
[15:39:01]	Hans Weiß ran 'View' on item 'Paper' (#18677)
[15:39:48]	[OOC] James Albright: hey ,sorr,y hi
[15:39:51]	[OOC] Hans Weiß: howdy
[15:39:59]	[OOC] James Albright: i'm on ap rogramming kick becuase i'm worried about losing players and want ot gain more
[15:40:10]	[OOC] Hans Weiß: i see
[15:40:31]	[OOC] Hans Weiß: well hey, ill be on as long as the server is up
[15:40:37]	[OOC] James Albright: thank you man, i appreciate it
[15:41:14]	[OOC] Hans Weiß: i have ascended
[15:41:31]	James Albright entered observer.
[15:41:33]	James Albright exited observer at their location.
[15:41:38]	James Albright used command '/ToggleRaise'.
[15:41:48]	[OOC] Hans Weiß: ill throw a needle at you
[15:42:09]	Hans Weiß ran 'drop' on item 'Sturdy Needle' (#22625)
[15:42:09]	Hans Weiß has lost a 'Sturdy Needle' #22625.
[15:42:17]	Hans Weiß ran 'take' on item 'Sturdy Needle' (#22625)
[15:42:17]	Hans Weiß has gained a 'Sturdy Needle' #22625.
[15:42:17]	James Albright entered observer.
[15:42:18]	James Albright exited observer at their location.
[15:42:20]	[LOOC] James Albright: what's that
[15:42:21]	[LOOC] James Albright: oh
[15:42:22]	[LOOC] James Albright: a needle
[15:42:25]	[LOOC] Hans Weiß: ye
[15:42:25]	James Albright has killed James Albright.
[15:42:31]	[LOOC] Hans Weiß: /me eats
[15:42:50]	[OOC] Hans Weiß: damn now im all alone in the street
[15:43:08]	[OOC] James Albright: lag psike
[15:43:29]	[OOC] Hans Weiß: mmmm
[15:43:33]	[OOC] Hans Weiß: same here
[15:44:51]	[OOC] James Albright: i found this playlsit of programming music
[15:44:57]	[OOC] James Albright: and i'm 99% sure that the thumbnail is raven from teen titians
[15:45:01]	[OOC] James Albright: titans&*
[15:45:02]	James Albright used command '/adminspawnmenu'.
[15:45:08]	[OOC] Hans Weiß: is the music good?
[15:45:08]	James Albright has spawned "Raw Cryosquid Meat"
[15:45:10]	James Albright has spawned "Raw Pyrosquid Meat"
[15:45:13]	[OOC] James Albright: hell yes
[15:45:17]	Hans Weiß ran 'drop' on item 'Car Battery' (#22611)
[15:45:17]	Hans Weiß has lost a 'Car Battery' #22611.
[15:45:18]	James Albright ran 'take' on item 'Raw Pyrosquid Meat' (#22635)
[15:45:18]	James Albright has gained a 'Raw Pyrosquid Meat' #22635.
[15:45:21]	James Albright ran 'drop' on item 'Raw Pyrosquid Meat' (#22635)
[15:45:21]	James Albright has lost a 'Raw Pyrosquid Meat' #22635.
[15:45:22]	Hans Weiß ran 'take' on item 'Car Battery' (#22611)
[15:45:22]	Hans Weiß has gained a 'Car Battery' #22611.
[15:45:23]	[LOOC] James Albright: eat this
[15:45:25]	[LOOC] James Albright: eat this onions
[15:45:27]	James Albright entered observer.
[15:45:28]	James Albright exited observer at their location.
[15:45:28]	[LOOC] Hans Weiß: it's raw
[15:45:35]	Hans Weiß ran 'take' on item 'Raw Cryosquid Meat' (#22634)
[15:45:37]	Hans Weiß ran 'Eat' on item 'Raw Cryosquid Meat' (#22634)
[15:45:37]	Hans Weiß has taken 12 damage from worldspawn.
[15:45:38]	[LOOC] James Albright: i'll get on a test char
[15:45:42]	[LOOC] James Albright: oh shit hte madman
[15:45:47]	[LOOC] Hans Weiß: nearly dead
[15:45:49]	James Albright ran 'take' on item 'Raw Pyrosquid Meat' (#22635)
[15:45:49]	James Albright has gained a 'Raw Pyrosquid Meat' #22635.
[15:46:04]	matt saton loaded the character 'Test Testington'
[15:46:09]	Test Testington entered observer.
[15:46:09]	Test Testington exited observer at their location.
[15:46:11]	[LOOC] Hans Weiß: btw could you heal me cause i was supposed to be full health after the cca healed me
[15:46:18]	Test Testington entered observer.
[15:46:18]	Test Testington exited observer at their location.
[15:46:24]	[LOOC] Hans Weiß: all the health and more
[15:46:41]	Test Testington has gained a 'Raw Pyrosquid Meat' #22636.
[15:46:41]	Test Testington used command '/CharGiveItem test pyrosquid'.
[15:46:44]	Test Testington has gained a 'Raw Cryosquid Meat' #22637.
[15:46:44]	Test Testington used command '/CharGiveItem test cryosquid'.
[15:46:47]	Test Testington ran 'Eat' on item 'Raw Cryosquid Meat' (#22637)
[15:46:47]	Test Testington has taken 12 damage from worldspawn.
