[09:19:31]	matt saton has connected.
[09:26:40]	matt saton loaded the character 'James Albright'
[09:26:42]	James Albright entered observer.
[09:55:30]	Doughnut has connected.
[09:56:58]	Doughnut loaded the character 'Hans Weiß'
[09:57:06]	[OOC] Hans Weiß: yo
[10:05:55]	Ollie Garner has connected.
[10:07:41]	Ollie Garner loaded the character 'Morgan Beck'
[10:07:50]	[OOC] Morgan Beck: Yuh.
[10:07:58]	[OOC] Hans Weiß: what's poppin
[10:08:03]	[OOC] Morgan Beck: Not much, you?
[10:08:10]	[OOC] Hans Weiß: not much here either
[10:08:16]	[OOC] Morgan Beck: F
[10:08:34]	[OOC] Hans Weiß: indeed
[10:08:37]	Morgan Beck opened the '' #1717 container.
[10:08:39]	Morgan Beck closed the '' #1717 container.
[10:08:40]	Morgan Beck opened the '' #1717 container.
[10:08:40]	Morgan Beck closed the '' #1717 container.
[10:09:10]	[OOC] Morgan Beck: Damn, there's new door sounds?
[10:09:16]	[OOC] Hans Weiß: is there?
[10:09:23]	[OOC] Morgan Beck: Been a hot minute since I actually went on.
[10:09:28]	[OOC] Morgan Beck: Oh. Maybe I got a addon.
[10:09:30]	[OOC] Morgan Beck: Eh.
[10:10:37]	Hans Weiß opened the '' #1896 container.
[10:10:38]	Hans Weiß closed the '' #1896 container.
[10:10:40]	Hans Weiß opened the '' #1897 container.
[10:10:43]	Hans Weiß closed the '' #1897 container.
[10:10:49]	Morgan Beck used the 'Fridge' vendor.
[10:11:04]	Morgan Beck ran 'Edit' on item 'Notepad' (#24958)
[10:11:13]	Morgan Beck used the 'File Cabinet' vendor.
[10:11:17]	Morgan Beck ran 'take' on item 'Notepad' (#24958)
[10:11:17]	Morgan Beck has gained a 'Notepad' #24958.
[10:11:19]	Morgan Beck used the 'File Cabinet' vendor.
[10:11:22]	Morgan Beck has gained 0 tokens.
[10:11:37]	env_fire destroyed a 'Empty Glass Bottle' #22645.
[10:12:30]	Morgan Beck entered observer.
[10:13:07]	[OOC] Hans Weiß: i might be a sewer rat again
[10:13:09]	Morgan Beck exited observer.
[10:13:11]	Morgan Beck entered observer.
[10:13:11]	Morgan Beck exited observer.
[10:13:19]	Morgan Beck entered observer.
[10:13:20]	Morgan Beck exited observer at their location.
[10:13:20]	Morgan Beck entered observer.
[10:13:35]	[OOC] Morgan Beck: F.
[10:13:37]	Morgan Beck exited observer at their location.
[10:13:39]	Morgan Beck opened the 'Industrial Fridge' #1725 container.
[10:13:41]	Morgan Beck closed the 'Industrial Fridge' #1725 container.
[10:13:46]	[OOC] Hans Weiß: nah it's kinda fun, plus people hide shit down here
[10:14:01]	Hans Weiß opened the '' #1924 container.
