[08:45:37]	PhilipIsBored has connected.
[08:46:26]	PhilipIsBored loaded the character 'CCA.C14-UNION.i5.39867'
[08:51:26]	CCA.C14-UNION.i5.39867 has gained 10 tokens.
[08:56:26]	CCA.C14-UNION.i5.39867 has gained 10 tokens.
[09:01:26]	CCA.C14-UNION.i5.39867 has gained 10 tokens.
[09:06:31]	CCA.C14-UNION.i5.39867 has gained 10 tokens.
[09:11:31]	CCA.C14-UNION.i5.39867 has gained 10 tokens.
[09:16:31]	CCA.C14-UNION.i5.39867 has gained 10 tokens.
[09:21:32]	CCA.C14-UNION.i5.39867 has gained 10 tokens.
[09:24:09]	susie may has connected.
[09:26:32]	CCA.C14-UNION.i5.39867 has gained 10 tokens.
[09:31:32]	CCA.C14-UNION.i5.39867 has gained 10 tokens.
[09:34:41]	susie may created the character 'Tiffany Tennesley'
[09:34:41]	Tiffany Tennesley has gained a 'Suitcase' #25645.
[09:34:41]	Tiffany Tennesley has gained a 'Relocation Coupon' #25646.
[09:34:41]	susie may loaded the character 'Tiffany Tennesley'
[09:34:54]	Tiffany Tennesley used command '/Content'.
[09:34:58]	Tiffany Tennesley used command '/Discord'.
[09:36:32]	CCA.C14-UNION.i5.39867 has gained 10 tokens.
[09:40:59]	[ME] Tiffany Tennesley: approaches the desk, restlessly looking at her surroundings and glancing at the focused camera. "I presume you'll want my coupon?" she inquires, gesturing towards the travel documents in her hand.
[09:41:32]	CCA.C14-UNION.i5.39867 has gained 10 tokens.
[09:46:32]	CCA.C14-UNION.i5.39867 has gained 10 tokens.
[09:51:32]	CCA.C14-UNION.i5.39867 has gained 10 tokens.
[09:53:58]	Tiffany Tennesley has taken 5 damage from npc_headcrab.
[09:54:09]	Tiffany Tennesley has taken 23 damage from xen_tree.
[09:54:31]	Tiffany Tennesley has taken 12 damage from trigger_hurt.
[09:54:31]	Tiffany Tennesley has taken 12 damage from trigger_hurt.
[09:54:48]	Tiffany Tennesley has taken 12 damage from trigger_hurt.
[09:54:48]	Tiffany Tennesley has taken 12 damage from trigger_hurt.
[09:54:49]	Tiffany Tennesley has taken 12 damage from trigger_hurt.
[09:54:49]	Tiffany Tennesley has taken 12 damage from trigger_hurt.
[09:54:50]	Tiffany Tennesley has taken 12 damage from trigger_hurt.
[09:54:50]	trigger_hurt has killed Tiffany Tennesley.
[09:55:00]	susie may (STEAM_0:0:63557743) has disconnected.
[09:56:32]	CCA.C14-UNION.i5.39867 has gained 10 tokens.
[10:01:32]	CCA.C14-UNION.i5.39867 has gained 10 tokens.
[10:06:32]	CCA.C14-UNION.i5.39867 has gained 10 tokens.
[10:11:32]	CCA.C14-UNION.i5.39867 has gained 10 tokens.
[10:16:32]	CCA.C14-UNION.i5.39867 has gained 10 tokens.
