[09:50:01]	MLG Painevan has connected.
[09:50:36]	MLG Painevan loaded the character 'Karl Von Habsburg'
[09:51:47]	Karl Von Habsburg entered observer.
[10:18:23]	MLG Painevan (STEAM_0:0:68118061) has disconnected (timed out).
[16:55:07]	matt saton has connected.
[16:56:58]	matt saton loaded the character 'James Albright'
[16:57:10]	James Albright entered observer.
[16:57:30]	matt saton loaded the character 'Ru'lah'
[16:57:46]	Ru'lah entered observer.
[16:57:47]	Ru'lah exited observer at their location.
[16:57:48]	Ru'lah entered observer.
[16:57:48]	Ru'lah exited observer at their location.
[16:57:55]	Ru'lah used command '/ToggleRaise'.
[16:58:01]	Ru'lah used command '/ToggleRaise'.
[16:58:46]	Ru'lah entered observer.
[16:58:48]	Ru'lah exited observer at their location.
[16:58:50]	Ru'lah entered observer.
[16:58:59]	Ru'lah exited observer at their location.
[16:59:32]	Ru'lah has spawned 'models/props_c17/oildrum001_explosive.mdl'.
[16:59:35]	Ru'lah used command '/ToggleRaise'.
[16:59:37]	Ru'lah has taken 37 damage from Ru'lah.
[16:59:50]	Ru'lah used command '/ToggleRaise'.
[16:59:51]	Ru'lah used command '/ToggleRaise'.
[16:59:52]	Ru'lah entered observer.
[16:59:52]	Ru'lah used command '/ToggleRaise'.
[17:29:19]	Ru'lah used command '/ToggleRaise'.
[17:29:30]	matt saton loaded the character 'Joseph Kimsler'
[17:29:31]	Joseph Kimsler entered observer.
[17:48:01]	FB|| light ROOM has connected.
[17:48:50]	FB|| light ROOM loaded the character 'CCA.C14-UNION.EpU.72633'
[17:49:03]	CCA.C14-UNION.EpU.72633 used command '/Radio Unit is 10-8, status is green. Updating 10-20 to Plaza for standby.'.
[17:50:45]	CCA.C14-UNION.EpU.72633 used command '/Radio Unit going 10-7'.
[17:50:51]	FB|| light ROOM loaded the character 'Journey Robertson'
[18:29:04]	FB|| light ROOM loaded the character 'CCA.C14-UNION.EpU.72633'
[18:29:19]	CCA.C14-UNION.EpU.72633 used command '/Radio Unit is 10-8, status is green. Updating 10-20 to Plaza for stand by.'.
[18:34:04]	CCA.C14-UNION.EpU.72633 has gained 10 tokens.
[18:39:04]	CCA.C14-UNION.EpU.72633 has gained 10 tokens.
[18:44:04]	CCA.C14-UNION.EpU.72633 has gained 10 tokens.
[18:48:21]	CCA.C14-UNION.EpU.72633 used command '/Radio unit going 10-7'.
[18:48:26]	FB|| light ROOM loaded the character 'Journey Robertson'
[19:05:37]	[OOC] Joseph Kimsler: tank you
[19:05:40]	[OOC] Joseph Kimsler: thank you all for coming
[19:05:58]	[OOC] Journey Robertson: Announce the event you trogladyte.
[19:06:24]	Joseph Kimsler exited observer at their location.
[19:06:25]	Joseph Kimsler entered observer.
[19:06:28]	Joseph Kimsler exited observer at their location.
[19:06:29]	Joseph Kimsler entered observer.
[19:07:37]	[OOC] Journey Robertson: Bruh I just watched a soldier get shot at and she just laughed it off. NEAT
[19:08:16]	Joseph Kimsler exited observer at their location.
[19:08:20]	Joseph Kimsler entered observer.
[19:08:21]	Joseph Kimsler exited observer at their location.
[19:08:49]	[LOOC] Journey Robertson: Pistol caliber AK is my demon
[19:09:11]	[LOOC] Journey Robertson: Pistol caliber AK is my demon
[19:09:35]	[LOOC] Journey Robertson: For it to be a bullpup yes
[19:09:55]	[LOOC] Journey Robertson: The AR2 doesn't really have a bolt so I don't count it as a gun
[19:10:03]	Joseph Kimsler used command '/ToggleRaise'.
[19:10:08]	Joseph Kimsler entered observer.
[19:10:11]	Joseph Kimsler exited observer at their location.
[19:10:15]	Joseph Kimsler used command '/ToggleRaise'.
[19:10:18]	Joseph Kimsler used command '/ToggleRaise'.
[19:10:21]	[LOOC] Journey Robertson: Well it pretty much doesn't have any gun part other than the bullet part
[19:10:22]	Joseph Kimsler used command '/ToggleRaise'.
[19:11:10]	[LOOC] Journey Robertson: Also for christ fucking sakes can the Combine fix the muzzle flash on it
[19:14:05]	Joseph Kimsler entered observer.
[19:14:09]	Joseph Kimsler used command '/ToggleRaise'.
[19:14:11]	Joseph Kimsler exited observer at their location.
[19:14:15]	Joseph Kimsler used command '/ToggleRaise'.
[19:14:15]	[LOOC] Journey Robertson: no
[19:14:20]	Joseph Kimsler used command '/ToggleRaise'.
[19:14:28]	Joseph Kimsler used command '/ToggleRaise'.
[19:14:31]	Joseph Kimsler has spawned 'models/Combine_Helicopter/helicopter_bomb01.mdl'.
[19:14:46]	Joseph Kimsler has taken 5 damage from prop_physics.
[19:14:46]	prop_physics has killed Joseph Kimsler.
[19:14:55]	Joseph Kimsler entered observer.
[19:14:56]	[LOOC] Journey Robertson: Joseph Kimsler using Combine weaponry in front of Journey because fuck it.
[19:14:58]	Joseph Kimsler exited observer at their location.
[19:15:37]	[OOC] Journey Robertson: Q rebels get Gravity gun when?
[19:16:38]	Joseph Kimsler used command '/ToggleRaise'.
[19:17:46]	Joseph Kimsler used command '/ToggleRaise'.
[19:18:04]	Joseph Kimsler entered observer.
[19:18:08]	Joseph Kimsler exited observer at their location.
[19:18:20]	Journey Robertson has taken 50 damage from Joseph Kimsler.
[19:18:23]	Joseph Kimsler entered observer.
[19:18:24]	Joseph Kimsler exited observer at their location.
[19:18:27]	Journey Robertson has taken 500 damage from Joseph Kimsler.
[19:18:27]	Joseph Kimsler has killed Journey Robertson with weapon_physgun.
[19:18:29]	Joseph Kimsler entered observer.
[19:18:36]	[OOC] Journey Robertson: Rude
[19:18:48]	Joseph Kimsler exited observer at their location.
[19:18:53]	Joseph Kimsler entered observer.
[19:18:56]	Joseph Kimsler exited observer at their location.
[19:18:56]	Joseph Kimsler entered observer.
[19:19:05]	Joseph Kimsler exited observer at their location.
[19:19:05]	Joseph Kimsler entered observer.
[19:19:19]	Joseph Kimsler exited observer at their location.
[19:19:25]	Joseph Kimsler has gained a 'Raw Antlion Meat' #25649.
[19:19:25]	Joseph Kimsler used command '/CharGiveItem joseph raw'.
[19:19:27]	Joseph Kimsler ran 'drop' on item 'Raw Antlion Meat' (#25649)
[19:19:27]	Joseph Kimsler has lost a 'Raw Antlion Meat' #25649.
[19:19:43]	Joseph Kimsler used command '/ToggleRaise'.
[19:19:50]	Joseph Kimsler used command '/ToggleRaise'.
[19:19:54]	Joseph Kimsler entered observer.
[19:19:56]	Joseph Kimsler exited observer at their location.
[19:20:16]	Joseph Kimsler used command '/ToggleRaise'.
[19:20:17]	Joseph Kimsler used command '/ToggleRaise'.
[19:20:20]	Joseph Kimsler used command '/ToggleRaise'.
[19:20:20]	Joseph Kimsler used command '/ToggleRaise'.
[19:20:21]	Joseph Kimsler entered observer.
[19:20:21]	Joseph Kimsler used command '/ToggleRaise'.
[19:20:23]	Joseph Kimsler exited observer at their location.
[19:20:24]	Joseph Kimsler entered observer.
[19:20:28]	Joseph Kimsler exited observer at their location.
[19:20:35]	[OOC] Journey Robertson: Somebody fired 700 rounds through a M249 and melted it down. What the fuck
[19:20:36]	Joseph Kimsler entered observer.
[19:20:41]	Joseph Kimsler exited observer at their location.
[19:20:41]	Joseph Kimsler entered observer.
[19:20:41]	Ollie Garner has connected.
[19:20:42]	Joseph Kimsler exited observer at their location.
[19:20:55]	[OOC] Journey Robertson: Personal events be like
[19:21:33]	Joseph Kimsler used command '/ToggleRaise'.
[19:22:05]	[OOC] Journey Robertson: What did you say?
[19:22:22]	[OOC] Journey Robertson: gibberish got it
[19:23:16]	Ollie Garner loaded the character 'CCA.C14-HELIX.DvL.33698'
[19:23:23]	Joseph Kimsler used command '/ToggleRaise'.
[19:23:25]	Joseph Kimsler has taken 1000 damage from prop_combine_ball.
[19:23:25]	prop_combine_ball has killed Joseph Kimsler.
[19:23:31]	Joseph Kimsler used command '/ToggleRaise'.
[19:23:38]	CCA.C14-HELIX.DvL.33698 entered observer.
[19:23:39]	CCA.C14-HELIX.DvL.33698 exited observer at their location.
[19:23:41]	CCA.C14-HELIX.DvL.33698 entered observer.
