[21:31:40]	Painevan has connected.
[21:32:28]	Painevan loaded the character 'Jonathan Jackson'
[21:32:28]	Jonathan Jackson has taken 1 damage from worldspawn.
[21:32:29]	Jonathan Jackson has taken 1 damage from worldspawn.
[21:32:29]	Jonathan Jackson has taken 1 damage from worldspawn.
[21:32:30]	Jonathan Jackson has taken 1 damage from worldspawn.
[21:32:31]	Jonathan Jackson has taken 1 damage from worldspawn.
[21:32:32]	Jonathan Jackson has taken 1 damage from worldspawn.
[21:32:33]	Jonathan Jackson has taken 1 damage from worldspawn.
[21:32:33]	Jonathan Jackson has taken 1 damage from worldspawn.
[21:32:34]	Jonathan Jackson has taken 1 damage from worldspawn.
[21:32:35]	Jonathan Jackson has taken 1 damage from worldspawn.
[21:32:36]	Jonathan Jackson has taken 1 damage from worldspawn.
[21:32:36]	Jonathan Jackson has taken 1 damage from worldspawn.
[21:32:37]	Jonathan Jackson has taken 1 damage from worldspawn.
[21:32:38]	Jonathan Jackson has taken 1 damage from worldspawn.
[21:32:39]	Jonathan Jackson has taken 1 damage from worldspawn.
[21:32:39]	Jonathan Jackson ran 'equip' on item 'Citizen Filter' (#24864)
[21:33:05]	Painevan (STEAM_0:0:68118061) has disconnected.
