[02:39:56]	guswagner937 has connected.
[02:41:29]	guswagner937 created the character 'Gus Wagner'
[02:41:29]	Gus Wagner has gained a 'Suitcase' #26017.
[02:41:29]	Gus Wagner has gained a 'Relocation Coupon' #26018.
[02:41:29]	guswagner937 loaded the character 'Gus Wagner'
[02:42:31]	guswagner937 (STEAM_0:0:483057931) has disconnected.
[13:44:11]	Madeline Wuntch has connected.
[13:49:13]	Madeline Wuntch (STEAM_0:0:193599766) has disconnected (timed out).
[16:37:56]	Madeline Wuntch has connected.
[16:39:52]	Madeline Wuntch loaded the character 'CCA.C14-GRID.i4.36307'
[16:40:04]	Madeline Wuntch (STEAM_0:0:193599766) has disconnected.
[16:44:25]	Madeline Wuntch has connected.
[16:45:25]	Madeline Wuntch loaded the character 'CCA.C14-GRID.i4.36307'
[16:50:25]	CCA.C14-GRID.i4.36307 has gained 10 tokens.
[16:54:23]	Madeline Wuntch has connected.
[17:20:55]	Madeline Wuntch loaded the character 'CCA.C14-GRID.i4.36307'
[17:25:55]	CCA.C14-GRID.i4.36307 has gained 10 tokens.
[17:30:55]	CCA.C14-GRID.i4.36307 has gained 10 tokens.
[17:35:55]	CCA.C14-GRID.i4.36307 has gained 10 tokens.
[17:37:11]	Madeline Wuntch (STEAM_0:0:193599766) has disconnected.
[17:41:15]	FB|| light ROOM has connected.
[17:42:43]	FB|| light ROOM loaded the character 'CCA.C14-UNION.EpU.72633'
[17:42:59]	Madeline Wuntch has connected.
[17:44:32]	Madeline Wuntch loaded the character 'CCA.C14-GRID.i4.36307'
[17:44:44]	[OOC] CCA.C14-GRID.i4.36307: i am no longer being ripped apart
[17:45:03]	[OOC] CCA.C14-UNION.EpU.72633: Good
[17:45:20]	[OOC] CCA.C14-UNION.EpU.72633: Having only half of a GRID i4 is less than wanted
[17:45:39]	[ME] CCA.C14-UNION.EpU.72633: Sits down while sighing a good bit.
[17:45:39]	[OOC] CCA.C14-GRID.i4.36307: i mean all of me was there
[17:45:47]	[OOC] CCA.C14-GRID.i4.36307: i was just being s t r e t c h e d
[17:45:59]	[ME] CCA.C14-GRID.i4.36307: climbs onto the top bunk
[17:46:11]	[ME] CCA.C14-GRID.i4.36307: sits against the wall
[17:46:29]	[ME] CCA.C14-UNION.EpU.72633: begins dusting off a little bit of solidified blood from his last big boi amputation from yesterday.
[17:47:07]	[ME] CCA.C14-UNION.EpU.72633: takes out a little rag and begins trying to dust it off.
[17:47:08]	CCA.C14-UNION.EpU.72633 rolled 57 out of 100.
[17:47:08]	CCA.C14-UNION.EpU.72633 used command '/Roll'.
[17:47:11]	[LOOC] CCA.C14-GRID.i4.36307: are you wiping off your knife
[17:47:22]	[LOOC] CCA.C14-UNION.EpU.72633: The blood that splattered onto my vest and helmet
[17:47:27]	[LOOC] CCA.C14-GRID.i4.36307: ah
[17:47:36]	[LOOC] CCA.C14-UNION.EpU.72633: Blood stains and solidifies really quickly
[17:47:43]	CCA.C14-UNION.EpU.72633 has gained 10 tokens.
[17:47:48]	[LOOC] CCA.C14-UNION.EpU.72633: Mostly because of the iron in it.
[17:48:26]	[IT] CCA.C14-UNION.EpU.72633: The blood comes off a little, still a little bloody.
[17:48:31]	[LOOC] CCA.C14-GRID.i4.36307: does hydrogen peroxide still exist
[17:49:32]	CCA.C14-GRID.i4.36307 has gained 10 tokens.
[17:50:10]	[LOOC] CCA.C14-UNION.EpU.72633: Bruh
[17:52:29]	[LOOC] CCA.C14-UNION.EpU.72633: Void me saying manhack
[17:52:34]	[LOOC] CCA.C14-UNION.EpU.72633: I say it on instinct
[17:52:43]	CCA.C14-UNION.EpU.72633 has gained 10 tokens.
[17:53:04]	[ME] CCA.C14-GRID.i4.36307: lightly hums the Log Driver's Waltz
[17:53:10]	[LOOC] CCA.C14-UNION.EpU.72633: Bruh
[17:54:32]	CCA.C14-GRID.i4.36307 has gained 10 tokens.
[17:55:05]	[LOOC] CCA.C14-UNION.EpU.72633: Player crazyeyes223 has joined the game
[17:55:08]	[LOOC] CCA.C14-UNION.EpU.72633: Bruh
[17:55:21]	[LOOC] CCA.C14-GRID.i4.36307: huh?
[17:55:24]	[LOOC] CCA.C14-GRID.i4.36307: i didnt see that
[17:55:27]	[LOOC] CCA.C14-GRID.i4.36307: brb
[17:55:33]	[LOOC] CCA.C14-UNION.EpU.72633: F
[17:56:18]	[LOOC] CCA.C14-GRID.i4.36307: back
[17:56:20]	[LOOC] CCA.C14-GRID.i4.36307: ok so
[17:56:21]	[LOOC] CCA.C14-UNION.EpU.72633: BET
[17:56:32]	[LOOC] CCA.C14-GRID.i4.36307: user has connected to server and joined the game is different right?
[17:56:36]	[LOOC] CCA.C14-UNION.EpU.72633: Ye
[17:56:46]	[LOOC] CCA.C14-UNION.EpU.72633: Joining just means they are trying to connect.
[17:56:55]	[LOOC] CCA.C14-UNION.EpU.72633: CCA.C14-GRID.i4.36307 says "<:: Jesus. ::>"Player crazyeyes223 has joined the gameCCA.C14-GRID.i4.36307 says "<:: Might damage it. ::>"
[17:56:57]	[LOOC] CCA.C14-UNION.EpU.72633: neat
[17:57:10]	[LOOC] CCA.C14-UNION.EpU.72633: I could have spaced that but it was a copy and paste
[17:57:12]	[LOOC] CCA.C14-GRID.i4.36307: tf i didnt see that
[17:57:16]	[LOOC] CCA.C14-UNION.EpU.72633: Lmao
[17:57:27]	[LOOC] CCA.C14-GRID.i4.36307: I LOST MY MOZZA STICKS
