[01:28:20]	Mr.Ganar has connected.
[01:28:43]	Mr.Ganar (STEAM_0:0:80909581) has disconnected.
[11:02:01]	Peppermint has connected.
[11:02:39]	Peppermint loaded the character 'Tanya L. Fredrickson'
[11:02:53]	Tanya L. Fredrickson used the 'Shopkeeper' vendor.
[11:03:08]	Tanya L. Fredrickson opened the '' #2755 container.
[11:03:11]	Tanya L. Fredrickson closed the '' #2755 container.
[11:03:15]	Tanya L. Fredrickson used the 'Shopkeeper' vendor.
[11:09:35]	Tanya L. Fredrickson opened the '' #2736 container.
[11:09:38]	Tanya L. Fredrickson closed the '' #2736 container.
[11:09:59]	Tanya L. Fredrickson has gained a 'Empty Sparkling Consulate Water Can' #29207.
[11:10:13]	Tanya L. Fredrickson has gained a 'Broken Clock' #29208.
[11:10:14]	Tanya L. Fredrickson opened the '' #2684 container.
[11:10:20]	Tanya L. Fredrickson closed the '' #2684 container.
[11:10:45]	Tanya L. Fredrickson has gained a 'Empty Milk Gallon' #29209.
[11:10:52]	Tanya L. Fredrickson has gained a 'Notepad' #29210.
[11:11:55]	Tanya L. Fredrickson has gained a 'Scrap Glass' #29211.
[11:12:12]	Tanya L. Fredrickson has gained a 'Pin' #29212.
[11:12:31]	Tanya L. Fredrickson has gained a 'Scrap Plastic' #29213.
[11:12:35]	Tanya L. Fredrickson opened the '' #252 container.
[11:12:38]	Tanya L. Fredrickson closed the '' #252 container.
[11:12:39]	Tanya L. Fredrickson opened the '' #2548 container.
[11:12:41]	Tanya L. Fredrickson closed the '' #2548 container.
[11:13:04]	Tanya L. Fredrickson has gained a 'Broken Computer Monitor' #29214.
[11:13:07]	Tanya L. Fredrickson opened the '' #2726 container.
[11:13:10]	Tanya L. Fredrickson closed the '' #2726 container.
[11:13:40]	Tanya L. Fredrickson opened the '' #2763 container.
[11:13:54]	Tanya L. Fredrickson closed the '' #2763 container.
[11:13:57]	Tanya L. Fredrickson ran 'drop' on item 'Scrap Plastic' (#29213)
[11:13:57]	Tanya L. Fredrickson has lost a 'Scrap Plastic' #29213.
[11:13:58]	Tanya L. Fredrickson ran 'drop' on item 'Empty Milk Gallon' (#29209)
[11:13:58]	Tanya L. Fredrickson has lost a 'Empty Milk Gallon' #29209.
[11:13:59]	Tanya L. Fredrickson ran 'drop' on item 'Scrap Glass' (#29211)
[11:13:59]	Tanya L. Fredrickson has lost a 'Scrap Glass' #29211.
[11:14:05]	Tanya L. Fredrickson destroyed a 'Scrap Glass' #29211.
[11:14:05]	Tanya L. Fredrickson destroyed a 'Empty Milk Gallon' #29209.
[11:14:06]	Tanya L. Fredrickson destroyed a 'Scrap Plastic' #29213.
[11:14:14]	Tanya L. Fredrickson has gained a 'Scrap Electronics' #29213.
[11:14:14]	Tanya L. Fredrickson has gained a 'Scrap Electronics' #29214.
[11:14:14]	Tanya L. Fredrickson has gained a 'Scrap Plastic' #29215.
[11:14:20]	Tanya L. Fredrickson ran 'drop' on item 'Scrap Plastic' (#29215)
[11:14:20]	Tanya L. Fredrickson has lost a 'Scrap Plastic' #29215.
[11:14:21]	Tanya L. Fredrickson ran 'drop' on item 'Scrap Electronics' (#29213)
[11:14:21]	Tanya L. Fredrickson has lost a 'Scrap Electronics' #29213.
[11:14:21]	Tanya L. Fredrickson ran 'drop' on item 'Scrap Electronics' (#29214)
[11:14:21]	Tanya L. Fredrickson has lost a 'Scrap Electronics' #29214.
[11:14:26]	Tanya L. Fredrickson opened the '' #2763 container.
[11:14:29]	Tanya L. Fredrickson has gained a 'Pipe' #29155.
[11:14:30]	Tanya L. Fredrickson ran 'Equip' on item 'Pipe' (#29155)
[11:14:32]	Tanya L. Fredrickson closed the '' #2763 container.
[11:14:35]	Tanya L. Fredrickson destroyed a 'Scrap Electronics' #29214.
[11:14:36]	Tanya L. Fredrickson destroyed a 'Scrap Electronics' #29213.
[11:14:38]	Tanya L. Fredrickson destroyed a 'Scrap Plastic' #29215.
[11:14:39]	Tanya L. Fredrickson opened the '' #2763 container.
[11:14:43]	Tanya L. Fredrickson ran 'EquipUn' on item 'Pipe' (#29155)
[11:14:53]	Tanya L. Fredrickson closed the '' #2763 container.
[11:17:05]	Nums has connected.
[11:18:58]	Nums loaded the character 'CCA.C14-RCT.77460'
[11:19:05]	[OOC] Tanya L. Fredrickson: heyo
[11:19:25]	[OOC] Tanya L. Fredrickson: Hows being locked in the nexus?
[11:20:44]	Tanya L. Fredrickson used the 'Shopkeeper' vendor.
[11:21:06]	[OOC] CCA.C14-RCT.77460: oh yk
[11:21:14]	[OOC] CCA.C14-RCT.77460: ass because no one is ever online ever.
[11:21:23]	[OOC] Tanya L. Fredrickson: yeah....
[11:21:35]	[OOC] Tanya L. Fredrickson: this server kinda sucks cus of that
[11:21:51]	Tanya L. Fredrickson opened the '' #2763 container.
[11:21:53]	Tanya L. Fredrickson has gained a 'Notepad' #29210.
[11:21:54]	Tanya L. Fredrickson closed the '' #2763 container.
[11:22:02]	Tanya L. Fredrickson ran 'Edit' on item 'Notepad' (#29210)
[11:22:29]	[OOC] Tanya L. Fredrickson: why dontcha make a new char so we can passiverp?
[11:27:40]	Peppermint (STEAM_0:1:115933392) has disconnected.
[11:39:27]	Nums (STEAM_0:1:196547442) has disconnected.
