[12:07:54]	Mettaton Ex has connected.
[12:12:57]	Mettaton Ex (STEAM_0:1:578970233) has disconnected (timed out).
[18:58:51]	Snapdev643 has connected.
[18:59:41]	Snapdev643 (STEAM_0:1:549299000) has disconnected (timed out).
[19:06:30]	FB|| light ROOM has connected.
[19:07:22]	FB|| light ROOM loaded the character 'Ethan King'
[19:08:15]	matt saton has connected.
[19:12:10]	Apollo7771FO3 has connected.
[19:13:30]	Apollo7771FO3 loaded the character 'CCA.C08-HELIX.i2.64998'
[19:13:47]	[OOC] CCA.C08-HELIX.i2.64998: Farded 
[19:14:02]	[OOC] Ethan King: Bitch
[19:14:14]	[OOC] CCA.C08-HELIX.i2.64998: POV: no radio ;(
[19:14:32]	[OOC] Ethan King: Get fucked
[19:14:44]	[OOC] CCA.C08-HELIX.i2.64998: Why so mean ;( 
[19:14:54]	[OOC] Ethan King: I am an angy man.
[19:15:03]	[OOC] CCA.C08-HELIX.i2.64998: Try like, not being angy
[19:15:11]	[OOC] Ethan King: Okay, give me a second.
[19:15:12]	[OOC] CCA.C08-HELIX.i2.64998: And instead, coping and seething
[19:15:30]	[OOC] Ethan King: I am now not angy, hello friend.
[19:16:10]	[OOC] CCA.C08-HELIX.i2.64998: Hi now not angry, I am Joe
[19:16:26]	[OOC] Ethan King: That made me angry once again, thanks for nothing.
[19:16:53]	matt saton (STEAM_0:1:53097688) has disconnected.
[19:17:06]	[OOC] CCA.C08-HELIX.i2.64998: Any time, nothing is a very hard thing to get
[19:18:30]	CCA.C08-HELIX.i2.64998 has gained 10 tokens.
[19:18:52]	[OOC] CCA.C08-HELIX.i2.64998: Okie, I go now will return later
[19:18:58]	[OOC] CCA.C08-HELIX.i2.64998: By Mr Man
[19:19:00]	[OOC] CCA.C08-HELIX.i2.64998: e
[19:19:03]	Apollo7771FO3 (STEAM_0:1:40787669) has disconnected.
[19:22:08]	FB|| light ROOM (STEAM_0:1:17219621) has disconnected.
[19:28:11]	Spooky Wolf has connected.
[19:29:40]	Spooky Wolf loaded the character 'Anastasia Ivanovich'
