[19:49:25]	Beedle has connected.
[20:01:18]	Beedle (STEAM_0:1:31603520) has disconnected.
[20:19:08]	cameraman has connected.
[20:23:28]	cameraman created the character 'cameraman'
[20:23:28]	cameraman has gained a 'Suitcase' #20886.
[20:23:28]	cameraman has gained a 'Relocation Coupon' #20887.
[20:23:28]	cameraman has gained a 'Green Citizen Suit' #20888.
[20:23:28]	cameraman has gained a 'Citizen Filter' #20889.
[20:23:29]	cameraman loaded the character 'cameraman'
[20:23:42]	cameraman ran 'Equip' on item 'Green Citizen Suit' (#20888)
[20:23:44]	cameraman ran 'EquipUn' on item 'Green Citizen Suit' (#20888)
[20:24:50]	cameraman has taken 5 damage from cameraman.
[20:24:50]	cameraman has gained 10 tokens.
[20:27:59]	cameraman (STEAM_0:0:457597538) has disconnected.
