[00:00:31]	[LOOC] Ryan Marnett: septembmer
[00:00:37]	[LOOC] Ryan Marnett: 13th
[00:00:45]	[LOOC] CAC.C14-BIOTIC.45914: o
[00:00:59]	[LOOC] Ryan Marnett: but yeah on the 13th he's unbanned
[00:01:09]	[LOOC] CAC.C14-BIOTIC.45914: ight
[00:02:37]	Ryan Marnett has spawned a 'Entity [3213][witcher_gateway]'.
[00:02:39]	Ryan Marnett entered observer.
[00:02:44]	Ryan Marnett has spawned a 'Entity [2220][witcher_gateway]'.
[00:03:12]	Ryan Marnett has spawned a 'Entity [2220][witcher_gateway]'.
[00:03:15]	Ryan Marnett has spawned a 'Entity [3192][witcher_gateway]'.
[00:03:19]	Ryan Marnett has spawned a 'Entity [2220][witcher_gateway]'.
[00:03:24]	Ryan Marnett has spawned a 'Entity [3192][witcher_gateway]'.
[00:03:53]	Ryan Marnett has spawned a 'Entity [3193][witcher_gateway]'.
[00:03:58]	Ryan Marnett has spawned a 'Entity [3213][witcher_gateway]'.
[00:04:17]	Ryan Marnett entered observer.
[00:04:34]	Ryan Marnett exited observer at their location.
[00:05:06]	[OOC] Ryan Marnett: chief what contet should i add tonigt
[00:05:09]	[OOC] Ryan Marnett: programming conent
[00:05:14]	[OOC] CAC.C14-BIOTIC.45914: uhhh
[00:05:18]	Ryan Marnett entered observer.
[00:05:19]	Ryan Marnett exited observer at their location.
[00:05:19]	[OOC] CAC.C14-BIOTIC.45914: fuckin
[00:05:38]	[OOC] CAC.C14-BIOTIC.45914: maybe making biotic rations nor harmful to the ancilliary
[00:05:47]	[OOC] CAC.C14-BIOTIC.45914: and arcade games nshi
[00:05:55]	[OOC] Ryan Marnett: bruh do biotic rations hurt you
[00:06:35]	[OOC] CAC.C14-BIOTIC.45914: yes
[00:06:41]	[OOC] Ryan Marnett: fuc
[00:06:43]	[OOC] CAC.C14-BIOTIC.45914: thats why im at 12 health
[00:07:05]	Tenderloin Tom loaded the character 'CCA.C08-UNION.i5.00162'
[00:07:22]	CCA.C08-UNION.i5.00162 has taken 2 damage from CCA.C08-UNION.i5.00162.
[00:07:23]	[OOC] Ryan Marnett: i'll revamp the fuckin uh
[00:07:24]	Ryan Marnett entered observer.
[00:07:26]	[OOC] Ryan Marnett: the thingo
[00:07:27]	Ryan Marnett exited observer at their location.
[00:07:40]	Ryan Marnett entered observer.
[00:07:40]	Ryan Marnett exited observer at their location.
[00:07:49]	[OOC] Ryan Marnett: food for botics
[00:07:52]	CCA.C08-UNION.i5.00162 has taken 2 damage from CCA.C08-UNION.i5.00162.
[00:07:52]	[OOC] Ryan Marnett: that's something i have to do
[00:07:55]	[OOC] Ryan Marnett: fuuuuuck that's gonna suck
[00:07:59]	Ryan Marnett entered observer.
[00:08:01]	Ryan Marnett exited observer at their location.
[00:08:03]	Ryan Marnett has taken 19 damage from worldspawn.
[00:08:06]	[OOC] CAC.C14-BIOTIC.45914: question
[00:08:10]	[OOC] Ryan Marnett: add hunger values to all the existing alien meat
[00:08:11]	[OOC] Ryan Marnett: yeah
[00:08:12]	Ryan Marnett entered observer.
[00:08:13]	Ryan Marnett exited observer at their location.
[00:08:16]	Ryan Marnett entered observer.
[00:08:16]	Ryan Marnett exited observer at their location.
[00:08:20]	[OOC] CAC.C14-BIOTIC.45914: is getting rid of the binders literally jhust a matter of cutting them off
[00:08:22]	CCA.C08-UNION.i5.00162 has taken 2 damage from CCA.C08-UNION.i5.00162.
[00:08:28]	[OOC] Ryan Marnett: rebel chief
[00:08:29]	Ryan Marnett used command '/DoorSetHidden true'.
[00:08:31]	[OOC] Ryan Marnett: ew vort rebels
[00:08:50]	[OOC] Ryan Marnett: can we avoid you escaping until we actually have a vort guide so people aren't pisse off
[00:08:51]	Ryan Marnett entered observer.
[00:08:52]	CCA.C08-UNION.i5.00162 has taken 2 damage from CCA.C08-UNION.i5.00162.
[00:08:53]	Ryan Marnett exited observer at their location.
[00:08:53]	Ryan Marnett entered observer.
[00:08:53]	Ryan Marnett exited observer at their location.
[00:09:11]	[OOC] Ryan Marnett: but in my opinion they're surgically implanted into the vortigaunts
[00:09:14]	[OOC] CAC.C14-BIOTIC.45914: broooo
[00:09:22]	CCA.C08-UNION.i5.00162 has taken 2 damage from CCA.C08-UNION.i5.00162.
[00:09:30]	[OOC] CAC.C14-BIOTIC.45914: in city 08 it was just cutting them off
[00:09:37]	[OOC] Ryan Marnett: i was dum in city 8
[00:09:39]	[OOC] CAC.C14-BIOTIC.45914: and also people already offered to help me escape
