[01:39:21]	japan1793 has connected.
[01:40:38]	japan1793 (STEAM_0:1:534723608) has disconnected.
[03:08:41]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[03:08:56]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[03:09:11]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[03:09:27]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[03:09:42]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[03:09:57]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[03:10:12]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[03:10:27]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[03:10:42]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[03:10:57]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[03:11:12]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[03:11:27]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[03:11:42]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[03:11:57]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[03:12:12]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[03:12:27]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[03:12:42]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[03:12:57]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[03:13:12]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[03:13:27]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[03:13:42]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[03:13:57]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[03:14:12]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[03:14:27]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[03:14:42]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[03:14:57]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[03:15:12]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[03:15:27]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[03:15:42]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[03:15:57]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[03:16:12]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[03:16:27]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[03:16:42]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[03:16:57]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[03:17:12]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[03:17:27]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[03:17:43]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[03:17:58]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[03:18:13]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[03:18:28]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[03:18:43]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[03:18:58]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[03:19:13]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[03:19:28]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[03:19:43]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[03:19:58]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[03:20:13]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[03:20:28]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[03:20:43]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[03:20:58]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[03:21:13]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[03:21:28]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[03:21:43]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[03:21:58]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[03:22:13]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[03:22:28]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[03:22:43]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[03:22:58]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[03:23:13]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[03:23:28]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[03:23:43]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[03:23:58]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[03:24:13]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[03:24:28]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[03:24:43]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[03:24:58]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[03:25:13]	Feng Yi 'Eric' Hseuh has taken 2 damage from Feng Yi 'Eric' Hseuh.
[03:25:13]	Feng Yi 'Eric' Hseuh has killed Feng Yi 'Eric' Hseuh.
