[01:41:18]	Heisenburger has connected.
[01:45:30]	Jonny Johnson has gained a 'Cyclopic Citizen Suit' #30464.
[01:45:30]	Jonny Johnson has gained a 'Citizen Filter' #30465.
[01:45:30]	Heisenburger created the character 'Jonny Johnson'
[01:45:30]	Jonny Johnson has gained a 'Suitcase' #30466.
[01:45:30]	Jonny Johnson has gained a 'Relocation Coupon' #30467.
[01:45:30]	Heisenburger loaded the character 'Jonny Johnson'
[01:45:43]	Jonny Johnson has taken 1 damage from worldspawn.
[01:45:44]	Jonny Johnson has taken 1 damage from worldspawn.
[01:45:44]	Jonny Johnson has taken 1 damage from worldspawn.
[01:45:45]	Jonny Johnson has taken 1 damage from worldspawn.
[01:45:47]	Jonny Johnson has taken 1 damage from worldspawn.
[01:45:55]	Jonny Johnson has taken 1 damage from worldspawn.
[01:45:56]	Jonny Johnson has taken 1 damage from worldspawn.
[01:45:56]	Jonny Johnson has taken 1 damage from worldspawn.
[01:45:57]	Jonny Johnson has taken 1 damage from worldspawn.
[01:45:59]	Jonny Johnson has taken 1 damage from worldspawn.
[01:45:59]	Jonny Johnson has taken 1 damage from worldspawn.
[01:46:00]	Jonny Johnson has taken 1 damage from worldspawn.
[01:46:01]	Jonny Johnson has taken 1 damage from worldspawn.
[01:47:10]	Jonny Johnson has taken 1 damage from worldspawn.
[01:47:11]	Jonny Johnson has taken 1 damage from worldspawn.
[01:47:12]	Jonny Johnson has taken 1 damage from worldspawn.
[01:47:15]	Jonny Johnson has taken 1 damage from worldspawn.
[01:47:15]	Jonny Johnson has taken 1 damage from worldspawn.
[01:47:16]	Jonny Johnson has taken 1 damage from worldspawn.
[01:47:17]	Jonny Johnson has taken 1 damage from worldspawn.
[01:47:18]	Jonny Johnson has taken 1 damage from worldspawn.
[01:47:18]	Jonny Johnson has taken 1 damage from worldspawn.
[01:47:24]	Heisenburger (STEAM_0:0:221247699) has disconnected.
[04:32:56]	matt saton (STEAM_0:1:53097688) has disconnected (timed out).
[12:35:33]	ost has connected.
[12:35:34]	ost (STEAM_0:1:448155602) has disconnected.
[13:25:26]	matt saton has connected.
[13:54:18]	Nums has connected.
[13:57:18]	Nums loaded the character 'CCA.C17-UNION.i5.77460'
[14:00:05]	Nums (STEAM_0:1:196547442) has disconnected.
[14:16:55]	matt saton loaded the character 'Andrew Cloverman'
[14:16:57]	Andrew Cloverman entered observer.
[14:17:04]	Andrew Cloverman used command '/CharSetThirst andrew 100'.
[14:17:07]	Andrew Cloverman used command '/CharSetHunger andrew 100'.
