[11:19:15]	Nums has connected.
[15:12:02]	Painevan has connected.
[15:13:06]	Painevan loaded the character 'Jonathan Jackson'
[15:13:44]	Painevan loaded the character 'Zombie'
[15:22:17]	Nums loaded the character 'Finan O'Conall'
[15:22:27]	Finan O'Conall ran 'Equip' on item 'USP Match' (#30693)
[15:22:38]	Finan O'Conall ran 'use' on item '9mm Pistol Magazine' (#30691)
[15:22:41]	Finan O'Conall ran 'EquipUn' on item 'USP Match' (#30693)
[15:22:42]	Finan O'Conall ran 'Equip' on item 'USP Match' (#30693)
[15:22:53]	Finan O'Conall ran 'Equip' on item 'Crowbar' (#27910)
[15:23:05]	Finan O'Conall opened the 'Item Crate' #2851 container.
[15:23:07]	Finan O'Conall closed the 'Item Crate' #2851 container.
[15:23:34]	[OOC] Finan O'Conall: Why don't people get on anymore
[15:23:39]	[OOC] Finan O'Conall: everyone too busy
[15:23:48]	Finan O'Conall has taken 5 damage from npc_headcrab.
[15:23:50]	[OOC] Zombie: It is a school day
[15:23:57]	Painevan loaded the character 'Jonathan Jackson'
[15:24:01]	[OOC] Finan O'Conall: Fair I wasn't sure the age level of most players
[15:24:11]	Finan O'Conall has gained 10 tokens.
[15:24:14]	[OOC] Jonathan Jackson: Not really sure but with college it is still an issue
[15:24:36]	[OOC] Finan O'Conall: College takes a LOT of effort so I can level with Q and the rest.
[15:24:48]	[OOC] Jonathan Jackson: Yep
[15:25:10]	[OOC] Jonathan Jackson: Personally I think that the server struggles because of inactive staff
[15:25:24]	[OOC] Jonathan Jackson: When's the last time Ollie was on? DRD rarely gets on
[15:25:57]	[OOC] Finan O'Conall: I've told Q this on multiple occassions. More people would get on if he gave out power and let more active members work
[15:26:38]	[OOC] Jonathan Jackson: I remember back before the relaunch that I had been a staff member with Ollie and we would get on consistently and we would have like around 10 people on daily at minimum
[15:27:10]	[OOC] Finan O'Conall: If you used to be staff Q should make you staff
[15:27:50]	[OOC] Jonathan Jackson: I quit being a staff member due to an arguement with Q a while ago, its settled now and he apologized but I don't really know if I'd want to go back to it
[15:28:51]	[OOC] Finan O'Conall: Someones gotta try to save us
[15:29:20]	Finan O'Conall has taken 10 damage from npc_zombie.
[15:29:22]	[OOC] Jonathan Jackson: Eh it can be anyone that's active and wants to become staff
[15:29:29]	Finan O'Conall has taken 10 damage from npc_zombine.
[15:29:31]	Finan O'Conall has taken 86 damage from npc_zombine.
[15:29:31]	npc_zombine has killed Finan O'Conall.
[15:29:31]	npc_zombine destroyed a '12-Gauge Shells' #30722.
[15:29:43]	Finan O'Conall ran 'Equip' on item 'USP Match' (#30693)
[15:29:50]	[OOC] Jonathan Jackson: Q often gets on by himself but doesn't really make any work cycles or any RP like that, that stuff is how people like do stuff
[15:30:08]	[OOC] Finan O'Conall: The problem is that is you and I and maybe a few others and I'm definently not gonna do it.
[15:31:02]	[OOC] Jonathan Jackson: Exactly, I think Q needs to consider removing Ollie from staff at this point, I like Ollie but I literally haven't even seen him talk
[15:31:32]	[OOC] Finan O'Conall: I tried to tell Q to make changes he didn't wanna listen
[15:31:48]	[OOC] Finan O'Conall: His server though
[15:31:54]	Finan O'Conall ran 'Equip' on item 'Crowbar' (#27910)
[15:32:15]	[OOC] Jonathan Jackson: His anxiety probably, he never had that before though, he was fine and always in a VC beforehand, dunno what changed
