[11:56:31]	Lynch has connected.
[11:58:12]	Lynch loaded the character 'Henry Blackwoods'
[11:59:05]	Henry Blackwoods has gained 5 tokens.
[11:59:06]	Henry Blackwoods has taken 1 damage from npc_headcrab.
[11:59:16]	Henry Blackwoods has gained a 'Minimum Grade Supplements (Fish Flavor)' #32160.
[11:59:19]	Henry Blackwoods has taken 1 damage from npc_headcrab.
[11:59:20]	Henry Blackwoods ran 'Consume' on item 'Minimum Grade Supplements (Fish Flavor)' (#32160)
[11:59:42]	Henry Blackwoods has gained a 'Minimum Grade Food Product (Beet Flavor)' #32161.
[11:59:46]	Henry Blackwoods ran 'Consume' on item 'Minimum Grade Food Product (Beet Flavor)' (#32161)
[11:59:55]	Henry Blackwoods has gained a 'Scrap Metal' #32161.
[12:00:32]	npc_zombine destroyed a 'Rock' #31883.
[12:02:03]	Henry Blackwoods has gained a 'Empty Milk Gallon' #32164.
[12:02:07]	Henry Blackwoods ran 'drop' on item 'Empty Milk Gallon' (#32164)
[12:02:07]	Henry Blackwoods has lost a 'Empty Milk Gallon' #32164.
[12:02:41]	Henry Blackwoods ran 'take' on item 'Scrap Metal' (#32093)
[12:02:41]	Henry Blackwoods has gained a 'Scrap Metal' #32093.
[12:03:37]	npc_zombie destroyed a 'Rock' #31504.
[12:03:39]	npc_zombie destroyed a 'Rock' #32038.
[12:05:09]	Henry Blackwoods ran 'drop' on item 'Spark Plug' (#32039)
[12:05:09]	Henry Blackwoods has lost a 'Spark Plug' #32039.
[12:05:11]	Henry Blackwoods ran 'take' on item 'Resin' (#32172)
[12:05:11]	Henry Blackwoods has gained a 'Resin' #32172.
[12:06:36]	Lynch (STEAM_0:1:626926779) has disconnected.
[12:18:19]	Nums has connected.
[12:21:33]	Nums loaded the character 'CCA.C17-JUDGE.i4.77460'
[12:29:19]	Bean has connected.
[12:30:04]	Bean loaded the character 'Daniel J. Cutter'
[12:30:08]	Daniel J. Cutter entered observer.
[12:30:22]	Daniel J. Cutter ran 'Equip' on item 'CWU Worker Suit' (#29250)
[12:30:41]	Daniel J. Cutter exited observer at their location.
[12:31:33]	CCA.C17-JUDGE.i4.77460 has gained 10 tokens.
[12:31:33]	Nums loaded the character 'Finan O'Conall'
[12:32:50]	Finan O'Conall has taken 3 damage from npc_fastzombie.
[12:32:50]	Finan O'Conall has taken 3 damage from npc_fastzombie.
[12:32:54]	Finan O'Conall has taken 3 damage from npc_fastzombie.
[12:32:54]	Finan O'Conall has taken 3 damage from npc_fastzombie.
[12:32:59]	Finan O'Conall has taken 5 damage from npc_headcrab.
[12:33:19]	Finan O'Conall opened the 'Crate' #2778 container.
[12:33:23]	Finan O'Conall closed the 'Crate' #2778 container.
[12:34:50]	Nums loaded the character 'CCA.C17-JUDGE.i4.77460'
[12:36:05]	[OOC] CCA.C17-JUDGE.i4.77460: where the people at bean
[12:36:11]	[OOC] CCA.C17-JUDGE.i4.77460: make the announcement
[12:37:09]	[OOC] Daniel J. Cutter: sure
[12:39:50]	CCA.C17-JUDGE.i4.77460 has gained 10 tokens.
[12:50:12]	Painevan has connected.
[12:51:27]	wendigo has connected.
[12:52:19]	wendigo loaded the character 'Stewie Lou'
[12:52:40]	[OOC] Stewie Lou: ULIB ERRORS!!!
[12:52:42]	Stewie Lou opened the 'Crate' #2558 container.
[12:52:45]	Stewie Lou closed the 'Crate' #2558 container.
[12:52:49]	Stewie Lou opened the 'Padlocked Crate' #2881 container.
[12:52:51]	Stewie Lou closed the 'Padlocked Crate' #2881 container.
[12:52:52]	Stewie Lou opened the 'Padlocked Crate' #2872 container.
[12:52:55]	Stewie Lou closed the 'Padlocked Crate' #2872 container.
[12:52:56]	Stewie Lou opened the 'File Cabinet' #2819 container.
[12:52:58]	Stewie Lou closed the 'File Cabinet' #2819 container.
[12:53:02]	Stewie Lou opened the 'Refrigerator' #2404 container.
[12:53:05]	Stewie Lou closed the 'Refrigerator' #2404 container.
[12:53:26]	Stewie Lou ran 'Equip' on item 'Cyclopic Citizen Suit' (#30829)
[12:54:09]	[Y] Stewie Lou: YO! can you give me some work.
[12:55:11]	Stewie Lou has gained a 'Minimum Grade Food Product (Fish Flavor)' #32178.
[12:55:16]	Stewie Lou ran 'Consume' on item 'Minimum Grade Food Product (Fish Flavor)' (#32178)
[12:55:30]	Stewie Lou has gained a 'Scrap Metal' #32178.
[12:55:37]	Stewie Lou has gained a 'Screwdriver' #32179.
[12:55:41]	Stewie Lou opened the 'Dumpster' #2736 container.
[12:55:44]	Stewie Lou closed the 'Dumpster' #2736 container.
[12:56:55]	Stewie Lou has gained a 'Old Newspaper' #32180.
[12:57:07]	Stewie Lou has gained a 'Screwdriver' #32181.
[12:57:09]	Stewie Lou opened the 'Dumpster' #2684 container.
[12:57:12]	Stewie Lou closed the 'Dumpster' #2684 container.
[12:58:00]	Stewie Lou has gained a 'Power Supply Unit' #32182.
[12:58:36]	Stewie Lou has gained a 'Resin' #32183.
[12:58:57]	Stewie Lou has gained a 'Empty Cooking Oil Bottle' #32184.
[12:59:00]	Stewie Lou ran 'drop' on item 'Empty Cooking Oil Bottle' (#32184)
[12:59:00]	Stewie Lou has lost a 'Empty Cooking Oil Bottle' #32184.
[12:59:08]	Stewie Lou has gained a 'Insulating Tape' #32185.
[12:59:12]	Stewie Lou opened the 'Dumpster' #239 container.
[12:59:15]	Stewie Lou closed the 'Dumpster' #239 container.
[12:59:16]	Stewie Lou opened the 'Dumpster' #239 container.
[12:59:23]	Stewie Lou closed the 'Dumpster' #239 container.
[13:00:07]	Stewie Lou ran 'EquipUn' on item 'Cyclopic Citizen Suit' (#30829)
[13:00:35]	Stewie Lou opened the 'File Cabinet' #2819 container.
[13:00:55]	Stewie Lou has gained a 'Pipe' #31215.
[13:01:23]	Stewie Lou closed the 'File Cabinet' #2819 container.
[13:05:41]	Stewie Lou opened the 'Padlocked File Cabinet' #245 container.
