[09:38:26]	Dilly_ has connected.
[09:39:37]	Dilly_ loaded the character 'OTA.C08-ECHO:OWS.69173'
[09:42:15]	OTA.C08-ECHO:OWS.69173 destroyed a '4.6x30 Rounds' #21038.
[09:42:33]	OTA.C08-ECHO:OWS.69173 opened the '' #1634 container.
[09:42:35]	OTA.C08-ECHO:OWS.69173 closed the '' #1634 container.
[09:43:16]	OTA.C08-ECHO:OWS.69173 has taken 4 damage from monster_bullsquid.
[09:43:16]	OTA.C08-ECHO:OWS.69173 has taken 4 damage from monster_bullsquid.
[09:43:16]	OTA.C08-ECHO:OWS.69173 has taken 4 damage from monster_bullsquid.
[09:43:17]	OTA.C08-ECHO:OWS.69173 has taken 4 damage from monster_bullsquid.
[09:43:17]	OTA.C08-ECHO:OWS.69173 has taken 4 damage from monster_bullsquid.
[09:43:17]	OTA.C08-ECHO:OWS.69173 has taken 4 damage from monster_bullsquid.
[09:43:17]	OTA.C08-ECHO:OWS.69173 has taken 4 damage from monster_bullsquid.
[09:43:17]	OTA.C08-ECHO:OWS.69173 has taken 4 damage from monster_bullsquid.
[09:43:34]	OTA.C08-ECHO:OWS.69173 has taken 4 damage from monster_bullsquid.
[09:43:34]	OTA.C08-ECHO:OWS.69173 has taken 4 damage from monster_bullsquid.
[09:43:34]	OTA.C08-ECHO:OWS.69173 has taken 4 damage from monster_bullsquid.
[09:43:34]	OTA.C08-ECHO:OWS.69173 has taken 4 damage from monster_bullsquid.
[09:45:02]	OTA.C08-ECHO:OWS.69173 destroyed a '4.6x30 Rounds' #21039.
[09:45:14]	OTA.C08-ECHO:OWS.69173 has taken 5 damage from npc_headcrab_fast.
[09:45:15]	OTA.C08-ECHO:OWS.69173 has taken 5 damage from npc_headcrab_fast.
[09:45:17]	OTA.C08-ECHO:OWS.69173 has taken 5 damage from npc_headcrab_fast.
[09:45:33]	OTA.C08-ECHO:OWS.69173 has taken 5 damage from npc_headcrab.
[09:45:40]	OTA.C08-ECHO:OWS.69173 has taken 5 damage from npc_fastzombie.
[09:47:05]	Dilly_ (STEAM_0:0:52468151) has disconnected.
[16:17:07]	ieloooow' lov.s <3 _ sb has connected.
[16:18:10]	ieloooow' lov.s <3 _ sb (STEAM_0:1:29934046) has disconnected.
[16:27:50]	boner head has connected.
[16:29:25]	boner head created the character 'Joe mama'
[16:29:25]	Joe mama has gained a 'Suitcase' #21039.
[16:29:25]	Joe mama has gained a 'Relocation Coupon' #21040.
[16:29:25]	Joe mama has gained a 'Green Citizen Suit' #21041.
[16:29:25]	Joe mama has gained a 'Citizen Filter' #21042.
[16:29:25]	boner head loaded the character 'Joe mama'
[16:30:39]	boner head (STEAM_0:1:43270455) has disconnected.
[18:00:37]	Epica has connected.
[18:02:21]	Epica created the character 'Samantha Robertson'
[18:02:21]	Samantha Robertson has gained a 'Suitcase' #21043.
[18:02:21]	Samantha Robertson has gained a 'Relocation Coupon' #21044.
[18:02:21]	Samantha Robertson has gained a 'Cyclopic Citizen Suit' #21045.
[18:02:21]	Samantha Robertson has gained a 'Citizen Filter' #21046.
[18:02:22]	Epica loaded the character 'Samantha Robertson'
[18:02:33]	Samantha Robertson ran 'Equip' on item 'Cyclopic Citizen Suit' (#21045)
[18:02:35]	Samantha Robertson ran 'equip' on item 'Citizen Filter' (#21046)
[18:03:11]	Samantha Robertson has taken 5 damage from Samantha Robertson.
[18:03:11]	Samantha Robertson has gained 10 tokens.
[18:08:57]	Epica (STEAM_0:1:178325073) has disconnected.
[18:30:22]	ieloooow' lov.s <3 _ sb has connected.
[18:31:25]	ieloooow' lov.s <3 _ sb (STEAM_0:1:29934046) has disconnected.
