[13:34:03]	Bullhuss has connected.
[13:51:15]	Bullhuss (STEAM_0:1:454839035) has disconnected.
[16:27:11]	Weaponized Turtles has connected.
[16:27:58]	Weaponized Turtles loaded the character 'Jacob Desmone'
[16:34:16]	Weaponized Turtles (STEAM_0:0:69165544) has disconnected.
[18:03:07]	Lildirtyharry04 has connected.
[18:04:11]	Lildirtyharry04 (STEAM_0:0:247487472) has disconnected.
[18:23:02]	Lildirtyharry04 has connected.
[18:25:40]	Weaponized Turtles has connected.
[18:26:37]	Weaponized Turtles loaded the character 'Jacob Desmone'
[18:28:34]	Painevan has connected.
[18:29:35]	Painevan loaded the character 'CCA.C17-HELIX.i3.08874'
[18:29:52]	[OOC] CCA.C17-HELIX.i3.08874: a h
[18:34:35]	CCA.C17-HELIX.i3.08874 has gained 10 tokens.
[18:37:42]	[OOC] Jacob Desmone: hello
[18:39:24]	[OOC] CCA.C17-HELIX.i3.08874: You should
[18:39:26]	[OOC] CCA.C17-HELIX.i3.08874: do work
[18:39:33]	[OOC] CCA.C17-HELIX.i3.08874: work is good for the soul
[18:39:35]	CCA.C17-HELIX.i3.08874 has gained 10 tokens.
[18:39:49]	[OOC] Jacob Desmone: true
[18:39:56]	[OOC] Jacob Desmone: Im also in mowas cause I don't wanna ditch so
[18:40:00]	[OOC] Jacob Desmone: theres that
[18:40:03]	[OOC] Jacob Desmone: but im fine with work
[18:40:50]	[OOC] Jacob Desmone: give me like a minute to set up on mowas
[18:40:55]	[OOC] Jacob Desmone: so I can "defend"
[18:40:57]	[OOC] Jacob Desmone: and ill do work
[18:41:01]	[OOC] CCA.C17-HELIX.i3.08874: defnse
[18:45:50]	[OOC] Jacob Desmone: ok its almost up
[18:46:40]	[OOC] CCA.C17-HELIX.i3.08874: K
[18:49:35]	CCA.C17-HELIX.i3.08874 has gained 10 tokens.
[18:50:28]	[OOC] Jacob Desmone: alright
[18:50:30]	[OOC] Jacob Desmone: I do work now
[18:50:53]	Lildirtyharry04 loaded the character 'John Reece'
