[06:03:50]	✙HealthAngel✙ has connected.
[06:04:31]	✙HealthAngel✙ loaded the character 'Angela Aleinikova'
[06:05:10]	Angela Aleinikova opened the '' #2112 container.
[06:05:13]	Angela Aleinikova closed the '' #2112 container.
[06:10:39]	Angela Aleinikova opened the '' #1777 container.
[06:10:41]	Angela Aleinikova closed the '' #1777 container.
[06:10:43]	Angela Aleinikova opened the '' #1777 container.
[06:10:45]	Angela Aleinikova closed the '' #1777 container.
[06:11:09]	Angela Aleinikova opened the '' #1896 container.
[06:11:11]	Angela Aleinikova closed the '' #1896 container.
[06:11:13]	Angela Aleinikova opened the '' #1897 container.
[06:11:15]	Angela Aleinikova closed the '' #1897 container.
[06:11:42]	Angela Aleinikova used command '/DoorBuy'.
[06:12:41]	Angela Aleinikova opened the '' #1993 container.
[06:12:41]	Angela Aleinikova closed the '' #1993 container.
[06:12:42]	Angela Aleinikova opened the '' #1993 container.
[06:12:45]	Angela Aleinikova closed the '' #1993 container.
[06:12:55]	Angela Aleinikova opened the 'Crate' #1847 container.
[06:12:58]	Angela Aleinikova closed the 'Crate' #1847 container.
[06:12:59]	Angela Aleinikova opened the 'Reinforced Locked Metal Cabinet' #1848 container.
[06:13:01]	Angela Aleinikova closed the 'Reinforced Locked Metal Cabinet' #1848 container.
[06:13:37]	Angela Aleinikova opened the '' #1902 container.
[06:13:39]	Angela Aleinikova closed the '' #1902 container.
[06:14:58]	Angela Aleinikova ran 'View' on item 'Notepad' (#18954)
[06:15:01]	Angela Aleinikova used the 'Storage' vendor.
[06:15:26]	Angela Aleinikova opened the '' #1810 container.
[06:15:29]	Angela Aleinikova closed the '' #1810 container.
[06:15:31]	Angela Aleinikova used the 'Storage' vendor.
[06:17:11]	Angela Aleinikova opened the '' #1931 container.
[06:17:13]	Angela Aleinikova closed the '' #1931 container.
[06:18:16]	Angela Aleinikova opened the '' #2192 container.
[06:18:18]	Angela Aleinikova closed the '' #2192 container.
[06:18:19]	Angela Aleinikova opened the '' #2192 container.
[06:18:19]	Angela Aleinikova closed the '' #2192 container.
[06:18:33]	Angela Aleinikova opened the '' #2215 container.
[06:18:35]	Angela Aleinikova closed the '' #2215 container.
[06:18:36]	Angela Aleinikova opened the '' #2214 container.
[06:18:38]	Angela Aleinikova closed the '' #2214 container.
[06:20:29]	Angela Aleinikova used the 'Fridge' vendor.
[06:20:42]	Angela Aleinikova used the 'File Cabinet' vendor.
[06:20:48]	Angela Aleinikova opened the 'Industrial Fridge' #1725 container.
[06:20:50]	Angela Aleinikova closed the 'Industrial Fridge' #1725 container.
[06:28:18]	Angela Aleinikova opened the 'Reinforced Locked File Cabinet' #2242 container.
[06:28:18]	Angela Aleinikova closed the 'Reinforced Locked File Cabinet' #2242 container.
[06:28:20]	Angela Aleinikova opened the 'Reinforced Locked File Cabinet' #2242 container.
[06:28:22]	Angela Aleinikova closed the 'Reinforced Locked File Cabinet' #2242 container.
[06:28:24]	Angela Aleinikova ran 'View' on item 'Notepad' (#28489)
[06:28:36]	Angela Aleinikova has taken 5 damage from npc_headcrab.
[06:28:54]	Angela Aleinikova has taken 5 damage from npc_headcrab.
[06:30:02]	Angela Aleinikova has taken 4 damage from monster_gonome.
[06:30:59]	Angela Aleinikova opened the '' #2052 container.
[06:31:01]	Angela Aleinikova closed the '' #2052 container.
[06:31:09]	Angela Aleinikova ran 'take' on item 'Wood Scrap' (#6579)
[06:31:09]	Angela Aleinikova has gained a 'Wood Scrap' #6579.
[06:31:11]	Angela Aleinikova ran 'take' on item 'Wood Scrap' (#6578)
[06:31:11]	Angela Aleinikova has gained a 'Wood Scrap' #6578.
[06:32:19]	Angela Aleinikova has taken 5 damage from npc_headcrab.
[06:32:21]	Angela Aleinikova has taken 5 damage from npc_headcrab.
[06:35:24]	Angela Aleinikova has taken 2 damage from npc_turret_floor.
[06:35:24]	Angela Aleinikova has taken 3 damage from npc_turret_floor.
[06:35:24]	Angela Aleinikova has taken 3 damage from npc_turret_floor.
[06:35:25]	Angela Aleinikova has taken 18 damage from npc_turret_floor.
[06:35:25]	Angela Aleinikova has taken 2 damage from npc_turret_floor.
[06:35:25]	Angela Aleinikova has taken 18 damage from npc_turret_floor.
[06:35:25]	Angela Aleinikova has taken 2 damage from npc_turret_floor.
[06:35:26]	Angela Aleinikova has taken 3 damage from npc_turret_floor.
[06:35:26]	Angela Aleinikova has taken 2 damage from npc_turret_floor.
[06:35:26]	Angela Aleinikova has taken 18 damage from npc_turret_floor.
[06:35:26]	Angela Aleinikova has taken 18 damage from npc_turret_floor.
[06:35:26]	npc_turret_floor has killed Angela Aleinikova.
[06:36:08]	✙HealthAngel✙ (STEAM_0:0:76323233) has disconnected.
[21:48:02]	matt saton has connected.
[21:52:30]	matt saton loaded the character 'Ryan Marnett'
[21:52:34]	Ryan Marnett has taken 2 damage from Ryan Marnett.
[21:52:46]	Ryan Marnett used command '/CharSetHunger ryan 100'.
[21:52:49]	Ryan Marnett has taken 2 damage from Ryan Marnett.
[21:52:50]	Ryan Marnett used command '/CharSetThirst ryan 100'.
[21:53:00]	Ryan Marnett entered observer.
[21:53:04]	Ryan Marnett exited observer at their location.
[21:53:04]	Ryan Marnett entered observer.
[21:53:09]	Ryan Marnett used command '/ToggleRaise'.
[21:53:11]	Ryan Marnett used command '/ToggleRaise'.
[21:53:13]	Ryan Marnett used command '/ToggleRaise'.
[21:53:15]	Ryan Marnett used command '/ToggleRaise'.
[21:53:15]	Ryan Marnett used command '/ToggleRaise'.
[21:53:16]	Ryan Marnett used command '/ToggleRaise'.
[21:53:17]	Ryan Marnett used command '/ToggleRaise'.
[21:53:19]	Ryan Marnett exited observer at their location.
[22:02:51]	Ryan Marnett entered observer.
[22:02:52]	Ryan Marnett exited observer at their location.
[22:02:54]	Ryan Marnett entered observer.
[22:03:00]	Ryan Marnett used command '/ToggleRaise'.
[22:03:01]	Ryan Marnett used command '/ToggleRaise'.
[22:03:17]	Ryan Marnett has spawned a 'Entity [3191][ix_testent3]'.
[22:03:17]	Ryan Marnett exited observer at their location.
[22:03:21]	Ryan Marnett has taken 10 damage from Ryan Marnett.
[22:03:26]	Ryan Marnett has taken 10 damage from Ryan Marnett.
[22:03:28]	Ryan Marnett entered observer.
[22:03:28]	Ryan Marnett exited observer at their location.
[22:03:28]	Ryan Marnett entered observer.
[22:03:29]	Ryan Marnett exited observer at their location.
[22:03:34]	Ryan Marnett entered observer.
[22:03:35]	Ryan Marnett exited observer at their location.
[22:03:38]	Ryan Marnett entered observer.
[22:11:36]	Ryan Marnett exited observer at their location.
[22:11:54]	Ryan Marnett has lost 10 tokens.
[22:11:54]	Ryan Marnett used command '/DropTokens 10'.
[22:11:58]	Ryan Marnett entered observer.
[22:12:00]	Ryan Marnett exited observer at their location.
[22:12:01]	Ryan Marnett has gained 10 tokens.
[22:12:24]	Ryan Marnett entered observer.
[22:12:30]	Ryan Marnett has gained 10 tokens.
