[01:28:37]	-(Blue)- has connected.
[01:34:31]	Shane Madden has gained a 'Cyclopic Citizen Suit' #35940.
[01:34:31]	Shane Madden has gained a 'Citizen Filter' #35941.
[01:34:31]	-(Blue)- created the character 'Shane Madden'
[01:34:31]	Shane Madden has gained a 'Suitcase' #35942.
[01:34:31]	Shane Madden has gained a 'Relocation Coupon' #35943.
[01:34:31]	-(Blue)- loaded the character 'Shane Madden'
[01:34:45]	Shane Madden has taken 1 damage from worldspawn.
[01:34:45]	Shane Madden has taken 1 damage from worldspawn.
[01:34:46]	Shane Madden has taken 1 damage from worldspawn.
[01:34:47]	Shane Madden has taken 1 damage from worldspawn.
[01:34:48]	Shane Madden has taken 1 damage from worldspawn.
[01:35:00]	Shane Madden ran 'drop' on item 'Citizen Filter' (#35941)
[01:35:00]	Shane Madden has lost a 'Citizen Filter' #35941.
[01:35:06]	Shane Madden has taken 1 damage from worldspawn.
[01:35:07]	Shane Madden has taken 1 damage from worldspawn.
[01:35:19]	Shane Madden ran 'Equip' on item 'Cyclopic Citizen Suit' (#35940)
[01:35:23]	Shane Madden has taken 1 damage from worldspawn.
[01:35:23]	Shane Madden has taken 1 damage from worldspawn.
[01:35:56]	Shane Madden has taken 1 damage from worldspawn.
[01:36:33]	Shane Madden has taken 1 damage from worldspawn.
[01:36:34]	Shane Madden has taken 1 damage from worldspawn.
[01:36:35]	Shane Madden has taken 1 damage from worldspawn.
[01:36:37]	Shane Madden has taken 1 damage from worldspawn.
[01:36:37]	Shane Madden has taken 1 damage from worldspawn.
[01:36:38]	Shane Madden has taken 1 damage from worldspawn.
[01:36:39]	Shane Madden has taken 1 damage from worldspawn.
[01:39:37]	[OOC] Shane Madden: Hello?
[01:39:58]	Shane Madden has taken 1 damage from worldspawn.
[01:39:59]	Shane Madden has taken 1 damage from worldspawn.
[01:41:15]	Shane Madden ran 'drop' on item 'Relocation Coupon' (#35943)
[01:41:15]	Shane Madden has lost a 'Relocation Coupon' #35943.
[01:41:19]	Shane Madden ran 'take' on item 'Relocation Coupon' (#35943)
[01:41:19]	Shane Madden has gained a 'Relocation Coupon' #35943.
[01:41:24]	Shane Madden has taken 1 damage from worldspawn.
[01:41:25]	Shane Madden has taken 1 damage from worldspawn.
[01:41:26]	Shane Madden has taken 1 damage from worldspawn.
[01:41:27]	Shane Madden has taken 1 damage from worldspawn.
[01:41:28]	Shane Madden has taken 1 damage from worldspawn.
[01:41:29]	Shane Madden has taken 1 damage from worldspawn.
[01:41:30]	Shane Madden has taken 1 damage from worldspawn.
[01:41:31]	Shane Madden has taken 1 damage from worldspawn.
[01:41:31]	Shane Madden has taken 1 damage from worldspawn.
[01:41:32]	Shane Madden has taken 1 damage from worldspawn.
[01:41:36]	Shane Madden has taken 1 damage from worldspawn.
[01:41:37]	Shane Madden has taken 1 damage from worldspawn.
[01:41:38]	Shane Madden has taken 1 damage from worldspawn.
[01:41:39]	Shane Madden has taken 1 damage from worldspawn.
[01:41:39]	Shane Madden has taken 1 damage from worldspawn.
[01:41:41]	Shane Madden has taken 1 damage from worldspawn.
[01:41:42]	Shane Madden has taken 1 damage from worldspawn.
[01:41:43]	Shane Madden has taken 1 damage from worldspawn.
[01:41:43]	Shane Madden has taken 1 damage from worldspawn.
[01:42:30]	Shane Madden used command '/Discord'.
[01:44:08]	-(Blue)- (STEAM_0:0:617208442) has disconnected.
[03:13:19]	matt saton (STEAM_0:1:53097688) has disconnected (timed out).
[12:55:39]	NamRm has connected.
[12:56:16]	NamRm loaded the character 'Aurelio Grau'
[12:56:38]	Aurelio Grau ran 'drop' on item 'Refined Electronics' (#35619)
[12:56:38]	Aurelio Grau has lost a 'Refined Electronics' #35619.
[12:56:39]	Aurelio Grau ran 'drop' on item 'Refined Electronics' (#35614)
[12:56:39]	Aurelio Grau has lost a 'Refined Electronics' #35614.
[12:56:49]	Aurelio Grau opened the 'Infestation Control Footlocker' #2984 container.
[12:57:10]	Aurelio Grau closed the 'Infestation Control Footlocker' #2984 container.
[12:57:21]	Aurelio Grau ran 'drop' on item 'Refined Electronics' (#35738)
[12:57:21]	Aurelio Grau has lost a 'Refined Electronics' #35738.
[12:57:55]	Aurelio Grau ran 'drop' on item 'Scrap Metal' (#35662)
[12:57:55]	Aurelio Grau has lost a 'Scrap Metal' #35662.
[12:58:04]	Aurelio Grau ran 'drop' on item 'Military Circuit Board' (#35689)
[12:58:04]	Aurelio Grau has lost a 'Military Circuit Board' #35689.
[12:58:07]	Aurelio Grau ran 'drop' on item 'Cables' (#35645)
[12:58:07]	Aurelio Grau has lost a 'Cables' #35645.
[12:58:08]	Aurelio Grau ran 'drop' on item 'Cables' (#35725)
[12:58:08]	Aurelio Grau has lost a 'Cables' #35725.
[12:58:10]	Aurelio Grau ran 'drop' on item 'Cloth Scrap' (#35724)
[12:58:10]	Aurelio Grau has lost a 'Cloth Scrap' #35724.
[12:58:13]	Aurelio Grau ran 'drop' on item 'Spark Plug' (#35685)
[12:58:13]	Aurelio Grau has lost a 'Spark Plug' #35685.
[12:58:17]	Aurelio Grau ran 'Use' on item 'Padlock' (#35734)
[12:58:18]	Aurelio Grau ran 'drop' on item 'Padlock' (#35734)
[12:58:18]	Aurelio Grau has lost a 'Padlock' #35734.
[12:58:19]	Aurelio Grau ran 'drop' on item 'Padlock' (#33888)
[12:58:19]	Aurelio Grau has lost a 'Padlock' #33888.
[12:58:20]	Aurelio Grau ran 'drop' on item 'Crowbar' (#35430)
[12:58:20]	Aurelio Grau has lost a 'Crowbar' #35430.
[12:58:21]	Aurelio Grau ran 'drop' on item 'Sewn Cloth' (#35688)
[12:58:21]	Aurelio Grau has lost a 'Sewn Cloth' #35688.
[12:58:22]	Aurelio Grau ran 'drop' on item 'Scrap Plastic' (#35737)
[12:58:22]	Aurelio Grau has lost a 'Scrap Plastic' #35737.
[12:58:36]	Aurelio Grau ran 'drop' on item 'Small First Aid Kit' (#35629)
[12:58:36]	Aurelio Grau has lost a 'Small First Aid Kit' #35629.
[12:58:38]	Aurelio Grau ran 'take' on item 'Small First Aid Kit' (#35629)
[12:58:38]	Aurelio Grau has gained a 'Small First Aid Kit' #35629.
[12:58:38]	Aurelio Grau opened the 'Infestation Control Footlocker' #2984 container.
[12:58:54]	Aurelio Grau closed the 'Infestation Control Footlocker' #2984 container.
[12:59:04]	Aurelio Grau ran 'EquipUn' on item 'CWU Commerce Shirt' (#24624)
[12:59:06]	Aurelio Grau opened the 'Infestation Control Footlocker' #2984 container.
[12:59:10]	Aurelio Grau closed the 'Infestation Control Footlocker' #2984 container.
[12:59:50]	Aurelio Grau has gained a 'Small Thermos' #35944.
[12:59:52]	Aurelio Grau has taken 5 damage from npc_headcrab.
[12:59:53]	Aurelio Grau has taken 5 damage from npc_headcrab.
[12:59:54]	Aurelio Grau ran 'drop' on item 'Small Thermos' (#35944)
[12:59:54]	Aurelio Grau has lost a 'Small Thermos' #35944.
[12:59:58]	Aurelio Grau ran 'Equip' on item 'Combat Knife' (#34298)
[13:00:03]	Aurelio Grau has taken 10 damage from npc_zombie.
[13:00:13]	Aurelio Grau has gained a 'Scrap Electronics' #35946.
[13:00:31]	Aurelio Grau has taken 3 damage from npc_fastzombie.
