[02:37:42]	amogus sussy has connected.
[02:39:47]	amogus sussy created the character 'john samson'
[02:39:47]	john samson has gained a 'Suitcase' #21050.
[02:39:47]	john samson has gained a 'Relocation Coupon' #21051.
[02:39:47]	john samson has gained a 'Cyclopic Citizen Suit' #21052.
[02:39:47]	john samson has gained a 'Citizen Filter' #21053.
[02:39:47]	amogus sussy loaded the character 'john samson'
[02:42:16]	john samson used command '/Content'.
[02:42:43]	john samson used command '/BecomeClass Overwatch'.
[02:43:02]	john samson used command '/BecomeClass combine'.
[02:43:14]	john samson used command '/BecomeClass union'.
[02:45:03]	john samson has taken 250 damage from trigger_hurt.
[02:45:03]	trigger_hurt has killed john samson.
[02:46:17]	john samson used command '/BecomeClass razor'.
[02:46:38]	amogus sussy (STEAM_0:0:458197605) has disconnected.
