[00:22:58]	Ollie Garner has connected.
[00:25:28]	Ollie Garner loaded the character 'Morgan Beck'
[00:25:34]	Morgan Beck entered observer.
[00:25:50]	Morgan Beck exited observer at their location.
[00:26:07]	Morgan Beck has taken 5 damage from Morgan Beck.
[00:26:07]	Morgan Beck has gained 10 tokens.
[00:26:09]	Morgan Beck entered observer.
[00:26:14]	Morgan Beck exited observer at their location.
[00:26:18]	Ollie Garner (STEAM_0:1:52892973) has disconnected.
[06:44:54]	✙HealthAngel✙ has connected.
[06:45:48]	✙HealthAngel✙ loaded the character 'Angela Aleinikova'
[06:47:08]	Angela Aleinikova opened the '' #2112 container.
[06:47:11]	Angela Aleinikova closed the '' #2112 container.
[06:52:40]	✙HealthAngel✙ (STEAM_0:0:76323233) has disconnected.
[14:39:12]	Doughnut has connected.
[14:41:15]	✙HealthAngel✙ has connected.
[14:41:57]	✙HealthAngel✙ loaded the character 'Angela Aleinikova'
[14:43:46]	Angela Aleinikova used the 'Food Vendor' vendor.
[14:44:47]	Angela Aleinikova used the 'Storage' vendor.
[14:52:31]	Doughnut loaded the character 'Klaudiusz Olszewski'
[14:52:36]	[OOC] Klaudiusz Olszewski: yo
[14:52:36]	Klaudiusz Olszewski entered observer.
[14:52:37]	Klaudiusz Olszewski exited observer at their location.
[14:52:41]	Klaudiusz Olszewski entered observer.
[14:53:37]	[OOC] Angela Aleinikova: heya
[14:53:47]	[OOC] Klaudiusz Olszewski: hows your day goin?
[14:54:02]	[OOC] Angela Aleinikova: kinda good i guess, what about you?
[14:54:09]	[OOC] Klaudiusz Olszewski: my day's been pretty ok
[14:54:43]	Klaudiusz Olszewski used command '/adminspawnmenu'.
[14:54:53]	Klaudiusz Olszewski has spawned "Box of Needles"
[14:55:08]	Klaudiusz Olszewski has spawned "Empty Chinese Takeout"
[14:55:39]	Klaudiusz Olszewski has spawned "Junk Newspaper"
[14:56:05]	[OOC] Angela Aleinikova: i hope today there will be plenty people here OwO
[14:56:08]	[OOC] Klaudiusz Olszewski: mhm
[14:56:16]	Klaudiusz Olszewski used command '/adminspawnmenu'.
[14:58:02]	Klaudiusz Olszewski has spawned "Empty Can"
[14:58:10]	Klaudiusz Olszewski has spawned "Chunk of Plastic"
[14:58:22]	[OOC] Klaudiusz Olszewski: imma put some stuff around for people to find
[14:58:43]	Klaudiusz Olszewski used command '/adminspawnmenu'.
[14:58:54]	Klaudiusz Olszewski has spawned "Sewing Kit"
[14:59:17]	Klaudiusz Olszewski has spawned "Nails"
[14:59:22]	[OOC] Angela Aleinikova: oke :D
[14:59:32]	Klaudiusz Olszewski has spawned "Copper Coil"
[14:59:32]	Klaudiusz Olszewski has spawned "Copper Coil"
[14:59:52]	[OOC] Angela Aleinikova: brb
[15:00:20]	Klaudiusz Olszewski opened the 'Reinforced Locked File Cabinet' #2242 container.
[15:00:22]	Klaudiusz Olszewski closed the 'Reinforced Locked File Cabinet' #2242 container.
[15:00:32]	Klaudiusz Olszewski exited observer at their location.
[15:00:35]	Klaudiusz Olszewski entered observer.
[15:01:14]	Klaudiusz Olszewski used command '/adminspawnmenu'.
[15:02:00]	[OOC] Angela Aleinikova: back
[15:02:22]	Klaudiusz Olszewski has spawned "Empty Glass Bottle"
[15:02:53]	Klaudiusz Olszewski opened the '' #2052 container.
[15:02:55]	Klaudiusz Olszewski closed the '' #2052 container.
[15:02:58]	Klaudiusz Olszewski opened the '' #2052 container.
[15:03:20]	Klaudiusz Olszewski closed the '' #2052 container.
[15:03:35]	Angela Aleinikova opened the '' #2112 container.
[15:03:35]	Klaudiusz Olszewski used command '/adminspawnmenu'.
[15:03:45]	Angela Aleinikova closed the '' #2112 container.
[15:04:00]	Klaudiusz Olszewski used command '/adminspawnmenu'.
[15:04:08]	Klaudiusz Olszewski has spawned "Pan"
[15:04:33]	Klaudiusz Olszewski used command '/adminspawnmenu'.
[15:04:41]	Angela Aleinikova opened the '' #1896 container.
[15:04:44]	Angela Aleinikova closed the '' #1896 container.
[15:04:49]	Angela Aleinikova opened the '' #1897 container.
[15:04:51]	Angela Aleinikova closed the '' #1897 container.
[15:05:18]	Klaudiusz Olszewski has spawned "Bandage"
[15:05:19]	Klaudiusz Olszewski has spawned "Percocet 20mg"
[15:05:37]	Klaudiusz Olszewski has spawned "Notepad"
[15:05:48]	Klaudiusz Olszewski ran 'Edit' on item 'Notepad' (#29782)
[15:07:19]	Klaudiusz Olszewski used command '/adminspawnmenu'.
[15:08:18]	Klaudiusz Olszewski has spawned "Empty Pill Bottle"
[15:08:23]	Klaudiusz Olszewski has spawned "Sturdy Needle"
[15:08:45]	Klaudiusz Olszewski has spawned "Scrap Glass"
[15:10:15]	Klaudiusz Olszewski used command '/adminspawnmenu'.
[15:10:29]	Klaudiusz Olszewski has spawned "Empty Glass Bottle"
[15:10:51]	Klaudiusz Olszewski opened the 'Smashed Open Crate' #1998 container.
[15:10:55]	Klaudiusz Olszewski closed the 'Smashed Open Crate' #1998 container.
[15:14:17]	Roachmeal has connected.
[15:14:22]	[OOC] Angela Aleinikova: :o
[15:14:56]	[OOC] Klaudiusz Olszewski: ooh more people
[15:15:30]	Roachmeal loaded the character 'Roach Shepherd'
[15:17:33]	[OOC] Klaudiusz Olszewski: howdy
[15:17:38]	[OOC] Roach Shepherd: I'M STUCK IN MY STORE.
[15:17:41]	[OOC] Roach Shepherd: AHHH, AHHHHHHH-
[15:17:45]	[OOC] Klaudiusz Olszewski: shift e on the door
[15:17:55]	[OOC] Roach Shepherd: It all makes sense now..
[15:17:56]	[OOC] Klaudiusz Olszewski: tada
[15:18:06]	[OOC] Klaudiusz Olszewski: imma be bonky boi
[15:18:08]	[OOC] Angela Aleinikova: heya Roach
[15:18:11]	Klaudiusz Olszewski exited observer at their location.
[15:18:12]	[OOC] Roach Shepherd: I need to pay 80% to the CWU Manager.
[15:18:16]	Doughnut loaded the character 'CCA.C14-JUDGE.i5.22767'
[15:18:16]	[OOC] Roach Shepherd: Hello!
[15:18:23]	[OOC] CCA.C14-JUDGE.i5.22767: bruh
[15:18:28]	[OOC] CCA.C14-JUDGE.i5.22767: 80%?
[15:18:32]	[OOC] Roach Shepherd: Bro imagine being JUDGE.
[15:18:43]	[OOC] Roach Shepherd: He said 80% goes to the big boys while I keep 20%.
[15:18:44]	[OOC] CCA.C14-JUDGE.i5.22767: imagine having to pay the CWU 80%
[15:18:48]	[OOC] Roach Shepherd: Worst part is
[15:18:57]	[OOC] Roach Shepherd: I don't have gloves that aren't fingerless.
[15:19:03]	[OOC] CCA.C14-JUDGE.i5.22767: RIP
[15:19:11]	CCA.C14-JUDGE.i5.22767 ran 'take' on item 'Civil Protection Functionary Grade Ration' (#29787)
[15:19:11]	CCA.C14-JUDGE.i5.22767 has gained a 'Civil Protection Functionary Grade Ration' #29787.
[15:19:13]	[OOC] Angela Aleinikova: Imagine not having access to the clinic on hard times *smugface*
[15:19:23]	[OOC] Roach Shepherd: Where can I donate blood?
[15:19:26]	[OOC] CCA.C14-JUDGE.i5.22767: i mean i can open the CMB
[15:19:30]	CCA.C14-JUDGE.i5.22767 ran 'take' on item 'Civil Protection Functionary Grade Ration' (#29788)
[15:19:30]	CCA.C14-JUDGE.i5.22767 has gained a 'Civil Protection Functionary Grade Ration' #29788.
[15:19:45]	CCA.C14-JUDGE.i5.22767 used command '/Radio unit 10-8'.
[15:20:03]	CCA.C14-JUDGE.i5.22767 used command '/Radio 10-8'.
[15:20:14]	[OOC] Angela Aleinikova: but do I ask everytime to open and close the clinic ...thankfully the spooky will change that :D
[15:20:36]	[OOC] CCA.C14-JUDGE.i5.22767: i am teh spoopy bonk boi
[15:20:47]	[OOC] Roach Shepherd: Imagine existing-
[15:20:57]	[OOC] CCA.C14-JUDGE.i5.22767: imagine getting a malcompliance verdict
[15:21:21]	[OOC] Roach Shepherd: Imagine being a OTA.
[15:21:28]	[OOC] Roach Shepherd: *an OTA.
[15:21:36]	[OOC] Angela Aleinikova: Imagine starting Judging people because of your callsign
[15:21:45]	[OOC] CCA.C14-JUDGE.i5.22767: im JUDGEmental
[15:21:46]	[OOC] Roach Shepherd: I feel like JUDGE are SJWs.
[15:21:54]	[OOC] Roach Shepherd: In RP.
[15:21:56]	[OOC] CCA.C14-JUDGE.i5.22767: not in the slightest
[15:21:58]	[OOC] Roach Shepherd: They just beat you for breathing.
[15:22:09]	[OOC] Angela Aleinikova: thought police
[15:22:15]	[OOC] Roach Shepherd: p o l i c e .
[15:22:34]	[OOC] CCA.C14-JUDGE.i5.22767: well that's more the job of union and shit judge sit you in a chair and harass you until you tell them what they want to know
[15:22:43]	CCA.C14-JUDGE.i5.22767 entered observer.
[15:23:03]	[OOC] CCA.C14-JUDGE.i5.22767: i think I found the blood donation station
[15:23:07]	CCA.C14-JUDGE.i5.22767 exited observer at their location.
[15:23:14]	[OOC] Roach Shepherd: W h e r e.
[15:23:15]	CCA.C14-JUDGE.i5.22767 has gained 10 tokens.
[15:23:17]	[OOC] CCA.C14-JUDGE.i5.22767: CMB
[15:24:14]	[ME] Angela Aleinikova: puts several items on floor showing to Civil Protection Unit
[15:24:18]	[LOOC] Angela Aleinikova: CPU xD
[15:24:24]	Angela Aleinikova ran 'drop' on item 'Plank' (#29702)
[15:24:24]	Angela Aleinikova has lost a 'Plank' #29702.
[15:24:27]	[LOOC] CCA.C14-JUDGE.i5.22767: i am one with the computer
[15:24:27]	Angela Aleinikova ran 'drop' on item 'Wood Scrap' (#6579)
[15:24:27]	Angela Aleinikova has lost a 'Wood Scrap' #6579.
[15:24:31]	Angela Aleinikova ran 'drop' on item 'Wood Scrap' (#6578)
[15:24:31]	Angela Aleinikova has lost a 'Wood Scrap' #6578.
[15:25:01]	Roach Shepherd has taken 5 damage from Roach Shepherd.
[15:25:01]	Roach Shepherd has gained 10 tokens.
[15:25:03]	[ME] Roach Shepherd: would put his hand in the donation thing, getting his blood extracted.
[15:25:37]	[ME] Roach Shepherd: would rub his right lower arm.
[15:25:56]	Angela Aleinikova ran 'take' on item 'Wood Scrap' (#6579)
[15:25:56]	Angela Aleinikova has gained a 'Wood Scrap' #6579.
[15:25:57]	Angela Aleinikova ran 'take' on item 'Wood Scrap' (#6578)
[15:25:57]	Angela Aleinikova has gained a 'Wood Scrap' #6578.
[15:25:59]	Angela Aleinikova ran 'take' on item 'Plank' (#29702)
[15:25:59]	Angela Aleinikova has gained a 'Plank' #29702.
[15:26:52]	[ME] Angela Aleinikova: puts several wooden pieces and pristine board on floor
[15:26:57]	Angela Aleinikova ran 'drop' on item 'Plank' (#29702)
[15:26:57]	Angela Aleinikova has lost a 'Plank' #29702.
[15:26:58]	Angela Aleinikova ran 'drop' on item 'Wood Scrap' (#6578)
[15:26:58]	Angela Aleinikova has lost a 'Wood Scrap' #6578.
[15:27:00]	Angela Aleinikova ran 'drop' on item 'Wood Scrap' (#6579)
[15:27:00]	Angela Aleinikova has lost a 'Wood Scrap' #6579.
[15:27:16]	[ME] Roach Shepherd: would pick up the wooden pieces and pristine boards on the floor, nodding.
[15:27:17]	Roach Shepherd ran 'take' on item 'Plank' (#29702)
[15:27:17]	Roach Shepherd has gained a 'Plank' #29702.
[15:27:18]	Roach Shepherd ran 'take' on item 'Wood Scrap' (#6579)
