[03:45:44]	saint200 has connected.
[03:47:08]	saint200 created the character 'Issaic Lockheart'
[03:47:08]	Issaic Lockheart has gained a 'Suitcase' #21127.
[03:47:08]	Issaic Lockheart has gained a 'Relocation Coupon' #21128.
[03:47:08]	Issaic Lockheart has gained a 'Cyclopic Citizen Suit' #21129.
[03:47:08]	Issaic Lockheart has gained a 'Citizen Filter' #21130.
[03:47:08]	saint200 loaded the character 'Issaic Lockheart'
[03:48:02]	Issaic Lockheart has taken 250 damage from trigger_hurt.
[03:48:02]	trigger_hurt has killed Issaic Lockheart.
[03:48:15]	Issaic Lockheart has taken 250 damage from trigger_hurt.
[03:48:15]	trigger_hurt has killed Issaic Lockheart.
[03:49:05]	Issaic Lockheart has taken 5 damage from Issaic Lockheart.
[03:49:05]	Issaic Lockheart has gained 10 tokens.
[03:50:14]	saint200 (STEAM_0:1:26333278) has disconnected.
