[12:59:27]	inaititojase has connected.
[13:00:51]	inaititojase (STEAM_0:1:627263974) has disconnected.
[15:09:31]	Jennider has connected.
[15:13:36]	Jennider (STEAM_0:0:44978590) has disconnected.
[15:29:39]	Jennider has connected.
[15:33:25]	Jennider created the character 'Jhonny White'
[15:33:25]	Jhonny White has gained a 'Suitcase' #21131.
[15:33:25]	Jhonny White has gained a 'Relocation Coupon' #21132.
[15:33:25]	Jhonny White has gained a 'Cyclopic Citizen Suit' #21133.
[15:33:25]	Jhonny White has gained a 'Citizen Filter' #21134.
[15:33:25]	Jennider loaded the character 'Jhonny White'
[15:33:49]	Jhonny White ran 'Equip' on item 'Cyclopic Citizen Suit' (#21133)
[15:33:51]	Jhonny White ran 'equip' on item 'Citizen Filter' (#21134)
[15:35:05]	Jhonny White used command '/Content'.
[15:35:38]	Jhonny White used command '/Content'.
[15:35:59]	Jennider (STEAM_0:0:44978590) has disconnected.
[15:40:38]	Jennider has connected.
[15:41:56]	Jennider loaded the character 'Jhonny White'
[15:45:23]	[OOC] Jhonny White: do i have to notify cp myself for importation processing??
[15:46:57]	Jennider (STEAM_0:0:44978590) has disconnected.
