[01:29:33]	BlueBox has connected.
[01:34:46]	John Roberts has gained a 'Green Citizen Suit' #37445.
[01:34:46]	John Roberts has gained a 'Citizen Filter' #37446.
[01:34:46]	BlueBox created the character 'John Roberts'
[01:34:46]	John Roberts has gained a 'Suitcase' #37447.
[01:34:46]	John Roberts has gained a 'Relocation Coupon' #37448.
[01:34:46]	BlueBox loaded the character 'John Roberts'
[01:34:51]	John Roberts has taken 1 damage from worldspawn.
[01:34:52]	John Roberts has taken 1 damage from worldspawn.
[01:34:53]	John Roberts has taken 1 damage from worldspawn.
[01:34:54]	John Roberts has taken 1 damage from worldspawn.
[01:34:54]	John Roberts has taken 1 damage from worldspawn.
[01:34:56]	John Roberts has taken 1 damage from worldspawn.
[01:34:57]	John Roberts has taken 1 damage from worldspawn.
[01:34:57]	John Roberts has taken 1 damage from worldspawn.
[01:35:13]	John Roberts ran 'Equip' on item 'Green Citizen Suit' (#37445)
[01:35:18]	John Roberts ran 'equip' on item 'Citizen Filter' (#37446)
[01:39:55]	BlueBox (STEAM_0:0:239006552) has disconnected.
[14:08:03]	Lildirtyharry04 has connected.
[14:14:02]	Richard Barley has gained a 'Cyclopic Citizen Suit' #37449.
[14:14:02]	Richard Barley has gained a 'Citizen Filter' #37450.
[14:14:02]	Lildirtyharry04 created the character 'Richard Barley'
[14:14:02]	Richard Barley has gained a 'Suitcase' #37451.
[14:14:02]	Richard Barley has gained a 'Relocation Coupon' #37452.
[14:14:03]	Lildirtyharry04 loaded the character 'Richard Barley'
[14:14:14]	Richard Barley ran 'Equip' on item 'Cyclopic Citizen Suit' (#37449)
[14:14:16]	Richard Barley ran 'equip' on item 'Citizen Filter' (#37450)
[14:14:21]	Lildirtyharry04 (STEAM_0:0:247487472) has disconnected.
[16:32:54]	wendigo has connected.
[16:33:43]	wendigo loaded the character 'Ava Carter'
[16:46:36]	Ava Carter has gained a 'Pin' #37453.
[16:46:51]	Ava Carter has gained a 'Boot' #37454.
[17:00:40]	Weaponized Turtles has connected.
[17:01:08]	Weaponized Turtles loaded the character 'CCA.C17-UNION.i5.94233'
[17:04:15]	[OOC] Ava Carter: time to harass you
[17:04:20]	[OOC] CCA.C17-UNION.i5.94233: no please
[17:06:08]	CCA.C17-UNION.i5.94233 has gained 10 tokens.
[17:07:57]	[LOOC] CCA.C17-UNION.i5.94233: Evan would be on with me but is ratio
[17:08:00]	[LOOC] CCA.C17-UNION.i5.94233: 2 citizens for every CP
[17:08:19]	[LOOC] Ava Carter: 4 citizens for  2 cp
[17:08:30]	[OOC] CCA.C17-UNION.i5.94233: mhm
[17:08:37]	[LOOC] Ava Carter: e
[17:08:40]	CCA.C17-UNION.i5.94233 used command '/Radio 10-4'.
[17:08:48]	CCA.C17-UNION.i5.94233 used command '/Radio Report in'.
[17:08:52]	CCA.C17-UNION.i5.94233 used command '/Radio Copy'.
[17:08:57]	CCA.C17-UNION.i5.94233 used command '/Radio 10-50'.
[17:09:03]	[Y] Ava Carter: See ya later!
[17:09:06]	[Y] CCA.C17-UNION.i5.94233: <:: Hmph. ::>
[17:09:19]	[OOC] CCA.C17-UNION.i5.94233: now time to patrol
[17:09:22]	[OOC] CCA.C17-UNION.i5.94233: like a union
[17:09:27]	[OOC] Ava Carter: ew
[17:09:39]	[OOC] CCA.C17-UNION.i5.94233: aka I have to do something rq
[17:09:44]	[OOC] Ava Carter: lol
[17:09:45]	Weaponized Turtles loaded the character 'Jacob Desmone'
[17:10:49]	[OOC] Jacob Desmone: I hope I don't get jumped again
[17:10:59]	[OOC] Ava Carter: too risky
[17:11:06]	[OOC] Ava Carter: maybe another time
[17:11:08]	[OOC] Ava Carter: :)
[17:18:04]	[OOC] Jacob Desmone: e vans geting on
[17:18:08]	[OOC] Ava Carter: yay
[17:22:25]	[OOC] Jacob Desmone: im back
[17:22:27]	[OOC] Jacob Desmone: there we go
[17:22:29]	Jacob Desmone ran 'EquipUn' on item 'CWU Worker Suit' (#34125)
[17:22:32]	[OOC] Jacob Desmone: dog had to be walked
[17:22:45]	[OOC] Ava Carter: nice
[17:23:07]	[OOC] Jacob Desmone: time to do citizen things
[17:24:32]	[LOOC] Jacob Desmone: happened*
[17:24:36]	Painevan has connected.
[17:25:38]	DRD has connected.
[17:27:02]	DRD loaded the character 'Major-General Sir Issac Brock KB'
[17:27:04]	Major-General Sir Issac Brock KB entered observer.
[17:27:33]	[OOC] Major-General Sir Issac Brock KB: remember
[17:27:38]	[OOC] Major-General Sir Issac Brock KB: your sins? not forgiven
[17:27:42]	[OOC] Jacob Desmone: forgive
[17:27:44]	[OOC] Jacob Desmone: and forget
[17:27:46]	[OOC] Major-General Sir Issac Brock KB: no
[17:27:50]	[OOC] Jacob Desmone: just did
[17:27:53]	[OOC] Major-General Sir Issac Brock KB: persecute, and remember
[17:28:05]	Lildirtyharry04 has connected.
[17:28:15]	Major-General Sir Issac Brock KB exited observer at their location.
[17:28:17]	Major-General Sir Issac Brock KB entered observer.
[17:28:18]	Major-General Sir Issac Brock KB exited observer at their location.
[17:28:18]	Major-General Sir Issac Brock KB entered observer.
[17:28:19]	Major-General Sir Issac Brock KB exited observer at their location.
[17:28:19]	Major-General Sir Issac Brock KB entered observer.
[17:28:19]	Major-General Sir Issac Brock KB exited observer at their location.
[17:28:20]	Major-General Sir Issac Brock KB entered observer.
[17:28:32]	Major-General Sir Issac Brock KB exited observer at their location.
[17:28:32]	Major-General Sir Issac Brock KB entered observer.
[17:28:35]	Major-General Sir Issac Brock KB exited observer at their location.
[17:28:43]	Major-General Sir Issac Brock KB entered observer.
[17:28:43]	Major-General Sir Issac Brock KB exited observer at their location.
[17:28:44]	Major-General Sir Issac Brock KB entered observer.
[17:28:44]	Major-General Sir Issac Brock KB exited observer at their location.
[17:28:45]	Major-General Sir Issac Brock KB entered observer.
[17:28:46]	Major-General Sir Issac Brock KB exited observer at their location.
[17:28:47]	Major-General Sir Issac Brock KB entered observer.
[17:28:47]	Major-General Sir Issac Brock KB exited observer at their location.
[17:28:48]	Major-General Sir Issac Brock KB entered observer.
[17:28:49]	Major-General Sir Issac Brock KB exited observer at their location.
[17:28:49]	Major-General Sir Issac Brock KB entered observer.
[17:29:00]	Major-General Sir Issac Brock KB exited observer at their location.
[17:29:00]	Major-General Sir Issac Brock KB entered observer.
[17:29:01]	Major-General Sir Issac Brock KB exited observer at their location.
[17:29:02]	Major-General Sir Issac Brock KB entered observer.
[17:29:03]	Major-General Sir Issac Brock KB exited observer at their location.
[17:29:04]	Lildirtyharry04 loaded the character 'CAC.C17-VORTIPODE.20311'
[17:29:04]	Major-General Sir Issac Brock KB entered observer.
[17:29:04]	Major-General Sir Issac Brock KB exited observer at their location.
[17:29:06]	Major-General Sir Issac Brock KB entered observer.
[17:29:13]	[OOC] Jacob Desmone: oh yea
[17:29:14]	CAC.C17-VORTIPODE.20311 used command '/PM general I have arrived'.
