[11:40:47]	Friendly Strider has connected.
[11:43:25]	Friendly Strider created the character 'Cock sucker'
[11:43:25]	Cock sucker has gained a 'Suitcase' #29863.
[11:43:25]	Cock sucker has gained a 'Relocation Coupon' #29864.
[11:43:26]	Friendly Strider loaded the character 'Cock sucker'
[11:43:55]	Cock sucker ran 'drop' on item 'Suitcase' (#29863)
[11:43:55]	Cock sucker has lost a 'Suitcase' #29863.
[11:43:57]	Cock sucker ran 'take' on item 'Suitcase' (#29863)
[11:43:57]	Cock sucker has gained a 'Suitcase' #29863.
[11:46:35]	Friendly Strider (STEAM_0:1:507832576) has disconnected.
[19:46:20]	matt saton has connected.
[19:46:23]	matt saton (STEAM_0:1:53097688) has disconnected.
[19:49:47]	matt saton has connected.
[19:52:03]	matt saton loaded the character 'Stephen Mosely'
[19:52:05]	Stephen Mosely has taken 45 damage from worldspawn.
[19:52:05]	Stephen Mosely entered observer.
[19:52:09]	Stephen Mosely exited observer at their location.
[19:52:15]	Stephen Mosely used command '/CharSetThirst mosely 100'.
[19:52:22]	Stephen Mosely used command '/CharSetHunger mos 10000'.
[19:52:25]	Stephen Mosely entered observer.
[19:52:36]	Stephen Mosely exited observer at their location.
[19:52:36]	Stephen Mosely entered observer.
[19:52:37]	Stephen Mosely exited observer at their location.
[19:52:43]	Stephen Mosely entered observer.
[19:52:44]	Stephen Mosely exited observer at their location.
[19:53:01]	Stephen Mosely has spawned a 'Entity [3193][ix_forcefield]'.
[19:53:02]	Stephen Mosely entered observer.
[19:53:02]	Stephen Mosely exited observer at their location.
[19:53:08]	Stephen Mosely has spawned a 'Entity [3193][ix_forcefield]'.
[19:53:12]	Stephen Mosely has spawned a 'Entity [3193][ix_forcefield]'.
[19:53:17]	Stephen Mosely has spawned a 'Entity [3193][ix_forcefield]'.
[19:53:22]	Stephen Mosely entered observer.
[19:53:25]	Stephen Mosely exited observer at their location.
[19:53:25]	Stephen Mosely entered observer.
[19:53:26]	Stephen Mosely exited observer at their location.
[19:53:32]	Stephen Mosely has spawned a 'Entity [3193][ix_forcefield]'.
[19:53:41]	Stephen Mosely has spawned a 'Entity [3193][ix_forcefield]'.
[19:53:41]	Stephen Mosely entered observer.
[19:53:42]	Stephen Mosely exited observer at their location.
[19:53:48]	Stephen Mosely entered observer.
[19:53:49]	Stephen Mosely exited observer at their location.
[19:53:51]	Stephen Mosely has spawned a 'Entity [3193][ix_forcefield]'.
[19:53:56]	Stephen Mosely entered observer.
[19:53:57]	Stephen Mosely exited observer at their location.
[19:54:03]	Stephen Mosely has spawned a 'Entity [3193][ix_forcefield]'.
[19:54:06]	Stephen Mosely has spawned a 'Entity [3193][ix_forcefield]'.
[19:54:07]	Stephen Mosely entered observer.
[19:54:11]	Stephen Mosely exited observer at their location.
[19:54:12]	Stephen Mosely entered observer.
[19:54:12]	Stephen Mosely exited observer at their location.
[19:54:14]	Stephen Mosely entered observer.
[19:54:16]	Stephen Mosely has spawned a 'Entity [3193][ix_forcefield]'.
[19:54:19]	Stephen Mosely exited observer at their location.
[19:54:19]	Stephen Mosely entered observer.
[19:54:21]	Stephen Mosely exited observer at their location.
[19:54:21]	Stephen Mosely entered observer.
[19:54:23]	Stephen Mosely exited observer at their location.
[19:54:26]	Stephen Mosely entered observer.
[19:54:43]	Stephen Mosely exited observer at their location.
[19:54:44]	Stephen Mosely entered observer.
[19:54:44]	Stephen Mosely exited observer at their location.
[19:57:22]	Stephen Mosely entered observer.
[19:57:23]	Stephen Mosely exited observer at their location.
[20:04:04]	2144345582 has connected.
[20:06:43]	2144345582 (STEAM_0:0:530207961) has disconnected.
[20:07:33]	dystress has connected.
[20:09:19]	dystress created the character 'Price Broadbent'
[20:09:19]	Price Broadbent has gained a 'Suitcase' #29865.
[20:09:19]	Price Broadbent has gained a 'Relocation Coupon' #29866.
[20:09:19]	dystress loaded the character 'Price Broadbent'
[20:09:36]	[OOC] Price Broadbent: hello?
[20:10:33]	dystress (STEAM_0:0:178506700) has disconnected.
[20:22:53]	Doughnut has connected.
[20:24:02]	Doughnut loaded the character 'CCA.C14-JUDGE.i5.22767'
[20:24:14]	[OOC] CCA.C14-JUDGE.i5.22767: e
[20:24:14]	CCA.C14-JUDGE.i5.22767 entered observer.
[20:24:26]	CCA.C14-JUDGE.i5.22767 exited observer at their location.
[20:24:28]	CCA.C14-JUDGE.i5.22767 entered observer.
[20:26:22]	Doughnut (STEAM_0:1:127409364) has disconnected.
[20:29:20]	matt saton (STEAM_0:1:53097688) has disconnected (timed out).
[20:32:20]	matt saton has connected.
[20:34:44]	matt saton loaded the character 'James Albright'
[20:34:46]	James Albright has taken 2 damage from James Albright.
[20:34:46]	James Albright has taken 117 damage from worldspawn.
[20:34:49]	James Albright entered observer.
[20:35:10]	matt saton loaded the character 'Stephen Mosely'
[20:35:13]	Stephen Mosely entered observer.
[20:35:14]	Stephen Mosely exited observer at their location.
[20:35:17]	Stephen Mosely entered observer.
[20:35:20]	Stephen Mosely exited observer at their location.
[20:35:21]	Stephen Mosely entered observer.
[20:35:21]	Stephen Mosely exited observer at their location.
[20:35:23]	Stephen Mosely entered observer.
[20:35:25]	Stephen Mosely exited observer at their location.
[20:35:27]	Stephen Mosely entered observer.
[20:35:27]	Stephen Mosely exited observer at their location.
[20:35:29]	Stephen Mosely entered observer.
[20:35:31]	Stephen Mosely exited observer at their location.
[20:35:32]	Stephen Mosely entered observer.
[20:35:32]	Stephen Mosely exited observer at their location.
[20:35:33]	Stephen Mosely entered observer.
[20:35:34]	Stephen Mosely exited observer at their location.
[20:35:36]	Stephen Mosely has taken 20 damage from worldspawn.
[20:35:36]	Stephen Mosely entered observer.
[20:35:40]	Stephen Mosely exited observer at their location.
[20:35:40]	Stephen Mosely entered observer.
[20:35:41]	Stephen Mosely exited observer at their location.
[20:35:43]	Stephen Mosely has taken 31 damage from worldspawn.
[20:35:43]	worldspawn has killed Stephen Mosely.
[20:35:43]	Stephen Mosely entered observer.
[20:35:48]	Stephen Mosely entered observer.
[20:35:54]	Stephen Mosely exited observer at their location.
[20:35:54]	Stephen Mosely entered observer.
[20:35:55]	Stephen Mosely exited observer at their location.
[20:35:57]	Stephen Mosely has taken 80 damage from worldspawn.
[20:35:57]	Stephen Mosely entered observer.
[20:35:58]	Stephen Mosely exited observer at their location.
[20:35:58]	Stephen Mosely entered observer.
[20:35:59]	Stephen Mosely exited observer at their location.
[20:36:01]	Stephen Mosely entered observer.
[20:36:01]	Stephen Mosely exited observer at their location.
[20:36:04]	Stephen Mosely entered observer.
[20:36:05]	Stephen Mosely exited observer at their location.
[20:36:06]	Stephen Mosely entered observer.
[20:36:08]	Stephen Mosely exited observer at their location.
[20:36:11]	Stephen Mosely entered observer.
[20:36:15]	Stephen Mosely exited observer at their location.
[20:36:16]	Stephen Mosely has taken 9 damage from worldspawn.
[20:36:16]	Stephen Mosely entered observer.
[20:36:19]	Stephen Mosely exited observer at their location.
[20:36:20]	Stephen Mosely entered observer.
[20:36:20]	Stephen Mosely exited observer at their location.
[20:36:23]	Stephen Mosely has taken 72 damage from worldspawn.
[20:36:23]	worldspawn has killed Stephen Mosely.
[20:38:01]	Stephen Mosely entered observer.
[20:38:04]	Stephen Mosely exited observer at their location.
[20:38:07]	Stephen Mosely entered observer.
[20:38:08]	Stephen Mosely exited observer at their location.
[20:38:08]	Stephen Mosely entered observer.
[20:38:09]	Stephen Mosely exited observer at their location.
[20:38:09]	Stephen Mosely entered observer.
[20:38:10]	Stephen Mosely exited observer at their location.
[20:38:13]	Stephen Mosely entered observer.
[20:38:16]	Stephen Mosely exited observer at their location.
[20:38:17]	Stephen Mosely entered observer.
[20:38:17]	Stephen Mosely exited observer at their location.
[20:38:21]	Stephen Mosely has taken 132 damage from worldspawn.
[20:38:21]	worldspawn has killed Stephen Mosely.
[20:38:21]	Stephen Mosely entered observer.
[20:38:26]	Stephen Mosely entered observer.
[20:38:29]	Stephen Mosely exited observer at their location.
[20:38:33]	Stephen Mosely entered observer.
[20:38:36]	Stephen Mosely exited observer at their location.
[20:38:39]	Stephen Mosely entered observer.
[20:38:39]	Stephen Mosely exited observer at their location.
[20:38:40]	Stephen Mosely entered observer.
[20:38:40]	Stephen Mosely exited observer at their location.
[20:38:53]	Stephen Mosely entered observer.
[20:38:54]	Stephen Mosely exited observer at their location.
[20:38:55]	Stephen Mosely entered observer.
[20:38:57]	Stephen Mosely exited observer at their location.
[20:38:58]	Stephen Mosely entered observer.
[20:42:22]	Stephen Mosely exited observer at their location.
[20:42:23]	Stephen Mosely entered observer.
[20:42:23]	Stephen Mosely exited observer at their location.
[20:42:25]	Stephen Mosely entered observer.
[20:42:25]	Stephen Mosely exited observer at their location.
[20:42:26]	Stephen Mosely entered observer.
[20:42:26]	Stephen Mosely exited observer at their location.
[20:42:29]	Stephen Mosely entered observer.
[20:42:30]	Stephen Mosely exited observer at their location.
[20:42:32]	Stephen Mosely entered observer.
[20:42:35]	Stephen Mosely exited observer at their location.
[20:42:40]	Stephen Mosely has taken 203 damage from worldspawn.
[20:42:40]	worldspawn has killed Stephen Mosely.
[20:42:46]	Stephen Mosely entered observer.
[20:42:49]	Stephen Mosely exited observer at their location.
[20:42:49]	Stephen Mosely entered observer.
[20:42:49]	Stephen Mosely exited observer at their location.
[20:42:52]	Stephen Mosely entered observer.
[20:42:53]	Stephen Mosely exited observer at their location.
[20:43:02]	Stephen Mosely entered observer.
[20:43:02]	Stephen Mosely exited observer at their location.
[20:43:05]	Stephen Mosely entered observer.
[20:43:05]	Stephen Mosely exited observer at their location.
[20:43:06]	Stephen Mosely entered observer.
[20:43:06]	Stephen Mosely exited observer at their location.
[20:43:07]	Stephen Mosely has taken 5 damage from worldspawn.
[20:43:08]	Stephen Mosely entered observer.
[20:43:08]	Stephen Mosely exited observer at their location.
[20:43:11]	Stephen Mosely has taken 109 damage from worldspawn.
[20:43:11]	Stephen Mosely entered observer.
[20:43:14]	Stephen Mosely exited observer at their location.
[20:43:20]	Stephen Mosely entered observer.
[20:43:21]	Stephen Mosely exited observer at their location.
[20:43:24]	Stephen Mosely has taken 109 damage from worldspawn.
[20:43:25]	Stephen Mosely entered observer.
[20:43:26]	Stephen Mosely exited observer at their location.
[20:43:30]	Stephen Mosely has taken 114 damage from worldspawn.
[20:43:30]	Stephen Mosely entered observer.
[20:43:31]	Stephen Mosely exited observer at their location.
[20:43:32]	Stephen Mosely entered observer.
[20:43:32]	Stephen Mosely exited observer at their location.
[20:43:35]	Stephen Mosely has taken 65 damage from worldspawn.
[20:43:35]	Stephen Mosely entered observer.
[20:43:36]	Stephen Mosely exited observer at their location.
[20:43:38]	Stephen Mosely has taken 50 damage from worldspawn.
[20:43:38]	Stephen Mosely entered observer.
[20:43:39]	Stephen Mosely exited observer at their location.
[20:43:39]	Stephen Mosely entered observer.
[20:43:39]	Stephen Mosely exited observer at their location.
[20:43:41]	Stephen Mosely has taken 18 damage from npc_turret_floor.
[20:43:41]	Stephen Mosely has taken 11 damage from worldspawn.
[20:43:41]	Stephen Mosely entered observer.
[20:43:41]	Stephen Mosely exited observer at their location.
[20:43:42]	Stephen Mosely has taken 3 damage from npc_turret_floor.
[20:43:42]	Stephen Mosely entered observer.
[20:43:43]	Stephen Mosely exited observer at their location.
[20:43:44]	Stephen Mosely has taken 3 damage from npc_turret_floor.
[20:43:44]	Stephen Mosely has taken 2 damage from npc_turret_floor.
[20:43:44]	Stephen Mosely entered observer.
[20:43:45]	Stephen Mosely exited observer at their location.
[20:43:45]	Stephen Mosely has taken 18 damage from npc_turret_floor.
[20:43:45]	Stephen Mosely has taken 3 damage from npc_turret_floor.
[20:43:46]	Stephen Mosely has taken 3 damage from npc_turret_floor.
[20:43:46]	Stephen Mosely has taken 2 damage from npc_turret_floor.
[20:43:46]	Stephen Mosely has taken 0 damage from npc_turret_floor.
[20:43:46]	Stephen Mosely has taken 2 damage from npc_turret_floor.
[20:43:46]	Stephen Mosely has taken 3 damage from npc_turret_floor.
[20:43:46]	Stephen Mosely entered observer.
[20:43:46]	Stephen Mosely exited observer at their location.
[20:43:50]	Stephen Mosely entered observer.
[20:43:50]	Stephen Mosely exited observer at their location.
[20:43:51]	Stephen Mosely entered observer.
