[03:18:23]	Bonkusgoosus has connected.
[03:19:58]	Bonkusgoosus loaded the character 'Mike Jeffry'
[03:20:56]	Bonkusgoosus (STEAM_0:1:548670989) has disconnected.
[07:47:57]	Dilly_ has connected.
[07:52:47]	Dilly_ loaded the character 'Douglas Hudson'
[07:52:57]	Dilly_ loaded the character 'CCA.C17-UNION.EpU.93347'
[07:53:08]	CCA.C17-UNION.EpU.93347 used command '/Dispatch'.
[07:53:13]	[OOC] CCA.C17-UNION.EpU.93347: yikes
[07:53:36]	CCA.C17-UNION.EpU.93347 ran 'EquipUn' on item 'XM31 OICW' (#25979)
[07:53:37]	CCA.C17-UNION.EpU.93347 ran 'Equip' on item 'XM31 OICW' (#25979)
[07:54:42]	CCA.C17-UNION.EpU.93347 ran 'drop' on item 'KIBA Arms Ammocase' (#23971)
[07:54:42]	CCA.C17-UNION.EpU.93347 has lost a 'KIBA Arms Ammocase' #23971.
[07:54:42]	CCA.C17-UNION.EpU.93347 has lost a 'Zip Tie' #23977.
[07:54:42]	CCA.C17-UNION.EpU.93347 has lost a 'Health Kit' #25974.
[07:54:42]	CCA.C17-UNION.EpU.93347 has lost a 'Flashbang' #24095.
[07:54:42]	CCA.C17-UNION.EpU.93347 has lost a 'Zip Tie' #23974.
[07:54:42]	CCA.C17-UNION.EpU.93347 has lost a 'Zip Tie' #23976.
[07:54:42]	CCA.C17-UNION.EpU.93347 has lost a 'Grenade' #25975.
[07:54:45]	CCA.C17-UNION.EpU.93347 ran 'take' on item 'KIBA Arms Ammocase' (#23971)
[07:54:45]	CCA.C17-UNION.EpU.93347 has gained a 'KIBA Arms Ammocase' #23971.
[07:54:45]	CCA.C17-UNION.EpU.93347 has gained a 'Zip Tie' #23977.
[07:54:45]	CCA.C17-UNION.EpU.93347 has gained a 'Health Kit' #25974.
[07:54:45]	CCA.C17-UNION.EpU.93347 has gained a 'Flashbang' #24095.
[07:54:45]	CCA.C17-UNION.EpU.93347 has gained a 'Zip Tie' #23974.
[07:54:45]	CCA.C17-UNION.EpU.93347 has gained a 'Zip Tie' #23976.
[07:54:45]	CCA.C17-UNION.EpU.93347 has gained a 'Grenade' #25975.
[07:55:01]	Dilly_ (STEAM_0:0:52468151) has disconnected.
[09:24:34]	agentgollem has connected.
[09:25:53]	agentgollem loaded the character 'George Wach'
[09:26:12]	agentgollem (STEAM_0:0:236606906) has disconnected.
[13:21:49]	Lildirtyharry04 has connected.
[13:22:33]	Lildirtyharry04 loaded the character 'Richard Barley'
[13:24:00]	Richard Barley ran 'Consume' on item 'Loyalist Grade Food Product (Pesto Flavor)' (#38184)
[13:24:01]	Richard Barley ran 'Consume' on item 'Flavored Consulate Water' (#38186)
[13:24:01]	Richard Barley has gained a 'Empty Flavored Consulate Water Can' #38443.
[13:24:06]	Richard Barley ran 'drop' on item 'Empty Flavored Consulate Water Can' (#38443)
[13:24:06]	Richard Barley has lost a 'Empty Flavored Consulate Water Can' #38443.
[13:24:15]	Richard Barley used the 'Shopkeeper Jim' vendor.
[13:25:31]	Lildirtyharry04 loaded the character 'Qul'jal'
[13:25:41]	Lildirtyharry04 loaded the character 'Richard Barley'
[13:25:46]	Lildirtyharry04 loaded the character 'Qul'jal'
[13:26:21]	Qul'jal ran 'View' on item 'Paper' (#33709)
[13:26:55]	Lildirtyharry04 loaded the character 'Richard Barley'
[13:27:15]	Richard Barley used command '/CharDesc'.
[13:28:48]	Richard Barley used command '/CharDesc Old man in his later years. Walks with a limp. Hair is sparse. Wears a 101st Airborne Medallion with a red cross through it. Shrapnel wounds in his right leg. '.
[13:29:33]	Richard Barley has gained a 'Empty Chinese Takeout' #38444.
[13:29:35]	Richard Barley ran 'drop' on item 'Empty Chinese Takeout' (#38444)
[13:29:35]	Richard Barley has lost a 'Empty Chinese Takeout' #38444.
[13:29:48]	Richard Barley has gained a 'Circuit Board' #38445.
[13:30:49]	Richard Barley has gained a 'Paper' #38446.
[13:30:51]	Richard Barley ran 'drop' on item 'Paper' (#38446)
[13:30:51]	Richard Barley has lost a 'Paper' #38446.
[13:30:56]	Richard Barley opened the 'Dumpster' #2736 container.
[13:30:57]	Richard Barley closed the 'Dumpster' #2736 container.
[13:31:02]	Richard Barley opened the 'Dumpster' #2549 container.
[13:31:03]	Richard Barley closed the 'Dumpster' #2549 container.
[13:31:43]	Richard Barley opened the 'Refrigerator' #2577 container.
[13:31:45]	Richard Barley closed the 'Refrigerator' #2577 container.
[13:31:46]	Richard Barley opened the 'Refrigerator' #2577 container.
[13:31:46]	Richard Barley closed the 'Refrigerator' #2577 container.
[13:31:47]	Richard Barley opened the 'Refrigerator' #2577 container.
[13:31:48]	Richard Barley closed the 'Refrigerator' #2577 container.
[13:36:07]	Weaponized Turtles has connected.
[13:36:34]	Weaponized Turtles loaded the character 'CCA.C17-UNION.i5.94233'
[13:36:45]	Weaponized Turtles loaded the character 'Jacob Desmone'
[13:36:47]	Jacob Desmone has taken 5 damage from npc_headcrab_fast.
[13:36:47]	Jacob Desmone has taken 5 damage from npc_headcrab_fast.
[13:36:49]	Jacob Desmone has taken 5 damage from npc_headcrab_fast.
[13:36:50]	Jacob Desmone has taken 5 damage from npc_headcrab_fast.
[13:36:53]	Jacob Desmone has taken 5 damage from npc_headcrab_fast.
[13:36:55]	Jacob Desmone has taken 5 damage from npc_headcrab.
[13:37:01]	Jacob Desmone has taken 5 damage from npc_headcrab_poison.
[13:37:01]	Jacob Desmone has taken 24 damage from npc_headcrab_poison.
[13:37:33]	Jacob Desmone has gained a 'Broken LCD Monitor' #38447.
[13:37:37]	Jacob Desmone ran 'drop' on item 'Broken LCD Monitor' (#38447)
[13:37:37]	Jacob Desmone has lost a 'Broken LCD Monitor' #38447.
[13:37:53]	Jacob Desmone ran 'take' on item 'Shovel' (#38323)
[13:37:57]	Jacob Desmone has gained a 'Broken Clock' #38448.
[13:37:59]	Jacob Desmone ran 'drop' on item 'Broken Clock' (#38448)
[13:37:59]	Jacob Desmone has lost a 'Broken Clock' #38448.
[13:38:12]	Jacob Desmone has gained a 'A Roll of Toilet Paper' #38450.
[13:38:14]	Jacob Desmone ran 'drop' on item 'A Roll of Toilet Paper' (#38450)
[13:38:14]	Jacob Desmone has lost a 'A Roll of Toilet Paper' #38450.
[13:38:25]	Jacob Desmone has gained a 'Scrap Plastic' #38451.
[13:38:27]	Jacob Desmone ran 'drop' on item 'Scrap Plastic' (#38451)
[13:38:27]	Jacob Desmone has lost a 'Scrap Plastic' #38451.
[13:38:53]	Jacob Desmone has gained a 'Scrap Glass' #38452.
[13:38:55]	Jacob Desmone ran 'drop' on item 'Scrap Glass' (#38452)
[13:38:55]	Jacob Desmone has lost a 'Scrap Glass' #38452.
[13:39:08]	Jacob Desmone has gained a 'Light Bulb' #38453.
[13:39:11]	Jacob Desmone ran 'drop' on item 'Light Bulb' (#38453)
[13:39:11]	Jacob Desmone has lost a 'Light Bulb' #38453.
[13:39:48]	Jacob Desmone has taken 10 damage from npc_zombie.
[13:40:26]	Jacob Desmone has gained a 'Cinderblock' #38454.
[13:40:29]	Jacob Desmone ran 'drop' on item 'Cinderblock' (#38454)
[13:40:29]	Jacob Desmone has lost a 'Cinderblock' #38454.
[13:40:32]	Jacob Desmone has taken 10 damage from npc_zombie.
[13:40:44]	Jacob Desmone has taken 5 damage from npc_headcrab.
[13:40:44]	npc_headcrab has killed Jacob Desmone.
[13:42:38]	Jacob Desmone ran 'drop' on item 'Weapon Parts' (#38427)
[13:42:38]	Jacob Desmone has lost a 'Weapon Parts' #38427.
[13:42:38]	Jacob Desmone ran 'drop' on item 'Weapon Parts' (#35880)
[13:42:38]	Jacob Desmone has lost a 'Weapon Parts' #35880.
[13:42:39]	Jacob Desmone ran 'drop' on item 'Scrap Metal' (#34541)
[13:42:39]	Jacob Desmone has lost a 'Scrap Metal' #34541.
[13:42:40]	Jacob Desmone ran 'drop' on item 'Scrap Metal' (#31314)
[13:42:40]	Jacob Desmone has lost a 'Scrap Metal' #31314.
[13:42:41]	Jacob Desmone ran 'drop' on item 'Cloth Scrap' (#38318)
[13:42:41]	Jacob Desmone has lost a 'Cloth Scrap' #38318.
[13:42:44]	Jacob Desmone ran 'drop' on item 'Charcoal' (#38428)
[13:42:44]	Jacob Desmone has lost a 'Charcoal' #38428.
[13:42:44]	Jacob Desmone ran 'drop' on item 'Charcoal' (#38429)
[13:42:44]	Jacob Desmone has lost a 'Charcoal' #38429.
[13:42:45]	Jacob Desmone ran 'drop' on item 'Weapon Parts' (#37850)
[13:42:45]	Jacob Desmone has lost a 'Weapon Parts' #37850.
[13:42:46]	Jacob Desmone ran 'drop' on item 'Electric Drill' (#37860)
[13:42:46]	Jacob Desmone has lost a 'Electric Drill' #37860.
[13:42:49]	Jacob Desmone ran 'take' on item 'Weapon Parts' (#35880)
[13:42:49]	Jacob Desmone has gained a 'Weapon Parts' #35880.
[13:42:52]	Jacob Desmone ran 'take' on item 'Weapon Parts' (#38427)
[13:42:52]	Jacob Desmone has gained a 'Weapon Parts' #38427.
[13:42:55]	Richard Barley ran 'drop' on item 'Circuit Board' (#38445)
[13:42:55]	Richard Barley has lost a 'Circuit Board' #38445.
[13:42:57]	Jacob Desmone ran 'drop' on item 'Weapon Parts' (#38427)
[13:42:57]	Jacob Desmone has lost a 'Weapon Parts' #38427.
[13:43:06]	Jacob Desmone ran 'take' on item 'Weapon Parts' (#38427)
[13:43:06]	Jacob Desmone has gained a 'Weapon Parts' #38427.
[13:43:20]	Jacob Desmone opened the 'Reinforced Padlocked Crate' #2848 container.
[13:43:26]	Jacob Desmone closed the 'Reinforced Padlocked Crate' #2848 container.
[13:43:29]	Jacob Desmone ran 'take' on item 'Electric Drill' (#37860)
[13:43:29]	Jacob Desmone has gained a 'Electric Drill' #37860.
[13:43:41]	Jacob Desmone opened the 'Reinforced Padlocked Crate' #2848 container.
[13:43:50]	Jacob Desmone closed the 'Reinforced Padlocked Crate' #2848 container.
[13:44:05]	Jacob Desmone opened the 'Padlocked Locker' #2846 container.
[13:44:12]	Jacob Desmone closed the 'Padlocked Locker' #2846 container.
[13:44:37]	Jacob Desmone ran 'take' on item 'Weapon Parts' (#37850)
[13:44:37]	Jacob Desmone has gained a 'Weapon Parts' #37850.
[13:44:38]	Jacob Desmone opened the 'Reinforced Padlocked Crate' #2848 container.
[13:44:45]	Jacob Desmone has gained a 'Scrap Wood' #35849.
[13:44:47]	Jacob Desmone closed the 'Reinforced Padlocked Crate' #2848 container.
