[16:50:30]	FB|| light ROOM has connected.
[16:50:42]	matt saton has connected.
[17:03:12]	matt saton loaded the character 'James Albright'
[17:03:20]	James Albright entered observer.
[17:09:07]	FB|| light ROOM loaded the character 'CCA.C14-UNION.EpU.72633'
[17:10:09]	James Albright exited observer at their location.
[17:10:10]	James Albright entered observer.
[17:10:11]	James Albright exited observer at their location.
[17:10:11]	James Albright entered observer.
[17:10:14]	James Albright exited observer at their location.
[17:10:21]	James Albright has taken 2 damage from James Albright.
[17:10:23]	James Albright entered observer.
[17:14:07]	CCA.C14-UNION.EpU.72633 has gained 10 tokens.
[17:19:07]	CCA.C14-UNION.EpU.72633 has gained 10 tokens.
[17:24:07]	CCA.C14-UNION.EpU.72633 has gained 10 tokens.
[17:29:07]	CCA.C14-UNION.EpU.72633 has gained 10 tokens.
[17:34:07]	CCA.C14-UNION.EpU.72633 has gained 10 tokens.
[17:39:07]	CCA.C14-UNION.EpU.72633 has gained 10 tokens.
[17:40:34]	Madeline Wuntch has connected.
[17:42:44]	Madeline Wuntch loaded the character 'CCA.C14-GRID.i2.36307'
[17:42:51]	Madeline Wuntch (STEAM_0:0:193599766) has disconnected.
[17:42:57]	[OOC] CCA.C14-UNION.EpU.72633: F
[17:43:03]	James Albright exited observer at their location.
[17:43:05]	James Albright entered observer.
[17:43:05]	James Albright exited observer at their location.
[17:43:10]	James Albright has taken 2 damage from James Albright.
[17:43:11]	[OOC] CCA.C14-UNION.EpU.72633: Should get on QrM for a moment
[17:43:17]	[OOC] CCA.C14-UNION.EpU.72633: Or just give me the shit IC
[17:43:25]	James Albright has taken 2 damage from James Albright.
[17:43:40]	James Albright has taken 2 damage from James Albright.
[17:43:55]	James Albright has taken 2 damage from James Albright.
[17:44:07]	CCA.C14-UNION.EpU.72633 has gained 10 tokens.
[17:44:10]	James Albright has taken 2 damage from James Albright.
[17:44:25]	James Albright has taken 2 damage from James Albright.
[17:44:38]	[OOC] CCA.C14-UNION.EpU.72633: Cringe
[17:44:40]	James Albright has taken 2 damage from James Albright.
[17:44:56]	James Albright has taken 2 damage from James Albright.
[17:45:11]	James Albright has taken 2 damage from James Albright.
[17:45:24]	[OOC] CCA.C14-UNION.EpU.72633: Know whats amazing?
[17:45:26]	James Albright has taken 2 damage from James Albright.
[17:45:41]	James Albright has taken 2 damage from James Albright.
[17:45:56]	James Albright has taken 2 damage from James Albright.
[17:45:58]	[OOC] CCA.C14-UNION.EpU.72633: Doughnuts unit locked up Dustin after recognizing him and asking him about the SeC.
[17:46:08]	[OOC] CCA.C14-UNION.EpU.72633: That was abridged, but I love it.
[17:46:11]	James Albright has taken 2 damage from James Albright.
[17:46:26]	James Albright has taken 2 damage from James Albright.
[17:46:41]	James Albright has taken 2 damage from James Albright.
[17:46:56]	James Albright has taken 2 damage from James Albright.
[17:47:11]	James Albright has taken 2 damage from James Albright.
[17:47:26]	James Albright has taken 2 damage from James Albright.
[17:47:41]	James Albright has taken 2 damage from James Albright.
[17:47:56]	James Albright has taken 2 damage from James Albright.
[17:48:11]	James Albright has taken 2 damage from James Albright.
[17:48:26]	James Albright has taken 2 damage from James Albright.
[17:48:41]	James Albright has taken 2 damage from James Albright.
[17:48:56]	James Albright has taken 2 damage from James Albright.
