[00:00:01]	[LOOC] CCA.C17-UNION.i5.83253: ffs...
[00:00:09]	[LOOC] Jacob Williams: it'll take 2 years to come back up.
[00:00:12]	[LOOC] CCA.C17-UNION.i5.83253: third time...
[00:00:57]	[ME] CCA.C17-UNION.i5.83253: Would slam the man against the wall ahead of him
[00:01:18]	Jacob Williams has taken 6 damage from CCA.C17-UNION.i5.83253.
[00:01:19]	Jacob Williams has taken 6 damage from CCA.C17-UNION.i5.83253.
[00:01:33]	[ME] CCA.C17-UNION.i5.83253: Would grab the man by the arm again, yanking him alongside himself
[00:01:57]	[ME] CCA.C17-UNION.i5.83253: Shoves the man into the cell
[00:02:12]	CCA.C17-UNION.i5.83253 used command '/ViewData Jacob'.
[00:02:26]	[LOOC] Jacob Williams: was waiting for you to search me if I'm honest.
[00:03:25]	CCA.C17-UNION.i5.83253 has gained 10 tokens.
[00:03:48]	CCA.C17-UNION.i5.83253 used command '/ActLean'.
[00:03:58]	CCA.C17-UNION.i5.83253 used command '/ExitAct'.
[00:04:04]	CCA.C17-UNION.i5.83253 entered observer.
[00:04:16]	CCA.C17-UNION.i5.83253 used command '/CharGiveItem Union zipties'.
[00:04:19]	CCA.C17-UNION.i5.83253 has gained a 'Zip Tie' #39981.
[00:04:19]	CCA.C17-UNION.i5.83253 used command '/CharGiveItem Union zip'.
[00:04:25]	CCA.C17-UNION.i5.83253 has gained a 'Zip Tie' #39982.
[00:04:25]	CCA.C17-UNION.i5.83253 used command '/CharGiveItem Union zip'.
[00:04:25]	CCA.C17-UNION.i5.83253 has gained a 'Zip Tie' #39983.
[00:04:25]	CCA.C17-UNION.i5.83253 used command '/CharGiveItem Union zip'.
[00:04:33]	CCA.C17-UNION.i5.83253 has gained a '9mm Pistol Magazine' #39984.
[00:04:33]	CCA.C17-UNION.i5.83253 used command '/CharGiveItem Union 9mm pistol'.
[00:04:36]	CCA.C17-UNION.i5.83253 has gained a '9mm Pistol Magazine' #39985.
[00:04:36]	CCA.C17-UNION.i5.83253 used command '/CharGiveItem Union 9mm pistol'.
[00:04:40]	CCA.C17-UNION.i5.83253 exited observer at their location.
[00:04:43]	CCA.C17-UNION.i5.83253 ran 'use' on item '9mm Pistol Magazine' (#39985)
[00:04:45]	CCA.C17-UNION.i5.83253 entered observer.
[00:06:20]	CCA.C17-UNION.i5.83253 used command '/ViewData jacob'.
[00:06:57]	CCA.C17-UNION.i5.83253 used command '/ViewData Union'.
[00:07:15]	[OOC] Jacob Williams: what region is this server based in?
[00:07:23]	[OOC] CCA.C17-UNION.i5.83253: U.S.A I believe
[00:07:25]	CCA.C17-UNION.i5.83253 exited observer at their location.
[00:07:29]	[OOC] Jacob Williams: Thought so
[00:07:42]	CCA.C17-UNION.i5.83253 entered observer.
