[12:50:47]	CYBER WOLF 1468 has connected.
[12:54:47]	CYBER WOLF 1468 created the character 'Craig Breadington'
[12:54:47]	Craig Breadington has gained a 'Suitcase' #21141.
[12:54:47]	Craig Breadington has gained a 'Relocation Coupon' #21142.
[12:54:47]	Craig Breadington has gained a 'Green Citizen Suit' #21143.
[12:54:47]	Craig Breadington has gained a 'Citizen Filter' #21144.
[12:54:47]	CYBER WOLF 1468 loaded the character 'Craig Breadington'
[12:55:29]	Craig Breadington has taken 250 damage from trigger_hurt.
[12:55:29]	trigger_hurt has killed Craig Breadington.
[12:55:42]	Craig Breadington has taken 250 damage from trigger_hurt.
[12:55:42]	trigger_hurt has killed Craig Breadington.
[12:57:27]	CYBER WOLF 1468 (STEAM_0:1:444817604) has disconnected.
