[21:50:20]	Dead Maggie has connected.
[22:00:40]	Dead Maggie created the character 'Dead Maggie'
[22:00:40]	Dead Maggie has gained a 'Suitcase' #21148.
[22:00:40]	Dead Maggie has gained a 'Relocation Coupon' #21149.
[22:00:40]	Dead Maggie has gained a 'Cyclopic Citizen Suit' #21150.
[22:00:40]	Dead Maggie has gained a 'Citizen Filter' #21151.
[22:00:40]	Dead Maggie loaded the character 'Dead Maggie'
[22:01:12]	Dead Maggie used command '/Content'.
[22:01:25]	Pang has connected.
[22:01:39]	[ME] Dead Maggie: Salutes
[22:02:12]	Dead Maggie rolled 92 out of 100.
[22:02:12]	Dead Maggie used command '/Roll'.
[22:02:26]	Pang (STEAM_0:1:534723608) has disconnected.
[22:07:31]	Dead Maggie has taken 5 damage from Dead Maggie.
[22:07:31]	Dead Maggie has gained 10 tokens.
[22:10:35]	Dead Maggie (STEAM_0:1:20712515) has disconnected.
[23:29:43]	Pang has connected.
[23:34:10]	Pang (STEAM_0:1:534723608) has disconnected.
