[17:14:31]	LVchimp101 has connected.
[17:17:53]	LVchimp101 (STEAM_0:0:11090109) has disconnected.
[22:41:09]	Tundra has connected.
[22:42:01]	Tundra loaded the character 'Aletta Brandy'
[22:42:50]	Aletta Brandy opened the '' #1242 container.
[22:42:50]	Aletta Brandy closed the '' #1242 container.
[22:42:51]	Aletta Brandy opened the '' #1242 container.
[22:42:53]	Aletta Brandy closed the '' #1242 container.
[22:42:53]	Aletta Brandy opened the '' #1240 container.
[22:42:55]	Aletta Brandy closed the '' #1240 container.
[22:49:26]	Aletta Brandy used the 'Street Market' vendor.
[22:49:47]	Aletta Brandy opened the '' #1895 container.
[22:49:49]	Aletta Brandy closed the '' #1895 container.
[22:50:45]	Aletta Brandy used command '/CharDesc'.
[22:53:16]	Aletta Brandy used command '/CharDesc A young woman with brown hair and blue eyes standing around five feet and two inches tall. Her outfit consists of the standard blue citizen uniform with worn work boots.'.
[22:53:19]	Aletta Brandy used command '/CharDesc'.
[22:53:59]	Aletta Brandy used command '/CharDesc A young woman with brown hair and blue eyes standing around five feet and two inches tall. Her outfit consists of the standard blue citizen uniform with worn work boots.'.
[22:54:30]	Aletta Brandy opened the '' #1341 container.
[22:54:32]	Aletta Brandy closed the '' #1341 container.
[22:54:35]	Aletta Brandy opened the '' #1341 container.
[22:54:35]	Aletta Brandy closed the '' #1341 container.
[22:54:39]	Aletta Brandy used the 'Resin Terminal' vendor.
[22:54:48]	Aletta Brandy opened the '' #1340 container.
[22:54:50]	Aletta Brandy closed the '' #1340 container.
[22:55:00]	Aletta Brandy ran 'View' on item 'Paper' (#20836)
[22:55:10]	Aletta Brandy opened the '' #966 container.
[22:55:12]	Aletta Brandy closed the '' #966 container.
[22:56:09]	Aletta Brandy ran 'EquipUn' on item 'Respirator' (#20894)
[22:56:10]	Aletta Brandy ran 'Equip' on item 'Respirator' (#20894)
[22:57:13]	Aletta Brandy ran 'EquipUn' on item 'Respirator' (#20894)
[22:57:13]	Aletta Brandy ran 'Equip' on item 'Respirator' (#20894)
[22:57:24]	Aletta Brandy opened the '' #1540 container.
[22:57:25]	Aletta Brandy closed the '' #1540 container.
[22:57:47]	Aletta Brandy opened the '' #2038 container.
[22:57:49]	Aletta Brandy closed the '' #2038 container.
[22:57:54]	Aletta Brandy ran 'take' on item 'Screw Nuts' (#21072)
[22:57:54]	Aletta Brandy has gained a 'Screw Nuts' #21072.
[22:57:58]	Aletta Brandy ran 'take' on item 'Documents Case' (#21074)
[22:57:58]	Aletta Brandy has gained a 'Documents Case' #21074.
[22:58:08]	Aletta Brandy opened the '' #2034 container.
[22:58:10]	Aletta Brandy closed the '' #2034 container.
[22:58:10]	Aletta Brandy opened the '' #1079 container.
[22:58:12]	Aletta Brandy closed the '' #1079 container.
[22:58:13]	Aletta Brandy opened the '' #2037 container.
[22:58:15]	Aletta Brandy closed the '' #2037 container.
[22:58:15]	Aletta Brandy opened the '' #2036 container.
[22:58:17]	Aletta Brandy closed the '' #2036 container.
[22:58:17]	Aletta Brandy opened the '' #2035 container.
[22:58:19]	Aletta Brandy closed the '' #2035 container.
[22:58:20]	Aletta Brandy opened the '' #2038 container.
[22:58:21]	Aletta Brandy closed the '' #2038 container.
[22:58:22]	Aletta Brandy opened the '' #1041 container.
[22:58:23]	Aletta Brandy closed the '' #1041 container.
[22:58:30]	Aletta Brandy ran 'take' on item 'Pliers' (#21076)
[22:58:30]	Aletta Brandy has gained a 'Pliers' #21076.
[22:58:32]	Aletta Brandy ran 'take' on item 'Radiator Helix' (#21080)
[22:58:32]	Aletta Brandy has gained a 'Radiator Helix' #21080.
[22:58:33]	Aletta Brandy ran 'take' on item 'Scrap Electronics' (#21090)
[22:58:33]	Aletta Brandy has gained a 'Scrap Electronics' #21090.
[22:58:34]	Aletta Brandy ran 'take' on item 'Circuit Board' (#21087)
[22:58:34]	Aletta Brandy has gained a 'Circuit Board' #21087.
[22:58:35]	Aletta Brandy ran 'take' on item 'Circuit Board' (#21086)
[22:58:35]	Aletta Brandy has gained a 'Circuit Board' #21086.
[22:58:48]	Aletta Brandy ran 'take' on item 'Screwdriver' (#21075)
[22:58:48]	Aletta Brandy has gained a 'Screwdriver' #21075.
[22:58:52]	Aletta Brandy ran 'take' on item 'Silicone Tube' (#21073)
[22:58:52]	Aletta Brandy has gained a 'Silicone Tube' #21073.
[22:58:55]	Aletta Brandy ran 'take' on item 'Car Battery' (#21071)
[22:58:55]	Aletta Brandy has gained a 'Car Battery' #21071.
[22:58:59]	Aletta Brandy ran 'take' on item 'Motor Controller' (#21083)
[22:58:59]	Aletta Brandy has gained a 'Motor Controller' #21083.
[22:59:00]	Aletta Brandy ran 'take' on item 'Graphics Card' (#21089)
[22:59:00]	Aletta Brandy has gained a 'Graphics Card' #21089.
[22:59:06]	Aletta Brandy ran 'take' on item 'Graphics Card' (#21088)
[22:59:06]	Aletta Brandy has gained a 'Graphics Card' #21088.
[22:59:12]	Aletta Brandy ran 'take' on item 'Wrench' (#21077)
[22:59:12]	Aletta Brandy has gained a 'Wrench' #21077.
[22:59:18]	Aletta Brandy ran 'Equip' on item 'Wrench' (#21077)
[22:59:29]	Aletta Brandy ran 'EquipUn' on item 'Wrench' (#21077)
[22:59:36]	Aletta Brandy ran 'take' on item 'Electric Motor' (#21082)
[22:59:36]	Aletta Brandy has gained a 'Electric Motor' #21082.
[23:00:35]	Aletta Brandy ran 'Equip' on item 'Cyclopic Citizen Suit' (#20892)
[23:00:40]	Aletta Brandy ran 'EquipUn' on item 'Cyclopic Citizen Suit' (#20892)
[23:00:45]	Aletta Brandy used command '/DoorBuy'.
[23:01:09]	Aletta Brandy ran 'take' on item 'Pipe' (#21104)
[23:01:15]	Aletta Brandy ran 'take' on item 'Pipe' (#21104)
[23:01:15]	Aletta Brandy has gained a 'Pipe' #21104.
[23:01:19]	Aletta Brandy ran 'Equip' on item 'Pipe' (#21104)
[23:01:31]	Aletta Brandy ran 'take' on item 'Shovel' (#21113)
[23:01:34]	Aletta Brandy ran 'EquipUn' on item 'Pipe' (#21104)
[23:01:35]	Aletta Brandy ran 'drop' on item 'Pipe' (#21104)
[23:01:35]	Aletta Brandy has lost a 'Pipe' #21104.
[23:01:36]	Aletta Brandy ran 'take' on item 'Shovel' (#21113)
[23:01:36]	Aletta Brandy has gained a 'Shovel' #21113.
[23:01:38]	Aletta Brandy ran 'Equip' on item 'Shovel' (#21113)
[23:01:53]	Aletta Brandy ran 'drop' on item 'Scrap Electronics' (#21090)
[23:01:53]	Aletta Brandy has lost a 'Scrap Electronics' #21090.
[23:01:59]	Aletta Brandy ran 'drop' on item 'Silicone Tube' (#21073)
[23:01:59]	Aletta Brandy has lost a 'Silicone Tube' #21073.
[23:02:02]	Aletta Brandy ran 'take' on item 'Pipe' (#21104)
[23:02:02]	Aletta Brandy has gained a 'Pipe' #21104.
[23:02:18]	Aletta Brandy opened the '' #969 container.
[23:02:19]	Aletta Brandy closed the '' #969 container.
[23:02:51]	Aletta Brandy ran 'EquipUn' on item 'Shovel' (#21113)
[23:03:03]	Aletta Brandy ran 'take' on item 'Shovel' (#21114)
[23:03:08]	Aletta Brandy ran 'drop' on item 'Shovel' (#21113)
