[05:57:53]	MegamanNick has connected.
[05:58:53]	MegamanNick loaded the character 'Edward Baxter'
[06:05:10]	MegamanNick (STEAM_0:0:57345191) has disconnected.
[11:32:37]	FB|| light ROOM has connected.
[11:35:22]	FB|| light ROOM loaded the character 'Theban 'Simmons' Revolt'
[11:37:52]	Theban 'Simmons' Revolt ran 'Equip' on item 'Combine Hazmat Worker Suit' (#35445)
[11:38:06]	Theban 'Simmons' Revolt ran 'EquipUn' on item 'Combine Hazmat Worker Suit' (#35445)
[11:44:47]	Theban 'Simmons' Revolt ran 'EquipUn' on item 'Handcannon' (#35433)
[11:44:52]	Theban 'Simmons' Revolt ran 'drop' on item 'Handcannon' (#35433)
[11:44:52]	Theban 'Simmons' Revolt has lost a 'Handcannon' #35433.
[11:44:53]	Theban 'Simmons' Revolt ran 'drop' on item 'Handcannon' (#35446)
[11:44:53]	Theban 'Simmons' Revolt has lost a 'Handcannon' #35446.
[11:44:58]	Theban 'Simmons' Revolt ran 'drop' on item 'Gunpowder' (#35444)
[11:44:58]	Theban 'Simmons' Revolt has lost a 'Gunpowder' #35444.
[11:44:58]	Theban 'Simmons' Revolt ran 'drop' on item 'Gunpowder' (#35428)
[11:44:58]	Theban 'Simmons' Revolt has lost a 'Gunpowder' #35428.
[11:44:59]	Theban 'Simmons' Revolt ran 'drop' on item 'Gunpowder' (#35426)
[11:44:59]	Theban 'Simmons' Revolt has lost a 'Gunpowder' #35426.
[11:58:51]	Mr. Chief has connected.
[12:02:24]	Mr. Chief loaded the character 'Klaus Ludwig'
[12:03:27]	Klaus Ludwig ran 'take' on item 'Suitcase' (#35451)
[12:04:07]	Klaus Ludwig ran 'drop' on item 'Scrap Metal' (#34357)
[12:04:07]	Klaus Ludwig has lost a 'Scrap Metal' #34357.
[12:04:08]	Klaus Ludwig ran 'drop' on item 'Scrap Metal' (#34366)
[12:04:08]	Klaus Ludwig has lost a 'Scrap Metal' #34366.
[12:04:08]	Klaus Ludwig ran 'drop' on item 'Scrap Metal' (#34367)
[12:04:08]	Klaus Ludwig has lost a 'Scrap Metal' #34367.
[12:04:09]	Klaus Ludwig ran 'drop' on item 'Scrap Metal' (#34368)
[12:04:09]	Klaus Ludwig has lost a 'Scrap Metal' #34368.
[12:04:09]	Klaus Ludwig ran 'drop' on item 'Scrap Metal' (#34358)
[12:04:09]	Klaus Ludwig has lost a 'Scrap Metal' #34358.
[12:04:10]	Klaus Ludwig ran 'drop' on item 'Scrap Metal' (#34359)
[12:04:10]	Klaus Ludwig has lost a 'Scrap Metal' #34359.
[12:04:11]	Klaus Ludwig ran 'drop' on item 'Scrap Metal' (#34362)
[12:04:11]	Klaus Ludwig has lost a 'Scrap Metal' #34362.
[12:04:11]	Klaus Ludwig ran 'drop' on item 'Scrap Metal' (#34361)
[12:04:11]	Klaus Ludwig has lost a 'Scrap Metal' #34361.
[12:04:12]	Klaus Ludwig ran 'drop' on item 'Scrap Metal' (#34360)
[12:04:12]	Klaus Ludwig has lost a 'Scrap Metal' #34360.
[12:04:13]	Klaus Ludwig ran 'drop' on item 'Scrap Metal' (#34363)
[12:04:13]	Klaus Ludwig has lost a 'Scrap Metal' #34363.
[12:04:13]	Klaus Ludwig ran 'drop' on item 'Scrap Metal' (#34365)
[12:04:13]	Klaus Ludwig has lost a 'Scrap Metal' #34365.
[12:04:14]	Klaus Ludwig ran 'drop' on item 'Scrap Metal' (#34364)
[12:04:14]	Klaus Ludwig has lost a 'Scrap Metal' #34364.
[12:04:19]	Klaus Ludwig ran 'drop' on item 'Blacksmith Tongs' (#31377)
[12:04:19]	Klaus Ludwig has lost a 'Blacksmith Tongs' #31377.
[12:04:29]	Klaus Ludwig ran 'take' on item 'Chainlet' (#35417)
[12:04:29]	Klaus Ludwig has gained a 'Chainlet' #35417.
[12:04:32]	Klaus Ludwig ran 'drop' on item 'Chainlet' (#35417)
[12:04:32]	Klaus Ludwig has lost a 'Chainlet' #35417.
[12:04:41]	Klaus Ludwig destroyed a 'Roubles' #35414.
[12:04:45]	Klaus Ludwig destroyed a 'A Roll of Toilet Paper' #30951.
[12:05:42]	Chicken has connected.
[12:07:22]	Chicken loaded the character 'Achille 'Tucker' Tristram'
[12:07:36]	Theban 'Simmons' Revolt opened the '' #1613 container.
[12:07:38]	Theban 'Simmons' Revolt closed the '' #1613 container.
[12:07:39]	Theban 'Simmons' Revolt opened the '' #1618 container.
[12:07:41]	Theban 'Simmons' Revolt closed the '' #1618 container.
[12:07:42]	Theban 'Simmons' Revolt opened the '' #1616 container.
[12:07:44]	Theban 'Simmons' Revolt closed the '' #1616 container.
[12:09:02]	Achille 'Tucker' Tristram ran 'Consume' on item 'UU-Brand Bread' (#33162)
[12:09:07]	Achille 'Tucker' Tristram has taken 6 damage from Klaus Ludwig.
[12:09:07]	Klaus Ludwig has killed Achille 'Tucker' Tristram with ix_hands.
[12:10:37]	Achille 'Tucker' Tristram has taken 5 damage from Achille 'Tucker' Tristram.
[12:10:37]	Achille 'Tucker' Tristram has gained 10 tokens.
[12:11:58]	FB|| light ROOM loaded the character 'Theban 'Simmons' Revolt'
[12:12:50]	Achille 'Tucker' Tristram destroyed a 'Citizen ID' #31082.
[12:13:36]	FB|| light ROOM loaded the character 'Theban 'Simmons' Revolt'
[12:13:58]	Chicken loaded the character 'CAC.C14-CRM.50539'
[12:14:04]	Mr. Chief loaded the character 'CCA.C17-JUDGE.OfC.91412'
[12:14:25]	Dilly_ has connected.
[12:14:25]	FB|| light ROOM loaded the character 'Theban 'Simmons' Revolt'
[12:14:34]	CCA.C17-JUDGE.OfC.91412 used command '/ViewData simm'.
[12:14:40]	FB|| light ROOM loaded the character 'Theban 'Simmons' Revolt'
[12:15:06]	Chicken (STEAM_0:0:143523274) has disconnected.
[12:15:09]	CCA.C17-JUDGE.OfC.91412 used command '/ViewData revol'.
[12:15:14]	Dilly_ loaded the character 'Douglas Hudson'
[12:15:42]	FB|| light ROOM (STEAM_0:1:17219621) deleted character 'Theban 'Simmons' Revolt'
[12:15:57]	Douglas Hudson used the 'Paper Stash' vendor.
[12:16:02]	Douglas Hudson used the 'Paper Stash' vendor.
[12:16:04]	Douglas Hudson has lost 2 tokens.
[12:16:04]	Douglas Hudson has gained a 'Notepad' #35452.
[12:16:27]	CCA.C17-JUDGE.OfC.91412 used command '/ViewData simm'.
[12:16:39]	Theban 'Simmons' Revolt ran 'Equip' on item 'Combine Hazmat Worker Suit' (#35445)
[12:16:46]	Theban 'Simmons' Revolt ran 'EquipUn' on item 'Combine Hazmat Worker Suit' (#35445)
[12:17:31]	Theban 'Simmons' Revolt ran 'drop' on item 'Relocation Coupon' (#35422)
[12:17:31]	Theban 'Simmons' Revolt has lost a 'Relocation Coupon' #35422.
[12:17:33]	CCA.C17-JUDGE.OfC.91412 ran 'take' on item 'Relocation Coupon' (#35422)
[12:17:33]	CCA.C17-JUDGE.OfC.91412 has gained a 'Relocation Coupon' #35422.
[12:18:00]	CCA.C17-JUDGE.OfC.91412 opened the '' #2366 container.
[12:18:08]	CCA.C17-JUDGE.OfC.91412 closed the '' #2366 container.
[12:18:09]	CCA.C17-JUDGE.OfC.91412 opened the '' #2481 container.
[12:18:11]	CCA.C17-JUDGE.OfC.91412 closed the '' #2481 container.
[12:18:12]	CCA.C17-JUDGE.OfC.91412 opened the '' #2482 container.
[12:18:14]	CCA.C17-JUDGE.OfC.91412 closed the '' #2482 container.
[12:18:17]	CCA.C17-JUDGE.OfC.91412 ran 'take' on item 'Citizen ID' (#35453)
[12:18:17]	CCA.C17-JUDGE.OfC.91412 has gained a 'Citizen ID' #35453.
[12:18:18]	CCA.C17-JUDGE.OfC.91412 ran 'drop' on item 'Relocation Coupon' (#35422)
[12:18:18]	CCA.C17-JUDGE.OfC.91412 has lost a 'Relocation Coupon' #35422.
[12:18:20]	CCA.C17-JUDGE.OfC.91412 destroyed a 'Relocation Coupon' #35422.
[12:18:36]	[OOC] Theban 'Simmons' Revolt: Oh shit, wb Douglas.
