[02:45:31]	Cotton has connected.
[02:53:40]	Cotton created the character 'Vivienne Stokes'
[02:53:40]	Vivienne Stokes has gained a 'Suitcase' #21193.
[02:53:40]	Vivienne Stokes has gained a 'Relocation Coupon' #21194.
[02:53:40]	Vivienne Stokes has gained a 'Cyclopic Citizen Suit' #21195.
[02:53:40]	Vivienne Stokes has gained a 'Citizen Filter' #21196.
[02:53:41]	Cotton loaded the character 'Vivienne Stokes'
[02:54:03]	Vivienne Stokes ran 'Equip' on item 'Cyclopic Citizen Suit' (#21195)
[02:54:04]	Vivienne Stokes ran 'equip' on item 'Citizen Filter' (#21196)
[02:54:28]	Vivienne Stokes used command '/BecomeClass 13'.
[02:55:47]	Vivienne Stokes has taken 5 damage from Vivienne Stokes.
[02:55:47]	Vivienne Stokes has gained 10 tokens.
[02:59:10]	Vivienne Stokes used command '/Content'.
[03:09:43]	Vivienne Stokes ran 'EquipUn' on item 'Cyclopic Citizen Suit' (#21195)
[03:14:25]	Cotton (STEAM_0:1:87309291) has disconnected.
[15:55:38]	Tundra has connected.
[15:56:03]	Tundra loaded the character 'Aletta Brandy'
[15:56:59]	Aletta Brandy ran 'take' on item 'Duct Tape' (#1873)
[15:56:59]	Aletta Brandy has gained a 'Duct Tape' #1873.
[15:57:03]	Aletta Brandy ran 'take' on item 'Graphics Card' (#21089)
[15:57:03]	Aletta Brandy has gained a 'Graphics Card' #21089.
[15:57:06]	Aletta Brandy ran 'take' on item 'Graphics Card' (#21088)
[15:57:06]	Aletta Brandy has gained a 'Graphics Card' #21088.
[15:57:09]	Aletta Brandy ran 'drop' on item 'Graphics Card' (#21088)
[15:57:09]	Aletta Brandy has lost a 'Graphics Card' #21088.
[15:57:09]	Aletta Brandy ran 'drop' on item 'Graphics Card' (#21089)
[15:57:09]	Aletta Brandy has lost a 'Graphics Card' #21089.
[15:57:22]	Aletta Brandy ran 'take' on item 'Duct Tape' (#10798)
[15:57:22]	Aletta Brandy has gained a 'Duct Tape' #10798.
[16:02:26]	Aletta Brandy ran 'take' on item 'Screwdriver' (#21075)
[16:02:26]	Aletta Brandy has gained a 'Screwdriver' #21075.
[16:02:27]	Aletta Brandy ran 'take' on item 'Pliers' (#21076)
[16:02:27]	Aletta Brandy has gained a 'Pliers' #21076.
[16:02:35]	Aletta Brandy ran 'take' on item 'Wires' (#21188)
[16:02:35]	Aletta Brandy has gained a 'Wires' #21188.
[16:02:52]	Aletta Brandy ran 'take' on item 'Powercord' (#21169)
[16:02:52]	Aletta Brandy has gained a 'Powercord' #21169.
[16:02:53]	Aletta Brandy ran 'take' on item 'AA Battery' (#21162)
[16:02:53]	Aletta Brandy has gained a 'AA Battery' #21162.
[16:02:55]	Aletta Brandy ran 'take' on item 'AA Battery' (#21069)
[16:02:55]	Aletta Brandy has gained a 'AA Battery' #21069.
[16:02:56]	Aletta Brandy ran 'take' on item 'AA Battery' (#14582)
[16:02:56]	Aletta Brandy has gained a 'AA Battery' #14582.
[16:03:01]	Aletta Brandy ran 'take' on item 'AA Battery' (#15439)
[16:03:01]	Aletta Brandy has gained a 'AA Battery' #15439.
[16:03:03]	Aletta Brandy ran 'take' on item 'AA Battery' (#16634)
[16:03:03]	Aletta Brandy has gained a 'AA Battery' #16634.
[16:03:05]	Aletta Brandy ran 'take' on item 'AA Battery' (#20315)
[16:03:05]	Aletta Brandy has gained a 'AA Battery' #20315.
[16:03:06]	Aletta Brandy ran 'take' on item 'AA Battery' (#20193)
[16:03:06]	Aletta Brandy has gained a 'AA Battery' #20193.
[16:03:39]	Aletta Brandy ran 'take' on item 'Pack of Nails' (#21161)
[16:03:39]	Aletta Brandy has gained a 'Pack of Nails' #21161.
[16:03:40]	Aletta Brandy ran 'take' on item 'Pack of Nails' (#21067)
[16:03:40]	Aletta Brandy has gained a 'Pack of Nails' #21067.
[16:04:58]	Aletta Brandy ran 'drop' on item 'Pack of Nails' (#21161)
[16:04:58]	Aletta Brandy has lost a 'Pack of Nails' #21161.
[16:04:58]	Aletta Brandy ran 'drop' on item 'Pack of Nails' (#21067)
[16:04:58]	Aletta Brandy has lost a 'Pack of Nails' #21067.
[16:05:04]	Aletta Brandy ran 'drop' on item 'Screwdriver' (#21075)
[16:05:04]	Aletta Brandy has lost a 'Screwdriver' #21075.
[16:05:04]	Aletta Brandy ran 'drop' on item 'Pliers' (#21076)
[16:05:04]	Aletta Brandy has lost a 'Pliers' #21076.
[16:05:11]	Aletta Brandy ran 'take' on item 'Shovel' (#21114)
[16:05:14]	Aletta Brandy ran 'take' on item 'Shovel' (#21114)
[16:05:14]	Aletta Brandy has gained a 'Shovel' #21114.
[16:05:16]	Aletta Brandy ran 'Equip' on item 'Shovel' (#21114)
[16:05:30]	Aletta Brandy has taken 3 damage from npc_fastzombie.
[16:05:30]	Aletta Brandy has taken 3 damage from npc_fastzombie.
[16:05:33]	Aletta Brandy has taken 3 damage from npc_fastzombie.
[16:05:33]	Aletta Brandy has taken 3 damage from npc_fastzombie.
[16:05:35]	Aletta Brandy has taken 3 damage from npc_fastzombie.
[16:05:35]	Aletta Brandy has taken 3 damage from npc_fastzombie.
[16:05:41]	Aletta Brandy has taken 3 damage from npc_fastzombie.
[16:05:41]	Aletta Brandy has taken 3 damage from npc_fastzombie.
[16:05:41]	Aletta Brandy has taken 3 damage from npc_fastzombie.
[16:05:43]	Aletta Brandy has taken 3 damage from npc_fastzombie.
[16:05:43]	Aletta Brandy has taken 3 damage from npc_fastzombie.
[16:05:46]	Aletta Brandy has taken 3 damage from npc_fastzombie.
[16:05:46]	Aletta Brandy has taken 3 damage from npc_fastzombie.
[16:05:48]	Aletta Brandy has taken 3 damage from npc_fastzombie.
[16:05:50]	Aletta Brandy has gained 10 tokens.
[16:06:21]	Aletta Brandy has taken 5 damage from npc_headcrab_fast.
[16:06:21]	Aletta Brandy has taken 10 damage from npc_zombie_torso.
[16:06:22]	Aletta Brandy has taken 5 damage from npc_headcrab_fast.
[16:06:23]	Aletta Brandy has taken 5 damage from npc_headcrab_fast.
[16:06:57]	Aletta Brandy has taken 10 damage from npc_zombie_torso.
[16:07:01]	Aletta Brandy has taken 10 damage from npc_zombie_torso.
[16:07:16]	Aletta Brandy has taken 10 damage from npc_zombie_torso.
[16:07:28]	Aletta Brandy has taken 10 damage from npc_zombie_torso.
[16:07:28]	npc_zombie_torso has killed Aletta Brandy.
[16:08:02]	Aletta Brandy ran 'Equip' on item 'Shovel' (#21114)
[16:08:17]	Aletta Brandy ran 'EquipUn' on item 'Shovel' (#21114)
[16:08:18]	Aletta Brandy ran 'drop' on item 'Shovel' (#21114)
[16:08:18]	Aletta Brandy has lost a 'Shovel' #21114.
[16:08:21]	Aletta Brandy used the 'Shady Salesman' vendor.
[16:08:23]	Aletta Brandy has lost 5 tokens.
[16:08:28]	Aletta Brandy ran 'take' on item 'Small Items Case' (#21196)
[16:08:28]	Aletta Brandy has gained a 'Small Items Case' #21196.
[16:08:50]	Aletta Brandy ran 'take' on item 'Pack of Nails' (#21161)
[16:08:50]	Aletta Brandy has gained a 'Pack of Nails' #21161.
[16:08:51]	Aletta Brandy ran 'take' on item 'Pack of Nails' (#21067)
[16:08:51]	Aletta Brandy has gained a 'Pack of Nails' #21067.
[16:08:54]	Aletta Brandy ran 'take' on item 'Screwdriver' (#21075)
[16:08:54]	Aletta Brandy has gained a 'Screwdriver' #21075.
[16:08:55]	Aletta Brandy ran 'take' on item 'Pliers' (#21076)
[16:08:55]	Aletta Brandy has gained a 'Pliers' #21076.
[16:09:09]	Aletta Brandy ran 'take' on item 'Spray Paint' (#21174)
[16:09:09]	Aletta Brandy has gained a 'Spray Paint' #21174.
[16:09:11]	Aletta Brandy ran 'take' on item 'Spray Paint' (#21175)
[16:09:11]	Aletta Brandy has gained a 'Spray Paint' #21175.
[16:09:55]	Aletta Brandy ran 'take' on item 'Pack of Screws' (#21038)
[16:09:55]	Aletta Brandy has gained a 'Pack of Screws' #21038.
[16:11:03]	Aletta Brandy ran 'take' on item 'Combine Worker Suit' (#21153)
[16:11:03]	Aletta Brandy has gained a 'Combine Worker Suit' #21153.
[16:11:04]	Aletta Brandy ran 'Equip' on item 'Combine Worker Suit' (#21153)
[16:11:07]	Aletta Brandy ran 'EquipUn' on item 'Combine Worker Suit' (#21153)
[16:11:08]	Aletta Brandy ran 'drop' on item 'Combine Worker Suit' (#21153)
[16:11:08]	Aletta Brandy has lost a 'Combine Worker Suit' #21153.
[16:11:12]	Aletta Brandy ran 'take' on item 'Circuit Board' (#21086)
[16:11:12]	Aletta Brandy has gained a 'Circuit Board' #21086.
[16:11:15]	Aletta Brandy ran 'drop' on item 'Spray Paint' (#21175)
[16:11:15]	Aletta Brandy has lost a 'Spray Paint' #21175.
[16:11:18]	Aletta Brandy ran 'drop' on item 'Spray Paint' (#21174)
[16:11:18]	Aletta Brandy has lost a 'Spray Paint' #21174.
[16:11:20]	Aletta Brandy ran 'take' on item 'Circuit Board' (#21087)
[16:11:20]	Aletta Brandy has gained a 'Circuit Board' #21087.
[17:25:22]	Tundra (STEAM_0:1:526457179) has disconnected.
[18:50:16]	Enclave has connected.
[18:51:05]	LynxQueen has connected.
[18:54:29]	LynxQueen (STEAM_0:1:70540942) has disconnected.
[19:18:26]	Citizen 17 has connected.
[19:22:09]	Citizen 17 created the character 'John Kesley'
[19:22:09]	John Kesley has gained a 'Suitcase' #21197.
[19:22:09]	John Kesley has gained a 'Relocation Coupon' #21198.
[19:22:09]	John Kesley has gained a 'Cyclopic Citizen Suit' #21199.
[19:22:09]	John Kesley has gained a 'Citizen Filter' #21200.
[19:22:09]	Citizen 17 loaded the character 'John Kesley'
[19:22:40]	John Kesley ran 'drop' on item 'Citizen Filter' (#21200)
[19:22:40]	John Kesley has lost a 'Citizen Filter' #21200.
[19:22:57]	John Kesley ran 'take' on item 'Citizen Filter' (#21200)
[19:22:57]	John Kesley has gained a 'Citizen Filter' #21200.
[19:23:23]	John Kesley ran 'drop' on item 'Citizen Filter' (#21200)
[19:23:23]	John Kesley has lost a 'Citizen Filter' #21200.
[19:23:34]	Tundra has connected.
[19:23:49]	Enclave (STEAM_0:0:34463192) has disconnected.
[19:23:49]	Citizen 17 (STEAM_0:1:439664493) has disconnected.
[19:23:59]	Tundra loaded the character 'Aletta Brandy'
[19:25:30]	Enclave has connected.
[19:25:31]	Citizen 17 has connected.
[19:32:56]	LynxQueen has connected.
[19:33:47]	LynxQueen (STEAM_0:1:70540942) has disconnected.
[19:38:07]	Cheese has connected.
[19:38:19]	Citizen 17 has connected.
[19:38:20]	matt saton has connected.
[19:38:25]	LynxQueen has connected.
[19:38:46]	Tundra has connected.
[19:39:18]	Tundra loaded the character 'Aletta Brandy'
[19:39:31]	LynxQueen loaded the character 'Kal'Taar'
[19:39:35]	[OOC] Aletta Brandy: ouch that loading in lag
[19:39:44]	[OOC] Kal'Taar: aaah
[19:39:53]	Kal'Taar used command '/CharDesc'.
[19:39:59]	[OOC] Aletta Brandy: choo
[19:40:21]	Kal'Taar used command '/CharDesc A lanky, scarred Vortigaunt. They seem approachable. They wear a poncho and carry a bag slung over their shoulder.'.
[19:40:52]	Kal'Taar has taken 1 damage from worldspawn.
[19:40:53]	Kal'Taar has taken 1 damage from worldspawn.
[19:40:54]	Kal'Taar has taken 1 damage from worldspawn.
[19:40:54]	Kal'Taar has taken 1 damage from worldspawn.
[19:40:55]	Kal'Taar has taken 1 damage from worldspawn.
[19:40:56]	Kal'Taar has taken 1 damage from worldspawn.
[19:40:57]	Kal'Taar has taken 1 damage from worldspawn.
[19:40:58]	Kal'Taar has taken 1 damage from worldspawn.
[19:40:58]	Kal'Taar has taken 1 damage from worldspawn.
[19:40:59]	Kal'Taar has taken 1 damage from worldspawn.
[19:41:00]	Kal'Taar has taken 1 damage from worldspawn.
[19:41:01]	Kal'Taar has taken 1 damage from worldspawn.
[19:41:01]	Kal'Taar has taken 1 damage from worldspawn.
[19:41:02]	Kal'Taar has taken 1 damage from worldspawn.
[19:41:03]	Kal'Taar has taken 1 damage from worldspawn.
[19:41:04]	Kal'Taar has taken 1 damage from worldspawn.
[19:41:04]	Kal'Taar has taken 1 damage from worldspawn.
[19:41:05]	Kal'Taar has taken 1 damage from worldspawn.
[19:41:06]	Kal'Taar has taken 1 damage from worldspawn.
[19:41:07]	Kal'Taar has taken 1 damage from worldspawn.
[19:41:07]	Kal'Taar has taken 1 damage from worldspawn.
[19:41:08]	Kal'Taar has taken 1 damage from worldspawn.
[19:41:09]	Kal'Taar has taken 1 damage from worldspawn.
[19:41:10]	Kal'Taar has taken 1 damage from worldspawn.
[19:41:10]	Kal'Taar has taken 1 damage from worldspawn.
[19:41:11]	Kal'Taar has taken 1 damage from worldspawn.
[19:41:12]	Kal'Taar has taken 1 damage from worldspawn.
[19:41:13]	Kal'Taar has taken 1 damage from worldspawn.
[19:41:14]	Kal'Taar has taken 1 damage from worldspawn.
[19:41:14]	Kal'Taar has taken 1 damage from worldspawn.
[19:41:15]	Kal'Taar has taken 1 damage from worldspawn.
[19:41:16]	Kal'Taar has taken 1 damage from worldspawn.
[19:41:17]	Kal'Taar has taken 1 damage from worldspawn.
[19:41:17]	Kal'Taar has taken 1 damage from worldspawn.
[19:41:18]	Kal'Taar has taken 1 damage from worldspawn.
[19:44:46]	Tundra (STEAM_0:1:526457179) has disconnected.
[19:44:47]	Cheese created the character 'Har Tunn'
[19:44:47]	Har Tunn has gained a 'Suitcase' #21201.
[19:44:47]	Har Tunn has gained a 'Relocation Coupon' #21202.
[19:44:47]	Har Tunn has gained a 'Cyclopic Citizen Suit' #21203.
[19:44:47]	Har Tunn has gained a 'Citizen Filter' #21204.
[19:44:49]	Kal'Taar has taken 1 damage from worldspawn.
[19:44:50]	Kal'Taar has taken 1 damage from worldspawn.
[19:44:50]	Kal'Taar has taken 1 damage from worldspawn.
[19:44:51]	Kal'Taar has taken 1 damage from worldspawn.
[19:44:52]	Kal'Taar has taken 1 damage from worldspawn.
[19:44:53]	Kal'Taar has taken 1 damage from worldspawn.
[19:44:53]	Kal'Taar has taken 1 damage from worldspawn.
[19:44:54]	Kal'Taar has taken 1 damage from worldspawn.
[19:44:55]	Kal'Taar has taken 1 damage from worldspawn.
[19:44:56]	Kal'Taar has taken 1 damage from worldspawn.
[19:44:56]	Kal'Taar has taken 1 damage from worldspawn.
[19:44:57]	Kal'Taar has taken 1 damage from worldspawn.
[19:44:58]	Kal'Taar has taken 1 damage from worldspawn.
[19:44:59]	Kal'Taar has taken 1 damage from worldspawn.
[19:44:59]	Kal'Taar has taken 1 damage from worldspawn.
[19:45:00]	Kal'Taar has taken 1 damage from worldspawn.
[19:45:01]	Kal'Taar has taken 1 damage from worldspawn.
[19:45:02]	Kal'Taar has taken 1 damage from worldspawn.
[19:45:02]	Kal'Taar has taken 1 damage from worldspawn.
[19:45:03]	Kal'Taar has taken 1 damage from worldspawn.
[19:45:04]	Kal'Taar has taken 1 damage from worldspawn.
[19:45:05]	Kal'Taar has taken 1 damage from worldspawn.
[19:45:05]	Kal'Taar has taken 1 damage from worldspawn.
[19:45:06]	Kal'Taar has taken 1 damage from worldspawn.
[19:45:07]	Kal'Taar has taken 1 damage from worldspawn.
[19:45:08]	Kal'Taar has taken 1 damage from worldspawn.
[19:45:08]	Kal'Taar has taken 1 damage from worldspawn.
[19:45:09]	Kal'Taar has taken 1 damage from worldspawn.
[19:45:10]	Kal'Taar has taken 1 damage from worldspawn.
[19:45:11]	Kal'Taar has taken 1 damage from worldspawn.
[19:45:11]	Kal'Taar has taken 1 damage from worldspawn.
[19:45:12]	Kal'Taar has taken 1 damage from worldspawn.
[19:45:13]	Kal'Taar has taken 1 damage from worldspawn.
[19:45:14]	Kal'Taar has taken 1 damage from worldspawn.
[19:45:15]	Kal'Taar has taken 1 damage from worldspawn.
[19:45:15]	Kal'Taar has taken 1 damage from worldspawn.
[19:45:16]	Kal'Taar has taken 1 damage from worldspawn.
[19:45:17]	Kal'Taar has taken 1 damage from worldspawn.
[19:45:18]	Kal'Taar has taken 1 damage from worldspawn.
[19:45:18]	Kal'Taar has taken 1 damage from worldspawn.
[19:45:19]	Kal'Taar has taken 1 damage from worldspawn.
[19:45:20]	Kal'Taar has taken 1 damage from worldspawn.
[19:45:21]	Kal'Taar has taken 1 damage from worldspawn.
[19:45:21]	Kal'Taar has taken 1 damage from worldspawn.
[19:45:22]	Kal'Taar has taken 1 damage from worldspawn.
[19:45:23]	Kal'Taar has taken 1 damage from worldspawn.
[19:45:24]	Kal'Taar has taken 1 damage from worldspawn.
[19:45:24]	Kal'Taar has taken 1 damage from worldspawn.
[19:45:25]	Kal'Taar has taken 1 damage from worldspawn.
[19:45:26]	Kal'Taar has taken 1 damage from worldspawn.
[19:45:27]	Kal'Taar has taken 1 damage from worldspawn.
[19:45:27]	Kal'Taar has taken 1 damage from worldspawn.
[19:45:28]	Kal'Taar has taken 1 damage from worldspawn.
[19:45:29]	Kal'Taar has taken 1 damage from worldspawn.
[19:45:30]	Kal'Taar has taken 1 damage from worldspawn.
[19:45:30]	Kal'Taar has taken 1 damage from worldspawn.
[19:45:31]	Kal'Taar has taken 1 damage from worldspawn.
[19:45:32]	Kal'Taar has taken 1 damage from worldspawn.
[19:45:33]	Kal'Taar has taken 1 damage from worldspawn.
[19:45:33]	Kal'Taar has taken 1 damage from worldspawn.
[19:45:34]	Kal'Taar has taken 1 damage from worldspawn.
[19:45:35]	Kal'Taar has taken 1 damage from worldspawn.
[19:45:36]	Kal'Taar has taken 1 damage from worldspawn.
[19:45:36]	Kal'Taar has taken 1 damage from worldspawn.
[19:45:37]	Kal'Taar has taken 1 damage from worldspawn.
[19:45:38]	Kal'Taar has taken 1 damage from worldspawn.
[19:45:39]	Kal'Taar has taken 1 damage from worldspawn.
[19:45:40]	Kal'Taar has taken 1 damage from worldspawn.
[19:45:40]	Kal'Taar has taken 1 damage from worldspawn.
[19:45:41]	Kal'Taar has taken 1 damage from worldspawn.
[19:50:53]	Tundra has connected.
[19:51:10]	Tundra loaded the character 'Aletta Brandy'
[19:52:17]	matt saton has connected.
[19:52:27]	Cheese has connected.
[19:53:08]	Enclave has connected.
[19:53:37]	LynxQueen has connected.
[19:53:47]	matt saton loaded the character 'Lee Maylor'
[19:53:48]	Lee Maylor entered observer.
[19:53:51]	[OOC] Lee Maylor: hoyl fuck tis' wroking
[19:54:04]	Lee Maylor exited observer at their location.
[19:54:05]	Lee Maylor entered observer.
[19:54:07]	Lee Maylor exited observer at their location.
[19:54:07]	Lee Maylor entered observer.
[19:54:08]	Lee Maylor exited observer at their location.
[19:54:09]	Lee Maylor entered observer.
[19:54:09]	Lee Maylor exited observer at their location.
[19:54:10]	Lee Maylor entered observer.
[19:54:10]	Lee Maylor exited observer at their location.
[19:54:13]	Lee Maylor entered observer.
[19:54:19]	Lee Maylor exited observer at their location.
[19:54:24]	Lee Maylor entered observer.
[19:54:38]	[ME] Lee Maylor: would proceed to tie the individual. Would they resist?
[19:54:38]	[OOC] Aletta Brandy: I got like 4 textures in the room im in bruh
[19:54:45]	[OOC] Lee Maylor: standby
[19:54:59]	LynxQueen loaded the character 'Kal'Taar'
[19:54:59]	Kal'Taar has taken 1 damage from worldspawn.
[19:55:00]	Kal'Taar has taken 1 damage from worldspawn.
[19:55:00]	Kal'Taar has taken 1 damage from worldspawn.
[19:55:01]	Kal'Taar has taken 1 damage from worldspawn.
[19:55:02]	Kal'Taar has taken 1 damage from worldspawn.
[19:55:02]	worldspawn has killed Kal'Taar.
[19:55:05]	[OOC] Aletta Brandy: well on the bright side, the water here isnt pure white like the city 8 map
[19:55:09]	[OOC] Kal'Taar: dead
[19:55:15]	Kal'Taar entered observer.
[19:55:16]	Kal'Taar exited observer.
[19:55:17]	Kal'Taar entered observer.
[19:55:30]	Cheese loaded the character 'Har Tunn'
[19:55:30]	Har Tunn has taken 1 damage from worldspawn.
[19:55:30]	Har Tunn has taken 1 damage from worldspawn.
[19:55:31]	Har Tunn has taken 1 damage from worldspawn.
[19:55:31]	[OOC] Kal'Taar: oh man I love the map. I cant see any of it.
[19:55:32]	Har Tunn has taken 1 damage from worldspawn.
[19:55:33]	Har Tunn has taken 1 damage from worldspawn.
[19:55:33]	worldspawn has killed Har Tunn.
[19:55:36]	[OOC] Lee Maylor: standby
[19:55:38]	[OOC] Har Tunn: good god
[19:55:42]	Har Tunn ran 'drop' on item 'Cyclopic Citizen Suit' (#21203)
[19:55:42]	Har Tunn has lost a 'Cyclopic Citizen Suit' #21203.
[19:55:44]	Har Tunn ran 'take' on item 'Cyclopic Citizen Suit' (#21203)
[19:55:44]	Har Tunn has gained a 'Cyclopic Citizen Suit' #21203.
[19:56:02]	Lee Maylor used command '/DrawBlackScreen'.
[19:56:06]	[OOC] Har Tunn: so many errors
[19:56:09]	[OOC] Kal'Taar: ITS ALL DARK
[19:56:13]	Kal'Taar exited observer.
[19:56:13]	Kal'Taar has taken 1 damage from worldspawn.
[19:56:14]	Kal'Taar has taken 1 damage from worldspawn.
[19:56:15]	Kal'Taar has taken 1 damage from worldspawn.
[19:56:16]	Kal'Taar has taken 1 damage from worldspawn.
[19:56:16]	Kal'Taar has taken 1 damage from worldspawn.
[19:56:16]	worldspawn has killed Kal'Taar.
[19:56:17]	Lee Maylor used command '/SetScreenText We're getting ready...'.
[19:56:19]	[OOC] Har Tunn: IM BLIND!
[19:56:24]	[OOC] Kal'Taar: AAAAAAAA
[19:56:26]	Kal'Taar entered observer.
[19:56:33]	[Y] Aletta Brandy: Echolocation.
[19:56:33]	Har Tunn has taken 1 damage from worldspawn.
[19:56:34]	Har Tunn has taken 1 damage from worldspawn.
[19:56:35]	Har Tunn has taken 1 damage from worldspawn.
[19:56:36]	Har Tunn has taken 1 damage from worldspawn.
[19:56:36]	Har Tunn has taken 1 damage from worldspawn.
