[11:10:44]	NamRm has connected.
[11:11:37]	NamRm loaded the character 'Simone Evans'
[11:19:16]	FB|| light ROOM has connected.
[11:20:06]	FB|| light ROOM loaded the character 'CCA.C17-UNION.SqL.72633'
[11:20:16]	[OOC] CCA.C17-UNION.SqL.72633: Yo
[11:20:20]	[OOC] Simone Evans: hey
[11:20:27]	[OOC] CCA.C17-UNION.SqL.72633: Madeline and Q do be hopping on
[11:20:32]	[OOC] Simone Evans: aight
[11:20:57]	[OOC] CCA.C17-UNION.SqL.72633: Dilly and Chicken will probably get on soon as well.
[11:21:00]	[OOC] Simone Evans: ok
[11:21:32]	Madeline Wuntch has connected.
[11:24:33]	[OOC] CCA.C17-UNION.SqL.72633: Welp, Q is now playing the sims so nice.
[11:24:37]	NamRm loaded the character 'Andre Black'
[11:24:47]	Madeline Wuntch loaded the character 'CCA.C17-GRID.i2.36307'
[11:25:06]	CCA.C17-UNION.SqL.72633 has gained 10 tokens.
[11:25:52]	CCA.C17-GRID.i2.36307 has spawned 'models/props_c17/FurnitureFireplace001a.mdl'.
[11:25:56]	[OOC] CCA.C17-UNION.SqL.72633: OOC hours by the way
[11:25:56]	CCA.C17-GRID.i2.36307 has spawned 'models/props_c17/FurnitureFireplace001a.mdl'.
[11:25:59]	[OOC] Andre Black: ye
[11:25:59]	CCA.C17-GRID.i2.36307 has spawned 'models/props_c17/FurnitureFireplace001a.mdl'.
[11:26:00]	[OOC] CCA.C17-UNION.SqL.72633: You can fuck around if you want
[11:26:05]	CCA.C17-GRID.i2.36307 used command '/ToggleRaise'.
[11:26:16]	[OOC] CCA.C17-UNION.SqL.72633: Have you tried the SWRP by the way?
[11:26:18]	CCA.C17-GRID.i2.36307 used command '/ToggleRaise'.
[11:26:24]	[OOC] Andre Black: I haven't
[11:26:29]	[OOC] CCA.C17-UNION.SqL.72633: F, it's chaotic but fun.
[11:26:38]	[OOC] CCA.C17-GRID.i2.36307: follow me
[11:26:50]	CCA.C17-GRID.i2.36307 has spawned 'models/props_c17/FurnitureFireplace001a.mdl'.
[11:27:04]	[Y] CCA.C17-UNION.SqL.72633: <:: THIS IS A ROBBERY. ::>
[11:27:11]	CCA.C17-GRID.i2.36307 has spawned 'models/props_c17/furnitureStove001a.mdl'.
[11:27:16]	CCA.C17-GRID.i2.36307 has taken 12 damage from CCA.C17-UNION.SqL.72633.
[11:27:16]	CCA.C17-GRID.i2.36307 has taken 12 damage from CCA.C17-UNION.SqL.72633.
[11:27:16]	CCA.C17-GRID.i2.36307 has taken 12 damage from CCA.C17-UNION.SqL.72633.
[11:27:16]	CCA.C17-GRID.i2.36307 has taken 12 damage from CCA.C17-UNION.SqL.72633.
[11:27:16]	CCA.C17-GRID.i2.36307 has taken 12 damage from CCA.C17-UNION.SqL.72633.
[11:27:16]	CCA.C17-GRID.i2.36307 has taken 12 damage from CCA.C17-UNION.SqL.72633.
[11:27:16]	CCA.C17-GRID.i2.36307 has taken 12 damage from CCA.C17-UNION.SqL.72633.
[11:27:16]	CCA.C17-GRID.i2.36307 has taken 12 damage from CCA.C17-UNION.SqL.72633.
