[19:43:43]	Zander has connected.
[19:46:07]	Zander created the character 'Zander'
[19:46:07]	Zander has gained a 'Suitcase' #21216.
[19:46:08]	Zander has gained a 'Relocation Coupon' #21217.
[19:46:08]	Zander has gained a 'Green Citizen Suit' #21218.
[19:46:08]	Zander has gained a 'Citizen Filter' #21219.
[19:46:08]	Zander loaded the character 'Zander'
[19:46:41]	Zander ran 'Equip' on item 'Green Citizen Suit' (#21218)
[19:46:45]	Zander ran 'equip' on item 'Citizen Filter' (#21219)
[19:47:44]	Zander (STEAM_0:0:533151746) has disconnected.
[20:26:39]	TopRocket855 has connected.
[20:34:16]	TopRocket855 created the character 'steve'
[20:34:16]	steve has gained a 'Suitcase' #21219.
[20:34:16]	steve has gained a 'Relocation Coupon' #21220.
[20:34:16]	steve has gained a 'Green Citizen Suit' #21221.
[20:34:16]	steve has gained a 'Citizen Filter' #21222.
[20:34:16]	TopRocket855 loaded the character 'steve'
[20:34:26]	steve has taken 250 damage from trigger_hurt.
[20:34:26]	trigger_hurt has killed steve.
[20:38:10]	TopRocket855 (STEAM_0:0:628618153) has disconnected.
