[21:03:15]	raidenleeninja has connected.
[21:05:54]	raidenleeninja created the character 'citizen'
[21:05:54]	citizen has gained a 'Suitcase' #21223.
[21:05:54]	citizen has gained a 'Relocation Coupon' #21224.
[21:05:54]	citizen has gained a 'Cyclopic Citizen Suit' #21225.
[21:05:54]	citizen has gained a 'Citizen Filter' #21226.
[21:05:54]	raidenleeninja loaded the character 'citizen'
[21:07:50]	citizen has taken 250 damage from trigger_hurt.
[21:07:50]	trigger_hurt has killed citizen.
[21:08:03]	citizen has taken 250 damage from trigger_hurt.
[21:08:03]	trigger_hurt has killed citizen.
[21:09:35]	raidenleeninja (STEAM_0:0:573080391) has disconnected.
