[19:55:07]	Festive Painevan has connected.
[19:59:54]	Festive Painevan created the character 'Otto Von Habsburg'
[19:59:54]	Otto Von Habsburg has gained a 'Suitcase' #21227.
[19:59:54]	Otto Von Habsburg has gained a 'Relocation Coupon' #21228.
[19:59:54]	Otto Von Habsburg has gained a 'Cyclopic Citizen Suit' #21229.
[19:59:54]	Otto Von Habsburg has gained a 'Citizen Filter' #21230.
[19:59:54]	Festive Painevan loaded the character 'Otto Von Habsburg'
[20:00:10]	Otto Von Habsburg has taken 250 damage from trigger_hurt.
[20:00:10]	trigger_hurt has killed Otto Von Habsburg.
[20:00:25]	Otto Von Habsburg ran 'Equip' on item 'Cyclopic Citizen Suit' (#21229)
[20:00:35]	Otto Von Habsburg ran 'EquipUn' on item 'Cyclopic Citizen Suit' (#21229)
[20:00:54]	Otto Von Habsburg has taken 1 damage from worldspawn.
[20:00:54]	Otto Von Habsburg has taken 1 damage from worldspawn.
[20:00:55]	Otto Von Habsburg has taken 1 damage from worldspawn.
[20:00:56]	Otto Von Habsburg has taken 1 damage from worldspawn.
[20:00:57]	Otto Von Habsburg has taken 1 damage from worldspawn.
[20:01:01]	Otto Von Habsburg has taken 250 damage from trigger_hurt.
[20:01:01]	trigger_hurt has killed Otto Von Habsburg.
[20:01:14]	Otto Von Habsburg ran 'Equip' on item 'Cyclopic Citizen Suit' (#21229)
[20:01:58]	Otto Von Habsburg has taken 1 damage from worldspawn.
[20:01:58]	Otto Von Habsburg has taken 1 damage from worldspawn.
[20:01:59]	Otto Von Habsburg has taken 1 damage from worldspawn.
[20:02:00]	Otto Von Habsburg has taken 1 damage from worldspawn.
[20:02:01]	Otto Von Habsburg has taken 250 damage from trigger_hurt.
[20:02:01]	trigger_hurt has killed Otto Von Habsburg.
[20:02:16]	Otto Von Habsburg ran 'equip' on item 'Citizen Filter' (#21230)
[20:03:31]	Otto Von Habsburg ran 'drop' on item 'Suitcase' (#21227)
[20:03:31]	Otto Von Habsburg has lost a 'Suitcase' #21227.
[20:03:36]	Otto Von Habsburg ran 'take' on item 'Suitcase' (#21227)
[20:03:36]	Otto Von Habsburg has gained a 'Suitcase' #21227.
[20:03:39]	Otto Von Habsburg ran 'drop' on item 'Suitcase' (#21227)
[20:03:39]	Otto Von Habsburg has lost a 'Suitcase' #21227.
[20:03:54]	Otto Von Habsburg ran 'take' on item 'Suitcase' (#21227)
[20:03:54]	Otto Von Habsburg has gained a 'Suitcase' #21227.
[20:04:02]	Otto Von Habsburg ran 'drop' on item 'Suitcase' (#21227)
[20:04:02]	Otto Von Habsburg has lost a 'Suitcase' #21227.
[20:04:39]	Otto Von Habsburg ran 'take' on item 'Suitcase' (#21227)
[20:04:39]	Otto Von Habsburg has gained a 'Suitcase' #21227.
[20:05:00]	Otto Von Habsburg ran 'drop' on item 'Suitcase' (#21227)
[20:05:00]	Otto Von Habsburg has lost a 'Suitcase' #21227.
[20:05:06]	Otto Von Habsburg ran 'take' on item 'Suitcase' (#21227)
[20:05:06]	Otto Von Habsburg has gained a 'Suitcase' #21227.
[20:05:34]	Otto Von Habsburg ran 'drop' on item 'Suitcase' (#21227)
[20:05:34]	Otto Von Habsburg has lost a 'Suitcase' #21227.
[20:05:37]	Otto Von Habsburg ran 'take' on item 'Suitcase' (#21227)
[20:05:37]	Otto Von Habsburg has gained a 'Suitcase' #21227.
[20:05:58]	Otto Von Habsburg has taken 250 damage from trigger_hurt.
[20:05:58]	trigger_hurt has killed Otto Von Habsburg.
[20:09:15]	Otto Von Habsburg has taken 250 damage from trigger_hurt.
[20:09:15]	trigger_hurt has killed Otto Von Habsburg.
[20:11:26]	Otto Von Habsburg ran 'EquipUn' on item 'Cyclopic Citizen Suit' (#21229)
[20:13:27]	Festive Painevan (STEAM_0:0:68118061) has disconnected.
