[06:51:50]	PenguinSause has connected.
[06:52:12]	Elite Combine Unit Lad has connected.
[06:52:36]	PenguinSause (STEAM_0:0:460167869) has disconnected.
[06:52:47]	Elite Combine Unit Lad loaded the character 'Hugo Jimenez'
[06:52:53]	Hugo Jimenez used command '/Content'.
[06:53:00]	Hugo Jimenez has taken 1 damage from Hugo Jimenez.
[06:53:00]	Hugo Jimenez has taken 2 damage from Hugo Jimenez.
[06:53:15]	Hugo Jimenez has taken 1 damage from Hugo Jimenez.
[06:53:15]	Hugo Jimenez has taken 2 damage from Hugo Jimenez.
[06:53:30]	Hugo Jimenez has taken 1 damage from Hugo Jimenez.
[06:53:30]	Hugo Jimenez has taken 2 damage from Hugo Jimenez.
[06:53:45]	Hugo Jimenez has taken 1 damage from Hugo Jimenez.
[06:53:45]	Hugo Jimenez has taken 2 damage from Hugo Jimenez.
[06:54:00]	Hugo Jimenez has taken 1 damage from Hugo Jimenez.
[06:54:00]	Hugo Jimenez has taken 2 damage from Hugo Jimenez.
[06:54:15]	Hugo Jimenez has taken 1 damage from Hugo Jimenez.
[06:54:15]	Hugo Jimenez has taken 2 damage from Hugo Jimenez.
[06:54:30]	Hugo Jimenez has taken 1 damage from Hugo Jimenez.
[06:54:30]	Hugo Jimenez has taken 2 damage from Hugo Jimenez.
[06:54:45]	Hugo Jimenez has taken 1 damage from Hugo Jimenez.
[06:54:45]	Hugo Jimenez has taken 2 damage from Hugo Jimenez.
[06:55:00]	Hugo Jimenez has taken 1 damage from Hugo Jimenez.
[06:55:00]	Hugo Jimenez has taken 2 damage from Hugo Jimenez.
[06:55:15]	Hugo Jimenez has taken 1 damage from Hugo Jimenez.
[06:55:15]	Hugo Jimenez has taken 2 damage from Hugo Jimenez.
[06:55:30]	Hugo Jimenez has taken 1 damage from Hugo Jimenez.
[06:55:30]	Hugo Jimenez has taken 2 damage from Hugo Jimenez.
[06:55:45]	Hugo Jimenez has taken 1 damage from Hugo Jimenez.
[06:55:45]	Hugo Jimenez has taken 2 damage from Hugo Jimenez.
[06:56:01]	Hugo Jimenez has taken 1 damage from Hugo Jimenez.
[06:56:01]	Hugo Jimenez has taken 2 damage from Hugo Jimenez.
[06:56:16]	Hugo Jimenez has taken 1 damage from Hugo Jimenez.
[06:56:16]	Hugo Jimenez has taken 2 damage from Hugo Jimenez.
[06:56:31]	Hugo Jimenez has taken 1 damage from Hugo Jimenez.
[06:56:31]	Hugo Jimenez has taken 2 damage from Hugo Jimenez.
[06:56:46]	Hugo Jimenez has taken 1 damage from Hugo Jimenez.
[06:56:46]	Hugo Jimenez has taken 2 damage from Hugo Jimenez.
[06:57:01]	Hugo Jimenez has taken 1 damage from Hugo Jimenez.
[06:57:01]	Hugo Jimenez has taken 2 damage from Hugo Jimenez.
[06:57:16]	Hugo Jimenez has taken 1 damage from Hugo Jimenez.
[06:57:16]	Hugo Jimenez has taken 2 damage from Hugo Jimenez.
[06:57:31]	Hugo Jimenez has taken 1 damage from Hugo Jimenez.
[06:57:31]	Hugo Jimenez has taken 2 damage from Hugo Jimenez.
[06:57:46]	Hugo Jimenez has taken 1 damage from Hugo Jimenez.
[06:57:46]	Hugo Jimenez has taken 2 damage from Hugo Jimenez.
[07:00:51]	Hugo Jimenez used the 'General Store Vendor' vendor.
[07:01:40]	Hugo Jimenez has taken 65 damage from worldspawn.
[07:01:40]	worldspawn has killed Hugo Jimenez.
[07:01:48]	Elite Combine Unit Lad (STEAM_0:0:28338359) has disconnected.
