[18:19:17]	memester87 has connected.
[18:21:05]	memester87 created the character 'Joshua'
[18:21:05]	Joshua has gained a 'Suitcase' #21250.
[18:21:05]	Joshua has gained a 'Relocation Coupon' #21251.
[18:21:05]	Joshua has gained a 'Green Citizen Suit' #21252.
[18:21:05]	Joshua has gained a 'Citizen Filter' #21253.
[18:21:05]	memester87 loaded the character 'Joshua'
[18:21:46]	Joshua has taken 5 damage from Joshua.
[18:21:46]	Joshua has killed Joshua.
[18:21:46]	Joshua has gained 10 tokens.
[18:22:05]	Joshua has taken 1 damage from worldspawn.
[18:22:55]	Joshua used command '/DoorBuy'.
[18:23:14]	Joshua used command '/DoorBuy'.
[18:23:14]	Joshua used command '/DoorBuy'.
[18:23:15]	Joshua used command '/DoorBuy'.
[18:23:16]	Joshua used command '/DoorBuy'.
[18:23:17]	Joshua used command '/DoorBuy'.
[18:23:49]	memester87 (STEAM_0:1:583661132) has disconnected.
