[00:00:04]	[OOC] Sergeant PT-9823: crungle
[00:00:09]	[OOC] TNK Private Humphry Stanton: ew
[00:00:15]	Doughnut loaded the character 'Sergeant PT-8675'
[00:00:17]	Sergeant PT-8675 entered observer.
[00:00:20]	FB|| light ROOM loaded the character 'Sergeant RT-9824'
[00:00:24]	DRD loaded the character 'Threva'
[00:00:26]	Sergeant PT-8675 exited observer at their location.
[00:00:32]	Doughnut loaded the character 'TNK Private Humphry Stanton'
[00:00:36]	TNK Private Humphry Stanton entered observer.
[00:00:38]	DRD loaded the character 'Petty Officer Third Class Karissa Novar'
[00:00:51]	DRD loaded the character 'Threva'
[00:00:56]	TNK Private Humphry Stanton exited observer at their location.
[00:01:25]	Threva ran 'Equip' on item 'DH-17a Blaster' (#895)
[00:01:27]	Threva used command '/ToggleRaise'.
[00:01:31]	TNK Private Humphry Stanton ran 'Equip' on item 'E-10 Blaster' (#565)
[00:01:32]	TNK Private Humphry Stanton ran 'use' on item 'Tibanna Cartridge' (#598)
[00:01:33]	TNK Private Humphry Stanton ran 'use' on item 'Tibanna Cartridge' (#597)
[00:01:33]	TNK Private Humphry Stanton used command '/ToggleRaise'.
[00:01:36]	TNK Private Humphry Stanton used command '/ToggleRaise'.
[00:01:37]	TNK Private Humphry Stanton used command '/ToggleRaise'.
[00:01:38]	TNK Private Humphry Stanton used command '/ToggleRaise'.
[00:01:41]	TNK Private Humphry Stanton used command '/ToggleRaise'.
[00:01:48]	TNK Private Humphry Stanton used command '/ToggleRaise'.
[00:01:49]	Sergeant RT-9824 used the 'Armory' vendor.
[00:01:55]	TNK Private Humphry Stanton entered observer.
[00:02:04]	DRD loaded the character 'GNK-293'
[00:02:29]	DRD loaded the character 'R2-Z7'
[00:02:32]	[OOC] R2-Z7: : (
[00:02:39]	DRD loaded the character 'R4-K5'
[00:02:44]	TNK Private Humphry Stanton exited observer at their location.
[00:02:47]	[OOC] TNK Private Humphry Stanton: ew
[00:02:48]	[Y] TNK Private Humphry Stanton: Army!!!
[00:02:51]	[Y] Sergeant RT-9824: Stand at attention Recruit!
[00:02:56]	TNK Private Humphry Stanton entered observer.
[00:02:58]	TNK Private Humphry Stanton exited observer at their location.
[00:03:00]	[Y] TNK Private Humphry Stanton: Army!!!
[00:03:00]	TNK Private Humphry Stanton entered observer.
[00:03:03]	TNK Private Humphry Stanton exited observer at their location.
[00:03:05]	[ME] Recruit TK-1248: salutes
[00:03:23]	[Y] TNK Private Humphry Stanton: Army!!!
[00:03:30]	[ME] Recruit TK-1248: stands at attention and her chin is up, as well paying respect to said officer
[00:03:32]	TNK Private Humphry Stanton used command '/CharFallOver 0'.
[00:03:36]	[Y] R4-K5: ARMY!!!
[00:04:05]	[Y] Sergeant RT-9824: Alright, congratulations you've entered the Storm trooper corps, as of now you are nothing but a soldier and a extention of the Emperors will!
[00:04:33]	[Y] Sergeant RT-9824: I will be training you on the basics of being a soldier!
[00:04:40]	DRD loaded the character 'Petty Officer Third Class Karissa Novar'
[00:05:17]	TNK Private Humphry Stanton has spawned 'models/player/ven/tk_501_02/tk_501.mdl'.
[00:05:23]	TNK Private Humphry Stanton has spawned 'models/player/ven/tk_501_01/tk_501.mdl'.
[00:05:31]	[Y] Sergeant RT-9824: Alrighty! show me a right face!
[00:05:34]	TNK Private Humphry Stanton has spawned 'models/player/ven/tk_basic_01/tk_basic.mdl'.
[00:05:45]	[Y] Sergeant RT-9824: Left face!
[00:05:51]	[Y] Sergeant RT-9824: About face!
[00:06:03]	[OOC] Petty Officer Third Class Karissa Novar: models/player/ven/tk_501_02/tk_501.mdl
[00:06:10]	[Y] Sergeant RT-9824: Front face!
[00:06:33]	TNK Private Humphry Stanton used command '/CharSetModel recruit models/player/ven/tk_501_02/tk_501.mdl'.
[00:06:39]	TNK Private Humphry Stanton entered observer.
[00:06:44]	[Y] Sergeant RT-9824: Firing line!
[00:06:50]	TNK Private Humphry Stanton exited observer at their location.
[00:06:59]	[Y] Sergeant RT-9824: Advanced firing line!
[00:07:08]	[Y] Sergeant RT-9824: Single collumn!
[00:07:16]	[Y] Sergeant RT-9824: Double collumn!
[00:07:21]	TNK Private Humphry Stanton entered observer.
[00:07:21]	TNK Private Humphry Stanton exited observer at their location.
[00:07:33]	TNK Private Humphry Stanton entered observer.
[00:07:34]	TNK Private Humphry Stanton exited observer at their location.
[00:07:36]	TNK Private Humphry Stanton entered observer.
[00:07:36]	TNK Private Humphry Stanton exited observer at their location.
[00:07:50]	[Y] Sergeant RT-9824: Wedge!
[00:08:02]	[Y] Sergeant RT-9824: Then loose!
[00:08:22]	[Y] Sergeant RT-9824: Alright, in front of me!
[00:08:42]	TNK Private Humphry Stanton entered observer.
[00:08:43]	TNK Private Humphry Stanton exited observer at their location.
[00:09:14]	TNK Private Humphry Stanton entered observer.
[00:09:15]	TNK Private Humphry Stanton exited observer at their location.
[00:10:08]	[Y] Petty Officer Third Class Karissa Novar: HEY!
[00:10:09]	TNK Private Humphry Stanton used command '/CharFallOver 0'.
[00:10:12]	TNK Private Humphry Stanton used command '/CharFallOver 0'.
[00:10:14]	Petty Officer Third Class Karissa Novar has taken 1 damage from door56.
[00:10:30]	TNK Private Humphry Stanton used command '/ToggleRaise'.
[00:10:32]	TNK Private Humphry Stanton used command '/ToggleRaise'.
[00:11:13]	Recruit TK-1248 used the 'Armory' vendor.
