[16:48:55]	lilbigdrause has connected.
[16:53:42]	lilbigdrause loaded the character 'Private TK-8281-394'
[16:54:39]	Private TK-8281-394 used the 'Supply Locker' vendor.
[16:54:55]	Private TK-8281-394 has gained 0 credits.
[16:54:55]	Private TK-8281-394 has gained a 'DH-17 Blaster' #2740.
[16:55:01]	Private TK-8281-394 used the 'Supply Locker' vendor.
[16:55:17]	Private TK-8281-394 has gained 0 credits.
[16:55:17]	Private TK-8281-394 has gained a 'E-11 Stun Blaster' #2741.
[16:55:42]	Private TK-8281-394 ran 'Equip' on item 'DH-17 Blaster' (#2740)
[16:55:44]	Private TK-8281-394 ran 'Equip' on item 'E-11 Stun Blaster' (#2741)
[16:56:09]	lilbigdrause (STEAM_0:1:445799569) has disconnected.
