[19:21:16]	Doughnut has connected.
[19:21:53]	Doughnut loaded the character 'Petty Officer Second Class Arnold Jackson'
[19:22:02]	Petty Officer Second Class Arnold Jackson entered observer.
[19:25:05]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[19:25:07]	Petty Officer Second Class Arnold Jackson entered observer.
[19:25:13]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[19:25:21]	Petty Officer Second Class Arnold Jackson entered observer.
[19:25:29]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[19:25:31]	Petty Officer Second Class Arnold Jackson entered observer.
[19:25:31]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[19:25:32]	Petty Officer Second Class Arnold Jackson entered observer.
[19:25:32]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[19:25:33]	Petty Officer Second Class Arnold Jackson entered observer.
[19:25:40]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[19:25:42]	Petty Officer Second Class Arnold Jackson entered observer.
[19:25:42]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[19:25:43]	Petty Officer Second Class Arnold Jackson entered observer.
[19:26:00]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[19:26:02]	Petty Officer Second Class Arnold Jackson entered observer.
[19:26:10]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[19:26:14]	Petty Officer Second Class Arnold Jackson entered observer.
[19:26:16]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[19:26:18]	Petty Officer Second Class Arnold Jackson entered observer.
[19:26:18]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[19:26:19]	Petty Officer Second Class Arnold Jackson entered observer.
[19:26:19]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[19:26:19]	Petty Officer Second Class Arnold Jackson entered observer.
[19:26:20]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[19:26:21]	Petty Officer Second Class Arnold Jackson entered observer.
[19:26:23]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[19:26:24]	Petty Officer Second Class Arnold Jackson entered observer.
[19:26:30]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[19:26:31]	Petty Officer Second Class Arnold Jackson entered observer.
[19:26:31]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[19:26:33]	Petty Officer Second Class Arnold Jackson entered observer.
[19:26:34]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[19:26:35]	Petty Officer Second Class Arnold Jackson entered observer.
[19:26:56]	Petty Officer Second Class Arnold Jackson exited observer at their location.
