[00:00:00]	[OOC] Unknown: rejoin*
[00:00:03]	[OOC] Unknown: restart your game, all that
[00:00:06]	Corporal IN-3331 used command '/ToggleRaise'.
[00:00:07]	Generator 2.0 (STEAM_0:1:5007586) has disconnected.
[00:00:08]	[OOC] Unknown: afterwards, we'll train-
[00:00:13]	Unknown exited observer at their location.
[00:00:15]	Unknown entered observer.
[00:00:15]	Unknown exited observer at their location.
[00:00:18]	Corporal IN-3331 used command '/ToggleRaise'.
[00:00:20]	Unknown used command '/ToggleRaise'.
[00:00:22]	Corporal IN-3331 used command '/ToggleRaise'.
[00:00:28]	Unknown entered observer.
[00:00:33]	[LOOC] Petty Officer Second Class Arnold Jackson: he's ooc
[00:00:39]	[LOOC] Petty Officer Second Class Arnold Jackson: don't worry about him
[00:00:40]	[Y] Crewman Third Class Red Giddeon: Yall saw that right.
[00:00:47]	[LOOC] Private First Class TX-7062: It was OOC 
[00:00:51]	[LOOC] Private First Class TX-7062: Don't take it IC
[00:01:04]	Unknown used command '/ToggleRaise'.
[00:01:11]	[OOC] Unknown: void blaster shots
[00:01:25]	Unknown exited observer at their location.
[00:01:26]	Unknown entered observer.
[00:02:12]	Unknown exited observer at their location.
[00:02:12]	[OOC] Petty Officer Second Class Arnold Jackson: imma head off
[00:02:15]	matt saton loaded the character 'Lieutenant Colonel Benjamin Riley'
[00:02:16]	[OOC] Petty Officer Second Class Arnold Jackson: hab foon
[00:02:16]	[OOC] Private First Class TX-7062: Alright
[00:02:19]	Lieutenant Colonel Benjamin Riley used command '/c Debrief. Now.'.
[00:02:19]	Lieutenant Colonel Benjamin Riley entered observer.
[00:02:19]	Petty Officer Second Class Arnold Jackson entered observer.
[00:02:19]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[00:02:21]	Petty Officer Second Class Arnold Jackson entered observer.
[00:02:23]	Lieutenant Colonel Benjamin Riley exited observer at their location.
[00:02:24]	[OOC] Petty Officer Second Class Arnold Jackson: nvm
[00:02:26]	Petty Officer Second Class Arnold Jackson exited observer at their location.
[00:02:27]	[OOC] Lieutenant Colonel Benjamin Riley: no you're fione
[00:02:29]	[OOC] Lieutenant Colonel Benjamin Riley: we're not doing promos
[00:02:29]	Private First Class TX-7062 used command '/comm Copy'.
[00:02:31]	Petty Officer Second Class Arnold Jackson entered observer.
[00:02:32]	Petty Officer Second Class Arnold Jackson exited observer at their location.
