[11:34:45]	matt saton has connected.
[11:37:13]	matt saton loaded the character 'Lieutenant Ezyn Linmer'
[11:37:15]	Lieutenant Ezyn Linmer entered observer.
[11:38:44]	Lieutenant Ezyn Linmer used command '/SelectReader'.
[11:51:06]	Lieutenant Ezyn Linmer has spawned a 'Entity [63][lunasflightschool_eta5]'.
[11:51:08]	Lieutenant Ezyn Linmer exited observer at their location.
[11:52:00]	Lieutenant Ezyn Linmer entered observer.
[11:52:06]	Lieutenant Ezyn Linmer has spawned a 'Entity [63][lunasflightschool_wwing]'.
[11:52:07]	Lieutenant Ezyn Linmer exited observer at their location.
[11:52:41]	Lieutenant Ezyn Linmer entered observer.
[11:52:47]	Lieutenant Ezyn Linmer has spawned a 'Entity [63][lunasflightschool_wwing]'.
[11:52:48]	Lieutenant Ezyn Linmer exited observer at their location.
[11:52:59]	Lieutenant Ezyn Linmer entered observer.
[11:53:11]	Lieutenant Ezyn Linmer has spawned a 'Entity [63][lunasflightschool_skipray]'.
[11:53:15]	Lieutenant Ezyn Linmer has spawned a 'Entity [63][tkaro_lfs_tx225]'.
[11:53:17]	Lieutenant Ezyn Linmer exited observer at their location.
[11:53:46]	Lieutenant Ezyn Linmer has taken 45 damage from worldspawn.
[11:53:46]	Lieutenant Ezyn Linmer entered observer.
[11:54:02]	Lieutenant Ezyn Linmer has spawned a 'Entity [63][obj_vj_flareround]'.
[11:54:09]	Lieutenant Ezyn Linmer exited observer at their location.
[11:54:10]	Lieutenant Ezyn Linmer used command '/ToggleRaise'.
[11:54:17]	Lieutenant Ezyn Linmer entered observer.
[11:54:45]	Lieutenant Ezyn Linmer has spawned a 'Entity [63][sent_vj_ply_spawnpoint]'.
[11:54:46]	Lieutenant Ezyn Linmer exited observer at their location.
[11:54:49]	Lieutenant Ezyn Linmer has spawned a 'Entity [963][sent_vj_fireplace]'.
[11:54:49]	Lieutenant Ezyn Linmer used command '/ToggleRaise'.
[11:54:49]	Lieutenant Ezyn Linmer entered observer.
[11:54:50]	Lieutenant Ezyn Linmer exited observer at their location.
[11:54:52]	Lieutenant Ezyn Linmer has spawned a 'Entity [63][obj_vj_grenade]'.
[11:54:55]	Lieutenant Ezyn Linmer has taken 80 damage from obj_vj_grenade.
[11:54:56]	Lieutenant Ezyn Linmer has spawned a 'Entity [63][obj_vj_grenade]'.
[11:55:01]	Lieutenant Ezyn Linmer has spawned a 'Entity [63][npc_grenade_frag]'.
[11:55:03]	Lieutenant Ezyn Linmer has taken 60 damage from Lieutenant Ezyn Linmer.
[11:55:03]	Lieutenant Ezyn Linmer has killed Lieutenant Ezyn Linmer.
[11:55:10]	Lieutenant Ezyn Linmer has spawned a 'Entity [965][sent_vj_adminhealthkit]'.
[11:55:13]	Lieutenant Ezyn Linmer used command '/ToggleRaise'.
[11:55:16]	Lieutenant Ezyn Linmer has spawned a 'Entity [965][sent_vj_adminhealthkit]'.
[11:55:17]	Lieutenant Ezyn Linmer has spawned a 'Entity [973][sent_vj_adminhealthkit]'.
[11:55:17]	Lieutenant Ezyn Linmer has spawned a 'Entity [974][sent_vj_adminhealthkit]'.
[11:55:18]	Lieutenant Ezyn Linmer has spawned a 'Entity [965][sent_vj_adminhealthkit]'.
[11:55:18]	Lieutenant Ezyn Linmer has spawned a 'Entity [976][sent_vj_adminhealthkit]'.
[11:55:18]	Lieutenant Ezyn Linmer has spawned a 'Entity [977][sent_vj_adminhealthkit]'.
[11:55:18]	Lieutenant Ezyn Linmer has spawned a 'Entity [978][sent_vj_adminhealthkit]'.
[11:55:19]	Lieutenant Ezyn Linmer has spawned a 'Entity [965][sent_vj_adminhealthkit]'.
[11:55:19]	Lieutenant Ezyn Linmer has spawned a 'Entity [973][sent_vj_adminhealthkit]'.
[11:55:20]	Lieutenant Ezyn Linmer has spawned a 'Entity [974][sent_vj_adminhealthkit]'.
[11:55:20]	Lieutenant Ezyn Linmer has spawned a 'Entity [976][sent_vj_adminhealthkit]'.
[11:55:20]	Lieutenant Ezyn Linmer has spawned a 'Entity [977][sent_vj_adminhealthkit]'.
[11:55:22]	Lieutenant Ezyn Linmer has spawned a 'Entity [965][sent_vj_adminhealthkit]'.
[11:55:23]	Lieutenant Ezyn Linmer has spawned a 'Entity [973][sent_vj_adminhealthkit]'.
[11:55:23]	Lieutenant Ezyn Linmer has spawned a 'Entity [974][sent_vj_adminhealthkit]'.
[11:55:23]	Lieutenant Ezyn Linmer has spawned a 'Entity [976][sent_vj_adminhealthkit]'.
[11:55:23]	Lieutenant Ezyn Linmer has spawned a 'Entity [965][sent_vj_adminhealthkit]'.
[11:55:23]	Lieutenant Ezyn Linmer has spawned a 'Entity [977][sent_vj_adminhealthkit]'.
[11:55:23]	Lieutenant Ezyn Linmer has spawned a 'Entity [978][sent_vj_adminhealthkit]'.
[11:55:24]	Lieutenant Ezyn Linmer has spawned a 'Entity [979][sent_vj_adminhealthkit]'.
[11:55:24]	Lieutenant Ezyn Linmer has spawned a 'Entity [980][sent_vj_adminhealthkit]'.
[11:55:24]	Lieutenant Ezyn Linmer has spawned a 'Entity [973][sent_vj_adminhealthkit]'.
[11:55:24]	Lieutenant Ezyn Linmer has spawned a 'Entity [974][sent_vj_adminhealthkit]'.
