[04:54:45]	Dakoda has connected.
[04:56:15]	Dakoda loaded the character 'Johnathan Doe'
[04:58:06]	Dakoda loaded the character 'James Doe'
[04:58:15]	Dakoda loaded the character 'Johnathan Moore'
[04:58:55]	Johnathan Moore opened the '' #1619 container.
[04:58:55]	Johnathan Moore closed the '' #1619 container.
[04:58:57]	Johnathan Moore opened the '' #1619 container.
[04:58:59]	Johnathan Moore closed the '' #1619 container.
[04:59:54]	Dakoda loaded the character 'Johnathan Doe'
[05:00:39]	Dakoda loaded the character 'Johnathan Moore'
[05:01:44]	Dakoda created the character 'Maxwell Cogniski'
[05:01:44]	Maxwell Cogniski has gained a 'Suitcase' #37716.
[05:01:44]	Maxwell Cogniski has gained a 'Relocation Coupon' #37717.
[05:01:51]	Dakoda loaded the character 'Maxwell Cogniski'
[05:02:34]	Dakoda loaded the character 'Johnathan Doe'
[05:03:07]	Dakoda loaded the character 'Johnathan Moore'
[05:05:03]	Johnathan Moore has taken 39 damage from worldspawn.
[05:05:23]	Johnathan Moore has taken 48 damage from worldspawn.
[05:06:03]	Johnathan Moore has taken 69 damage from worldspawn.
[05:06:03]	worldspawn has killed Johnathan Moore.
[05:06:38]	Johnathan Moore ran 'drop' on item 'Citizen ID' (#37683)
[05:06:38]	Johnathan Moore has lost a 'Citizen ID' #37683.
[05:06:48]	Dakoda loaded the character 'Johnathan Doe'
[05:07:58]	Dakoda loaded the character 'Johnathan Moore'
[05:08:01]	Johnathan Moore ran 'take' on item 'Citizen ID' (#37683)
[05:08:01]	Johnathan Moore has gained a 'Citizen ID' #37683.
[05:08:36]	Dakoda (STEAM_0:1:100888407) has disconnected.
[08:16:04]	Methfred has connected.
[08:16:52]	Methfred loaded the character 'Alfred Langenberg'
[08:18:05]	Alfred Langenberg has taken 3 damage from npc_fastzombie.
[08:18:05]	Alfred Langenberg has taken 3 damage from npc_fastzombie.
[08:21:28]	Alfred Langenberg has taken 3 damage from npc_fastzombie.
[08:21:28]	Alfred Langenberg has taken 3 damage from npc_fastzombie.
[08:21:43]	Alfred Langenberg has taken 5 damage from npc_fastzombie.
[08:23:35]	Alfred Langenberg has taken 5 damage from npc_fastzombie.
[08:23:43]	Alfred Langenberg has taken 3 damage from npc_fastzombie.
[08:23:43]	Alfred Langenberg has taken 3 damage from npc_fastzombie.
[08:23:45]	Alfred Langenberg has taken 3 damage from npc_fastzombie.
[08:30:09]	Alfred Langenberg ran 'ApplySelf' on item 'Bandage' (#37634)
[08:30:10]	Alfred Langenberg ran 'ApplySelf' on item 'Bandage' (#37634)
[08:30:11]	Alfred Langenberg ran 'ApplyOther' on item 'Bandage' (#37634)
[08:30:12]	Alfred Langenberg ran 'ApplySelf' on item 'Bandage' (#37634)
[08:30:13]	Alfred Langenberg ran 'ApplySelf' on item 'Bandage' (#37634)
[08:30:14]	Alfred Langenberg ran 'ApplySelf' on item 'Bandage' (#37634)
[08:30:17]	Alfred Langenberg ran 'ApplySelf' on item 'Bandage' (#37634)
